time,open,high,low,close
2026-02-23T11:06:00.000000000Z,154.774,154.796,154.774,154.793
2026-02-23T11:07:00.000000000Z,154.794,154.804,154.771,154.782
2026-02-23T11:08:00.000000000Z,154.782,154.804,154.780,154.803
2026-02-23T11:09:00.000000000Z,154.802,154.808,154.790,154.792
2026-02-23T11:10:00.000000000Z,154.794,154.804,154.788,154.804
2026-02-23T11:11:00.000000000Z,154.804,154.815,154.796,154.808
2026-02-23T11:12:00.000000000Z,154.810,154.827,154.808,154.826
2026-02-23T11:13:00.000000000Z,154.824,154.842,154.824,154.840
2026-02-23T11:14:00.000000000Z,154.842,154.850,154.842,154.844
2026-02-23T11:15:00.000000000Z,154.845,154.845,154.820,154.821
2026-02-23T11:16:00.000000000Z,154.821,154.822,154.802,154.814
2026-02-23T11:17:00.000000000Z,154.814,154.827,154.814,154.822
2026-02-23T11:18:00.000000000Z,154.822,154.826,154.820,154.822
2026-02-23T11:19:00.000000000Z,154.822,154.830,154.817,154.818
2026-02-23T11:20:00.000000000Z,154.818,154.822,154.808,154.817
2026-02-23T11:21:00.000000000Z,154.814,154.828,154.811,154.817
2026-02-23T11:22:00.000000000Z,154.818,154.837,154.815,154.832
2026-02-23T11:23:00.000000000Z,154.832,154.832,154.815,154.816
2026-02-23T11:24:00.000000000Z,154.816,154.818,154.797,154.798
2026-02-23T11:25:00.000000000Z,154.798,154.808,154.798,154.800
2026-02-23T11:26:00.000000000Z,154.802,154.824,154.802,154.824
2026-02-23T11:27:00.000000000Z,154.823,154.830,154.815,154.824
2026-02-23T11:28:00.000000000Z,154.824,154.854,154.824,154.852
2026-02-23T11:29:00.000000000Z,154.853,154.894,154.852,154.891
2026-02-23T11:30:00.000000000Z,154.890,154.895,154.876,154.884
2026-02-23T11:31:00.000000000Z,154.884,154.893,154.874,154.888
2026-02-23T11:32:00.000000000Z,154.887,154.930,154.886,154.916
2026-02-23T11:33:00.000000000Z,154.914,154.940,154.908,154.932
2026-02-23T11:34:00.000000000Z,154.933,154.946,154.930,154.940
2026-02-23T11:35:00.000000000Z,154.940,154.946,154.918,154.922
2026-02-23T11:36:00.000000000Z,154.923,154.933,154.916,154.920
2026-02-23T11:37:00.000000000Z,154.918,154.928,154.913,154.920
2026-02-23T11:38:00.000000000Z,154.921,154.928,154.912,154.916
2026-02-23T11:39:00.000000000Z,154.915,154.926,154.910,154.926
2026-02-23T11:40:00.000000000Z,154.924,154.938,154.920,154.925
2026-02-23T11:41:00.000000000Z,154.924,154.930,154.915,154.928
2026-02-23T11:42:00.000000000Z,154.928,154.942,154.926,154.926
2026-02-23T11:43:00.000000000Z,154.925,154.938,154.914,154.920
2026-02-23T11:44:00.000000000Z,154.921,154.930,154.918,154.925
2026-02-23T11:45:00.000000000Z,154.924,154.934,154.924,154.926
2026-02-23T11:46:00.000000000Z,154.926,154.939,154.924,154.937
2026-02-23T11:47:00.000000000Z,154.936,154.936,154.920,154.930
2026-02-23T11:48:00.000000000Z,154.932,154.937,154.902,154.904
2026-02-23T11:49:00.000000000Z,154.904,154.918,154.902,154.910
2026-02-23T11:50:00.000000000Z,154.911,154.926,154.910,154.912
2026-02-23T11:51:00.000000000Z,154.912,154.924,154.901,154.920
2026-02-23T11:52:00.000000000Z,154.920,154.927,154.892,154.898
2026-02-23T11:53:00.000000000Z,154.899,154.906,154.890,154.905
2026-02-23T11:54:00.000000000Z,154.904,154.925,154.903,154.918
2026-02-23T11:55:00.000000000Z,154.919,154.924,154.908,154.913
2026-02-23T11:56:00.000000000Z,154.912,154.921,154.911,154.915
2026-02-23T11:57:00.000000000Z,154.916,154.930,154.916,154.916
2026-02-23T11:58:00.000000000Z,154.918,154.924,154.916,154.918
2026-02-23T11:59:00.000000000Z,154.919,154.925,154.911,154.925
2026-02-23T12:00:00.000000000Z,154.928,154.986,154.928,154.966
2026-02-23T12:01:00.000000000Z,154.967,154.976,154.947,154.962
2026-02-23T12:02:00.000000000Z,154.962,154.972,154.958,154.960
2026-02-23T12:03:00.000000000Z,154.960,154.968,154.936,154.944
2026-02-23T12:04:00.000000000Z,154.944,154.974,154.943,154.973
2026-02-23T12:05:00.000000000Z,154.974,154.983,154.959,154.982
2026-02-23T12:06:00.000000000Z,154.983,154.989,154.974,154.982
2026-02-23T12:07:00.000000000Z,154.982,154.983,154.971,154.971
2026-02-23T12:08:00.000000000Z,154.970,154.986,154.968,154.972
2026-02-23T12:09:00.000000000Z,154.972,154.976,154.967,154.974
2026-02-23T12:10:00.000000000Z,154.974,154.979,154.960,154.966
2026-02-23T12:11:00.000000000Z,154.966,154.980,154.952,154.960
2026-02-23T12:12:00.000000000Z,154.961,154.962,154.942,154.954
2026-02-23T12:13:00.000000000Z,154.954,154.958,154.932,154.938
2026-02-23T12:14:00.000000000Z,154.939,154.940,154.902,154.902
2026-02-23T12:15:00.000000000Z,154.902,154.924,154.898,154.917
2026-02-23T12:16:00.000000000Z,154.916,154.930,154.914,154.914
2026-02-23T12:17:00.000000000Z,154.915,154.916,154.886,154.890
2026-02-23T12:18:00.000000000Z,154.888,154.888,154.853,154.868
2026-02-23T12:19:00.000000000Z,154.868,154.882,154.866,154.880
2026-02-23T12:20:00.000000000Z,154.880,154.901,154.878,154.900
2026-02-23T12:21:00.000000000Z,154.902,154.924,154.900,154.924
2026-02-23T12:22:00.000000000Z,154.924,154.936,154.918,154.931
2026-02-23T12:23:00.000000000Z,154.932,154.932,154.912,154.922
2026-02-23T12:24:00.000000000Z,154.921,154.950,154.920,154.948
2026-02-23T12:25:00.000000000Z,154.948,154.957,154.940,154.950
2026-02-23T12:26:00.000000000Z,154.952,155.028,154.952,155.024
2026-02-23T12:27:00.000000000Z,155.024,155.046,154.993,155.006
2026-02-23T12:28:00.000000000Z,155.006,155.032,155.004,155.014
2026-02-23T12:29:00.000000000Z,155.014,155.030,155.001,155.024
2026-02-23T12:30:00.000000000Z,155.024,155.046,155.006,155.020
2026-02-23T12:31:00.000000000Z,155.020,155.036,154.975,154.988
2026-02-23T12:32:00.000000000Z,154.988,154.996,154.968,154.978
2026-02-23T12:33:00.000000000Z,154.978,154.992,154.959,154.964
2026-02-23T12:34:00.000000000Z,154.964,154.966,154.938,154.939
