time,open,high,low,close
2025-06-26T03:42:00Z,144.766,144.784,144.762,144.776
2025-06-26T03:43:00Z,144.776,144.792,144.776,144.79
2025-06-26T03:44:00Z,144.79,144.79,144.768,144.769
2025-06-26T03:45:00Z,144.77,144.784,144.768,144.782
2025-06-26T03:46:00Z,144.78,144.792,144.776,144.778
2025-06-26T03:47:00Z,144.778,144.778,144.768,144.768
2025-06-26T03:48:00Z,144.769,144.77,144.764,144.765
2025-06-26T03:49:00Z,144.766,144.771,144.764,144.767
2025-06-26T03:50:00Z,144.768,144.769,144.753,144.754
2025-06-26T03:51:00Z,144.748,144.766,144.742,144.752
2025-06-26T03:52:00Z,144.753,144.767,144.746,144.757
2025-06-26T03:53:00Z,144.759,144.766,144.754,144.757
2025-06-26T03:54:00Z,144.758,144.761,144.746,144.76
2025-06-26T03:55:00Z,144.76,144.762,144.744,144.75
2025-06-26T03:56:00Z,144.749,144.786,144.749,144.785
2025-06-26T03:57:00Z,144.784,144.804,144.784,144.787
2025-06-26T03:58:00Z,144.788,144.792,144.776,144.789
2025-06-26T03:59:00Z,144.788,144.793,144.78,144.788
2025-06-26T04:00:00Z,144.787,144.844,144.784,144.837
2025-06-26T04:01:00Z,144.84,144.872,144.839,144.862
2025-06-26T04:02:00Z,144.862,144.874,144.86,144.872
2025-06-26T04:03:00Z,144.87,144.878,144.853,144.853
2025-06-26T04:04:00Z,144.852,144.88,144.852,144.88
2025-06-26T04:05:00Z,144.88,144.88,144.859,144.866
2025-06-26T04:06:00Z,144.867,144.906,144.86,144.882
2025-06-26T04:07:00Z,144.883,144.922,144.882,144.906
2025-06-26T04:08:00Z,144.907,144.932,144.902,144.928
2025-06-26T04:09:00Z,144.925,144.926,144.892,144.893
2025-06-26T04:10:00Z,144.894,144.916,144.894,144.906
2025-06-26T04:11:00Z,144.907,144.933,144.904,144.93
2025-06-26T04:12:00Z,144.93,144.966,144.929,144.935
2025-06-26T04:13:00Z,144.932,144.932,144.916,144.927
2025-06-26T04:14:00Z,144.926,144.927,144.906,144.924
2025-06-26T04:15:00Z,144.924,144.926,144.902,144.902
2025-06-26T04:16:00Z,144.902,144.91,144.898,144.904
2025-06-26T04:17:00Z,144.904,144.908,144.861,144.864
2025-06-26T04:18:00Z,144.861,144.892,144.86,144.89
2025-06-26T04:19:00Z,144.892,144.892,144.862,144.868
2025-06-26T04:20:00Z,144.868,144.896,144.866,144.88
2025-06-26T04:21:00Z,144.879,144.885,144.854,144.857
2025-06-26T04:22:00Z,144.856,144.856,144.828,144.836
2025-06-26T04:23:00Z,144.835,144.841,144.826,144.838
2025-06-26T04:24:00Z,144.838,144.845,144.826,144.836
2025-06-26T04:25:00Z,144.836,144.854,144.836,144.854
2025-06-26T04:26:00Z,144.853,144.874,144.853,144.862
2025-06-26T04:27:00Z,144.862,144.862,144.847,144.849
2025-06-26T04:28:00Z,144.85,144.852,144.826,144.826
2025-06-26T04:29:00Z,144.828,144.836,144.82,144.822
2025-06-26T04:30:00Z,144.82,144.82,144.804,144.808
2025-06-26T04:31:00Z,144.808,144.811,144.794,144.802
2025-06-26T04:32:00Z,144.8,144.814,144.796,144.796
2025-06-26T04:33:00Z,144.796,144.796,144.784,144.788
2025-06-26T04:34:00Z,144.788,144.793,144.785,144.787
2025-06-26T04:35:00Z,144.786,144.788,144.774,144.782
2025-06-26T04:36:00Z,144.78,144.782,144.765,144.765
2025-06-26T04:37:00Z,144.766,144.779,144.763,144.766
2025-06-26T04:38:00Z,144.766,144.786,144.764,144.777
2025-06-26T04:39:00Z,144.779,144.779,144.772,144.774
2025-06-26T04:40:00Z,144.773,144.785,144.77,144.776
2025-06-26T04:41:00Z,144.775,144.783,144.775,144.78
2025-06-26T04:42:00Z,144.779,144.779,144.754,144.755
2025-06-26T04:43:00Z,144.756,144.756,144.742,144.75
2025-06-26T04:44:00Z,144.751,144.757,144.743,144.748
2025-06-26T04:45:00Z,144.746,144.769,144.743,144.766
2025-06-26T04:46:00Z,144.764,144.796,144.762,144.776
2025-06-26T04:47:00Z,144.775,144.776,144.742,144.751
2025-06-26T04:48:00Z,144.752,144.752,144.742,144.752
2025-06-26T04:49:00Z,144.752,144.756,144.746,144.747
2025-06-26T04:50:00Z,144.749,144.758,144.748,144.754
2025-06-26T04:51:00Z,144.754,144.76,144.746,144.756
2025-06-26T04:52:00Z,144.756,144.764,144.733,144.734
2025-06-26T04:53:00Z,144.734,144.757,144.734,144.753
2025-06-26T04:54:00Z,144.754,144.754,144.738,144.742
2025-06-26T04:55:00Z,144.743,144.778,144.743,144.772
2025-06-26T04:56:00Z,144.772,144.784,144.772,144.78
2025-06-26T04:57:00Z,144.778,144.806,144.776,144.782
2025-06-26T04:58:00Z,144.782,144.785,144.78,144.782
2025-06-26T04:59:00Z,144.781,144.79,144.779,144.784
2025-06-26T05:00:00Z,144.784,144.805,144.782,144.804
2025-06-26T05:01:00Z,144.805,144.833,144.804,144.828
2025-06-26T05:02:00Z,144.828,144.856,144.828,144.856
2025-06-26T05:03:00Z,144.856,144.872,144.848,144.868
2025-06-26T05:04:00Z,144.869,144.884,144.868,144.88
2025-06-26T05:05:00Z,144.88,144.907,144.878,144.89
2025-06-26T05:06:00Z,144.888,144.904,144.878,144.889
2025-06-26T05:07:00Z,144.89,144.92,144.884,144.892
2025-06-26T05:08:00Z,144.893,144.896,144.836,144.836
2025-06-26T05:09:00Z,144.837,144.846,144.806,144.806
