cross_time,bars_narrowing_before_cross,mean_deceleration_pips_per_bar
2026-01-05 22:35:00+00:00,0,0.029108931020226967
2026-01-06 01:30:00+00:00,0,-0.7207982676616591
2026-01-06 05:00:00+00:00,0,-0.32180776367691044
2026-01-06 05:50:00+00:00,2,0.0454897054520842
2026-01-06 07:00:00+00:00,0,-0.13214255184114637
2026-01-06 08:40:00+00:00,5,-0.18328505623249688
2026-01-06 09:05:00+00:00,2,-0.1607237268980081
2026-01-06 09:30:00+00:00,0,0.0067469422635074066
2026-01-06 12:05:00+00:00,9,-0.33478221586866164
2026-01-06 12:50:00+00:00,7,-0.07496825818265052
2026-01-06 13:45:00+00:00,8,-0.03949809881040283
2026-01-06 15:05:00+00:00,0,-0.14429065706470587
2026-01-06 19:30:00+00:00,7,-0.11033220948784599
2026-01-06 21:30:00+00:00,2,-0.2653658821549243
2026-01-06 22:25:00+00:00,0,-0.01065418448964313
2026-01-06 23:30:00+00:00,1,-0.007319129529908726
2026-01-07 00:40:00+00:00,5,0.04808396319522975
2026-01-07 01:25:00+00:00,0,-0.127592673496603
2026-01-07 03:00:00+00:00,5,-0.05065213719385989
2026-01-07 07:35:00+00:00,0,-0.39147180213376487
2026-01-07 09:45:00+00:00,7,-0.341044142883599
2026-01-07 11:00:00+00:00,2,-0.01323618691988789
2026-01-07 13:05:00+00:00,4,-0.009434684840149051
2026-01-07 14:40:00+00:00,0,-0.2790275875851952
2026-01-07 17:30:00+00:00,7,-0.4440452394029156
2026-01-07 18:30:00+00:00,5,-0.03880666890097473
2026-01-07 22:05:00+00:00,10,-0.163495516462433
2026-01-07 23:55:00+00:00,0,-0.2155707560108529
2026-01-08 03:05:00+00:00,0,-0.36584483668804074
2026-01-08 08:40:00+00:00,0,-0.0657278721973853
2026-01-08 11:00:00+00:00,11,-0.3417484514317456
2026-01-08 11:20:00+00:00,0,-0.07309452095303944
2026-01-08 12:45:00+00:00,0,-0.14433626844682598
2026-01-08 13:40:00+00:00,0,0.046046483458421036
2026-01-08 15:55:00+00:00,9,-0.47611441512344765
2026-01-08 18:55:00+00:00,2,-0.1900359601366593
2026-01-08 21:30:00+00:00,5,-0.10155285733039439
2026-01-08 23:35:00+00:00,0,-0.2585579051906469
2026-01-09 11:20:00+00:00,5,-0.2644493268400083
2026-01-09 12:30:00+00:00,4,-0.041613762439093684
2026-01-09 13:10:00+00:00,0,-0.08923172035213997
2026-01-09 14:20:00+00:00,0,0.1392567374775429
2026-01-09 18:20:00+00:00,0,-0.18139022016413267
2026-01-09 21:40:00+00:00,0,-0.05308347966547444
2026-01-12 00:20:00+00:00,0,-0.24397415040454007
2026-01-12 02:30:00+00:00,0,-0.8511588411419287
2026-01-12 05:45:00+00:00,0,-0.4812169116332636
2026-01-12 09:45:00+00:00,3,-0.46715234394289
2026-01-12 11:10:00+00:00,7,-0.18905270199439883
2026-01-12 11:40:00+00:00,3,-0.18060398322542628
2026-01-12 12:30:00+00:00,0,-0.015398751669882438
2026-01-12 14:10:00+00:00,0,-0.16925674817305963
2026-01-12 15:50:00+00:00,14,-0.4187030935321445
2026-01-12 21:45:00+00:00,9,-0.1448314805407828
2026-01-12 23:15:00+00:00,0,-0.056093803538412125
2026-01-13 00:40:00+00:00,0,-0.2854729226662774
2026-01-13 07:35:00+00:00,3,-0.49137904058881066
2026-01-13 09:35:00+00:00,5,-0.2915923080818554
2026-01-13 11:25:00+00:00,5,-0.043351842646094
2026-01-13 12:30:00+00:00,0,-0.0009867658281829505
2026-01-13 13:05:00+00:00,2,0.035296492312279305
2026-01-13 14:15:00+00:00,0,-0.010426437025235661
2026-01-13 17:45:00+00:00,6,-0.3864014598441182
2026-01-13 18:35:00+00:00,3,-0.04807417439593564
2026-01-13 22:40:00+00:00,8,-0.09435549768473571
2026-01-14 00:40:00+00:00,5,-0.06611032744681704
2026-01-14 02:45:00+00:00,0,-0.48122318320632
2026-01-14 04:45:00+00:00,0,-0.4232470197626981
2026-01-14 06:50:00+00:00,0,-0.2913952694336785
2026-01-14 11:55:00+00:00,0,-0.6623539513812677
2026-01-14 13:35:00+00:00,6,-0.360532337511188
2026-01-14 17:35:00+00:00,0,-0.31323953040470087
2026-01-14 21:55:00+00:00,0,-0.3395406958694972
2026-01-15 00:00:00+00:00,0,-0.5571058819630063
2026-01-15 01:10:00+00:00,5,-0.2631741878142672
2026-01-15 02:35:00+00:00,0,-0.17084788234834983
2026-01-15 05:25:00+00:00,0,-0.15785592242754848
2026-01-15 06:35:00+00:00,0,-0.057545554598921946
2026-01-15 07:45:00+00:00,4,-0.12514895539169402
2026-01-15 08:10:00+00:00,0,-0.3445368627776841
2026-01-15 09:15:00+00:00,3,-0.047223001833269024
2026-01-15 11:20:00+00:00,3,-0.3930743957278083
2026-01-15 15:15:00+00:00,7,-0.5038668337309105
2026-01-15 19:05:00+00:00,3,-0.0428937507231808
2026-01-15 19:40:00+00:00,2,0.04450442423622766
2026-01-15 23:55:00+00:00,4,0.0007361233185558147
2026-01-16 00:55:00+00:00,0,0.016815220791196843
2026-01-16 01:15:00+00:00,2,-0.07826959762269325
2026-01-16 04:55:00+00:00,14,-0.6920353175564742
2026-01-16 07:20:00+00:00,6,-0.3596084684861959
2026-01-16 10:10:00+00:00,5,-0.22091691035844482
2026-01-16 12:10:00+00:00,4,-0.06982461054595508
2026-01-16 13:15:00+00:00,0,-0.025484139339558464
2026-01-16 15:40:00+00:00,0,-0.026958933876339186
2026-01-16 16:15:00+00:00,5,-0.21179317235819894
2026-01-16 16:45:00+00:00,2,0.03455553131213188
2026-01-16 17:05:00+00:00,0,-0.06216379588579457
2026-01-16 19:50:00+00:00,6,-0.16139861699353256
2026-01-16 21:50:00+00:00,0,-0.20194112595419256
2026-01-19 02:00:00+00:00,0,-0.46550185536034405
2026-01-19 05:00:00+00:00,9,-0.2090700638678792
2026-01-19 05:45:00+00:00,0,-0.004492575178005606
2026-01-19 06:55:00+00:00,0,-0.13325765743521362
2026-01-19 07:30:00+00:00,3,0.008644482116793029
2026-01-19 09:55:00+00:00,4,-0.15901489746151282
2026-01-19 11:25:00+00:00,6,-0.28307021976009616
2026-01-19 12:25:00+00:00,6,-0.07182890512846524
2026-01-19 13:00:00+00:00,4,-0.08784619024346796
2026-01-19 15:30:00+00:00,0,-0.11274264264216072
2026-01-19 17:50:00+00:00,13,-0.3782725808285174
2026-01-19 18:50:00+00:00,0,0.006841555618564141
2026-01-19 22:05:00+00:00,1,-0.09649344315060186
2026-01-19 23:00:00+00:00,0,0.002835343592266779
2026-01-20 00:55:00+00:00,2,-0.08675450667036937
2026-01-20 04:45:00+00:00,3,-0.19988853496916667
2026-01-20 08:05:00+00:00,11,-1.1103146793672636
2026-01-20 10:40:00+00:00,0,-1.4012505518291127
2026-01-20 11:05:00+00:00,0,-0.15724487487302793
2026-01-20 11:45:00+00:00,3,0.06214841062082143
2026-01-20 12:55:00+00:00,0,-0.20838167597825458
2026-01-20 16:05:00+00:00,0,-0.5569906655784014
2026-01-20 16:40:00+00:00,0,0.013812282376453766
2026-01-20 17:05:00+00:00,0,-0.14771799401418975
2026-01-20 17:50:00+00:00,2,-0.05139687131257157
2026-01-20 21:50:00+00:00,0,-0.2699221404452601
2026-01-20 23:20:00+00:00,2,-0.05659154721551356
2026-01-20 23:45:00+00:00,3,-0.04520893800237976
2026-01-21 00:15:00+00:00,0,-0.013091231228995208
2026-01-21 01:05:00+00:00,0,0.042328829943869564
2026-01-21 03:25:00+00:00,7,-0.22482061791540295
2026-01-21 06:55:00+00:00,0,-0.38547273610324356
2026-01-21 09:50:00+00:00,13,-0.39830356277756584
2026-01-21 11:35:00+00:00,0,-0.289328010711453
2026-01-21 13:40:00+00:00,7,-0.46627994636907033
2026-01-21 17:15:00+00:00,0,-0.3487894067635958
2026-01-21 17:45:00+00:00,4,-0.006380516802415684
2026-01-21 21:30:00+00:00,0,-0.49574864899578114
2026-01-21 23:30:00+00:00,4,-0.09483663208897042
2026-01-22 00:40:00+00:00,0,-0.10500044671677718
2026-01-22 02:00:00+00:00,0,-0.20826856396941668
2026-01-22 08:30:00+00:00,0,-0.29389794487021464
2026-01-22 12:45:00+00:00,5,-0.16323789288890114
2026-01-22 14:25:00+00:00,2,-0.1761512298514845
2026-01-22 19:10:00+00:00,10,-0.13934138150498634
2026-01-22 22:30:00+00:00,0,-0.02815619837529463
2026-01-22 23:30:00+00:00,0,-0.01724957231563925
2026-01-23 04:55:00+00:00,0,0.00824556872904244
2026-01-23 06:00:00+00:00,0,-0.09330975384292135
2026-01-23 07:45:00+00:00,2,0.46048206045403123
2026-01-23 10:45:00+00:00,0,-1.1081133497829871
2026-01-23 12:05:00+00:00,0,-0.14813066258777025
2026-01-23 12:45:00+00:00,2,-0.1314795905120423
2026-01-23 13:55:00+00:00,0,0.035154128695561816
2026-01-23 15:20:00+00:00,0,-0.22146931218638125
2026-01-26 00:00:00+00:00,0,-3.123188511880149
2026-01-26 00:35:00+00:00,3,-0.3080675146456712
2026-01-26 06:05:00+00:00,7,-0.30967812538439904
2026-01-26 07:20:00+00:00,3,-0.5248476832532372
2026-01-26 08:00:00+00:00,2,0.10296721854735502
2026-01-26 11:40:00+00:00,7,-0.38281640342025475
2026-01-26 14:20:00+00:00,0,-1.0897563958522483
2026-01-26 16:20:00+00:00,0,-0.4420525502911232
2026-01-26 20:05:00+00:00,0,-0.5693857950970482
2026-01-26 21:00:00+00:00,7,-0.04374317964694305
2026-01-27 00:30:00+00:00,6,-0.010255683339721655
2026-01-27 01:00:00+00:00,2,-0.0248891860501371
2026-01-27 02:30:00+00:00,6,-0.22038010534316754
2026-01-27 03:15:00+00:00,5,-0.0859018078587799
2026-01-27 06:45:00+00:00,2,0.03170368989941609
2026-01-27 07:20:00+00:00,2,-0.14317764884429113
2026-01-27 09:25:00+00:00,9,-0.5544243275451777
2026-01-27 15:55:00+00:00,7,-0.39294407400613335
2026-01-27 23:15:00+00:00,0,-0.6725583958567919
2026-01-28 03:10:00+00:00,11,-0.9857039711304576
2026-01-28 06:50:00+00:00,3,-0.15711152660988623
2026-01-28 07:50:00+00:00,0,0.08841378501102781
2026-01-28 08:20:00+00:00,1,-0.3143801918952249
2026-01-28 08:50:00+00:00,2,0.18591639430234239
2026-01-28 10:45:00+00:00,4,-0.10863569178383159
2026-01-28 11:15:00+00:00,0,-0.09850380100986166
2026-01-28 11:55:00+00:00,0,-0.07845855565480836
2026-01-28 13:15:00+00:00,8,-0.32218286113125794
2026-01-28 19:50:00+00:00,0,-0.7888767828874659
2026-01-29 01:15:00+00:00,8,-0.6973246307326992
2026-01-29 02:30:00+00:00,4,-0.14425216524671214
2026-01-29 06:00:00+00:00,0,-0.2355577894222923
2026-01-29 06:25:00+00:00,3,0.1476719628652429
2026-01-29 06:45:00+00:00,3,-0.20627102893475543
2026-01-29 09:40:00+00:00,2,-0.4526061406459311
2026-01-29 12:30:00+00:00,10,-0.4344015339182761
2026-01-29 15:20:00+00:00,5,-0.05373486374509184
2026-01-29 15:45:00+00:00,0,-0.10995072588586811
2026-01-29 18:15:00+00:00,0,-0.4496871631303634
2026-01-29 22:05:00+00:00,0,-0.08978255840617068
2026-01-29 22:35:00+00:00,6,-0.032218655971946855
2026-01-29 23:55:00+00:00,4,-0.08751122912533067
2026-01-30 06:10:00+00:00,4,-0.0561585916718362
2026-01-30 06:50:00+00:00,0,-0.14477931514431086
2026-01-30 07:45:00+00:00,0,0.045803845927802435
2026-01-30 09:00:00+00:00,0,-0.29612403109088825
2026-01-30 11:15:00+00:00,6,-0.5362487507172393
2026-01-30 13:00:00+00:00,8,-0.5214934177962505
2026-01-30 16:05:00+00:00,0,-1.0099531592700828
2026-01-30 17:15:00+00:00,10,-0.48930302655473196
2026-01-30 19:00:00+00:00,4,-0.17328420691370638
2026-01-30 19:25:00+00:00,0,-0.38181969310152736
2026-02-02 00:05:00+00:00,0,-1.68746735228325
2026-02-02 01:00:00+00:00,0,-0.12112325738532563
2026-02-02 01:55:00+00:00,0,-0.09428105884760878
2026-02-02 03:40:00+00:00,4,-0.3991353826441469
2026-02-02 07:45:00+00:00,10,-0.6348363064426128
2026-02-02 09:35:00+00:00,3,-0.4205080860284246
2026-02-02 12:15:00+00:00,0,-0.12946815467245187
2026-02-02 17:15:00+00:00,6,-0.5998734600366143
2026-02-02 18:05:00+00:00,0,0.004865573073971067
2026-02-02 20:10:00+00:00,7,-0.46804056500822827
2026-02-02 22:10:00+00:00,11,-0.23235985163353234
2026-02-03 00:45:00+00:00,6,-0.19116832950336027
2026-02-03 03:00:00+00:00,5,-0.1422169845546743
2026-02-03 03:30:00+00:00,4,-0.13079802853258654
2026-02-03 05:25:00+00:00,10,-0.23440434804967936
2026-02-03 06:20:00+00:00,1,-0.021259354905964763
2026-02-03 06:45:00+00:00,2,0.054897525461209774
2026-02-03 07:10:00+00:00,0,-0.009568802920038403
2026-02-03 07:40:00+00:00,0,0.0063432159747446315
2026-02-03 08:20:00+00:00,0,-0.009181564160422163
2026-02-03 13:05:00+00:00,0,-0.19933817341486323
2026-02-03 14:05:00+00:00,0,-0.06312558922720275
2026-02-03 14:50:00+00:00,5,-0.02119225644302484
2026-02-03 18:20:00+00:00,12,-0.4928546219629008
