trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 19:26:00+00:00,2023-06-27 21:03:00+00:00,99868.7230402449,0.0,0.0
2,2023-06-27 20:55:00+00:00,2023-06-27 21:03:00+00:00,99836.42866314325,32.29437710165803,0.032336827906214546
3,2023-06-28 19:42:00+00:00,2023-06-28 21:03:00+00:00,99634.00079035883,234.72224988607923,0.2350307911632066
4,2023-06-29 18:27:00+00:00,2023-06-29 21:03:00+00:00,99791.21438792563,77.5086523192731,0.07761053707279185
5,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,99913.45138284584,0.0,0.0
6,2023-07-05 18:36:00+00:00,2023-07-05 21:03:00+00:00,99985.72795453526,0.0,0.0
7,2023-07-06 19:41:00+00:00,2023-07-06 21:03:00+00:00,99869.18033457853,116.5476199567347,0.11656425606035527
8,2023-07-11 16:54:00+00:00,2023-07-11 19:21:00+00:00,99970.45514491072,15.272809624540969,0.015274989678012548
9,2023-07-11 17:06:00+00:00,2023-07-11 19:59:00+00:00,100097.4780365057,0.0,0.0
10,2023-07-13 18:36:00+00:00,2023-07-13 18:43:00+00:00,100177.8840710836,0.0,0.0
11,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100258.41282030655,0.0,0.0
12,2023-07-19 19:33:00+00:00,2023-07-19 21:03:00+00:00,100355.12542934023,0.0,0.0
13,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100496.22039894186,0.0,0.0
14,2023-07-25 18:51:00+00:00,2023-07-25 21:03:00+00:00,100488.14459940499,8.07579953687673,0.008035923644509283
15,2023-07-26 18:01:00+00:00,2023-07-26 18:31:00+00:00,100709.06012168458,0.0,0.0
16,2023-08-01 17:43:00+00:00,2023-08-01 18:35:00+00:00,100894.38091339527,0.0,0.0
17,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,100975.42802099616,0.0,0.0
18,2023-08-08 16:56:00+00:00,2023-08-08 17:14:00+00:00,101121.25621664869,0.0,0.0
19,2023-08-10 17:44:00+00:00,2023-08-10 17:48:00+00:00,101259.5855461802,0.0,0.0
20,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101340.98248310783,0.0,0.0
21,2023-08-16 17:13:00+00:00,2023-08-16 18:07:00+00:00,100772.03167520836,568.9508078994695,0.5614222340841287
22,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100918.17598774032,422.8064953675057,0.417211758765001
23,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100733.799981049,607.1825020588294,0.5991480319031233
24,2023-08-25 20:31:00+00:00,2023-08-27 21:03:00+00:00,100707.44652697534,633.5359561324876,0.6251527670338991
25,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100809.65140838544,531.3310747223877,0.5243002995465861
26,2023-09-05 17:23:00+00:00,2023-09-05 17:57:00+00:00,100471.34382589761,869.6386572102201,0.8581312672345338
27,2023-09-05 17:33:00+00:00,2023-09-05 21:03:00+00:00,100613.54943489323,727.4330482146033,0.7178073770262259
28,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101381.67730470948,0.0,0.0
29,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,101896.3077446671,0.0,0.0
30,2023-09-13 19:02:00+00:00,2023-09-13 21:03:00+00:00,101951.58728826388,0.0,0.0
31,2023-09-15 19:11:00+00:00,2023-09-17 21:03:00+00:00,102200.30391181224,0.0,0.0
32,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,102496.37943408523,0.0,0.0
33,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,102628.83543208816,0.0,0.0
34,2023-09-22 17:46:00+00:00,2023-09-24 21:03:00+00:00,102615.75467355466,13.080758533498738,0.01274569518247586
35,2023-10-06 17:11:00+00:00,2023-10-06 17:17:00+00:00,102709.77804305595,0.0,0.0
36,2023-10-17 17:16:00+00:00,2023-10-17 21:03:00+00:00,102584.41517877174,125.36286428420863,0.12205543296146205
