trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 19:26:00+00:00,2023-06-27 22:00:00+00:00,99921.22288899463,0.0,0.0
2,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,99953.52174954287,0.0,0.0
3,2023-06-28 19:25:00+00:00,2023-06-28 22:00:00+00:00,99790.96592355227,162.55582599059562,0.16263141422662186
4,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99680.56870714849,272.95304239437974,0.27307996518454647
5,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,99802.67009534966,150.851654193204,0.15092180000540492
6,2023-07-05 16:21:00+00:00,2023-07-05 18:06:00+00:00,99893.11007835303,60.41167118983867,0.06043976253404495
7,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,99973.408697383,0.0,0.0
8,2023-07-07 20:35:00+00:00,2023-07-09 21:03:00+00:00,100207.252984514,0.0,0.0
9,2023-07-11 16:54:00+00:00,2023-07-11 19:21:00+00:00,100308.87061902635,0.0,0.0
10,2023-07-11 17:06:00+00:00,2023-07-11 19:59:00+00:00,100436.32355038098,0.0,0.0
11,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100517.06034104258,0.0,0.0
12,2023-07-19 19:33:00+00:00,2023-07-19 21:05:00+00:00,100597.86157693755,0.0,0.0
13,2023-07-19 19:43:00+00:00,2023-07-19 22:00:00+00:00,100761.5272055927,0.0,0.0
14,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100902.62217519434,0.0,0.0
15,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,100983.67564751882,0.0,0.0
16,2023-07-26 18:01:00+00:00,2023-07-26 18:31:00+00:00,101205.68062408795,0.0,0.0
17,2023-08-01 17:43:00+00:00,2023-08-01 18:35:00+00:00,101391.9153132638,0.0,0.0
18,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101473.36188930996,0.0,0.0
19,2023-08-08 16:56:00+00:00,2023-08-08 17:14:00+00:00,101619.1900849625,0.0,0.0
20,2023-08-09 18:32:00+00:00,2023-08-09 19:52:00+00:00,101700.8766796529,0.0,0.0
21,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101782.62854287836,0.0,0.0
22,2023-08-11 18:02:00+00:00,2023-08-13 21:03:00+00:00,101908.33217916015,0.0,0.0
23,2023-08-16 17:13:00+00:00,2023-08-16 18:07:00+00:00,101336.19669142825,572.1354877318954,0.5614216968304923
24,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101482.34100396022,425.9911751999316,0.4180140780353631
25,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,101296.93419311069,611.3979860494583,0.5999489668563988
26,2023-08-25 20:12:00+00:00,2023-08-27 21:03:00+00:00,101197.07131821528,711.2608609448653,0.6979418127405242
27,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101299.77288171231,608.559297447835,0.5971634354470212
28,2023-09-05 17:23:00+00:00,2023-09-05 17:57:00+00:00,100961.46529922448,946.8668799356674,0.9291358809317242
29,2023-09-05 17:33:00+00:00,2023-09-05 22:00:00+00:00,101073.19146854046,835.1407106196857,0.8195018923000965
30,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101844.82818918023,63.50398997991579,0.0623148162883016
31,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,102361.80797259454,0.0,0.0
32,2023-09-13 19:31:00+00:00,2023-09-13 20:28:00+00:00,102444.090568022,0.0,0.0
33,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,102569.58097922623,0.0,0.0
34,2023-09-15 19:11:00+00:00,2023-09-17 21:03:00+00:00,102818.29760277459,0.0,0.0
35,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,103114.37312504758,0.0,0.0
36,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,103247.62773522934,0.0,0.0
37,2023-09-19 16:09:00+00:00,2023-09-19 21:53:00+00:00,103335.48323816326,0.0,0.0
38,2023-09-22 17:46:00+00:00,2023-09-24 21:03:00+00:00,103322.31242653241,13.170811630843673,0.012745681558858288
39,2023-09-22 17:58:00+00:00,2023-09-24 21:03:00+00:00,103309.14161490157,26.341623261687346,0.025491363117716576
40,2023-10-06 17:11:00+00:00,2023-10-06 17:17:00+00:00,103403.80054135821,0.0,0.0
41,2023-10-06 18:03:00+00:00,2023-10-06 20:57:00+00:00,103504.47933651967,0.0,0.0
42,2023-10-17 17:53:00+00:00,2023-10-17 20:11:00+00:00,103642.21376339204,0.0,0.0
43,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,103630.29175596133,11.922007430708618,0.011503042049956336
44,2023-10-17 20:27:00+00:00,2023-10-17 22:00:00+00:00,103653.0890800992,0.0,0.0
45,2023-10-20 19:46:00+00:00,2023-10-22 21:03:00+00:00,103629.34435694387,23.74472315533785,0.02290787796684846
46,2023-10-31 20:29:00+00:00,2023-10-31 20:54:00+00:00,103299.77796744255,353.31111265665095,0.34085922165197163
47,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,103431.68016368625,221.40891641295457,0.21360570956245992
48,2023-11-07 17:32:00+00:00,2023-11-07 18:33:00+00:00,103670.85024498713,0.0,0.0
49,2023-11-08 17:39:00+00:00,2023-11-08 22:03:00+00:00,103458.56194046553,212.28830452160037,0.20477145120343537
50,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,103678.82280773485,0.0,0.0
51,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,103820.5197520296,0.0,0.0
52,2023-11-17 18:18:00+00:00,2023-11-17 19:19:00+00:00,103486.26275519504,334.2569968345633,0.32195658202532634
53,2023-11-17 18:48:00+00:00,2023-11-19 22:03:00+00:00,103416.09364764589,404.42610438371776,0.3895435173602197
