trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100032.29886054824,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99921.81443172213,110.48442882610834,0.11044875513670947
3,2023-07-05 18:34:00+00:00,2023-07-05 21:15:00+00:00,100002.13626063934,30.16259990890103,0.030152860878414605
4,2023-07-07 19:59:00+00:00,2023-07-09 21:03:00+00:00,100195.53333295931,0.0,0.0
5,2023-07-07 20:10:00+00:00,2023-07-09 21:03:00+00:00,100434.65431175202,0.0,0.0
6,2023-07-11 16:59:00+00:00,2023-07-11 19:59:00+00:00,100548.41432914627,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 22:00:00+00:00,100710.10816113841,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100851.20313074005,0.0,0.0
9,2023-07-21 18:37:00+00:00,2023-07-21 20:54:00+00:00,100498.71189895946,352.49123178058653,0.3495161394590692
10,2023-08-01 17:43:00+00:00,2023-08-01 18:35:00+00:00,100683.6459435585,167.55718718154822,0.1661429729939194
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,100764.52384462972,86.6792861103313,0.08594769662585308
12,2023-08-04 19:43:00+00:00,2023-08-06 21:03:00+00:00,100349.82353936975,501.3795913702925,0.4971478532787766
13,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100495.96785190172,355.23527883832867,0.3522370262433199
14,2023-08-25 19:02:00+00:00,2023-08-27 21:03:00+00:00,100257.93105624434,593.2720744957041,0.5882647465559797
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100074.32675465518,776.8763760848669,0.7703193932924637
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100175.88919609191,675.313934648133,0.6696141579716001
17,2023-09-05 17:17:00+00:00,2023-09-05 22:00:00+00:00,100270.68715793571,580.5159728043363,0.5756163087630946
18,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,100783.56146706032,67.64166367972211,0.06707075531070639
19,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,100907.11732134363,0.0,0.0
20,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,101203.19284361662,0.0,0.0
21,2023-09-19 18:26:00+00:00,2023-09-19 20:16:00+00:00,101318.13861151767,0.0,0.0
22,2023-09-19 18:12:00+00:00,2023-09-19 22:00:00+00:00,101492.74867814743,0.0,0.0
23,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,101582.48743390673,0.0,0.0
24,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,101670.76781191902,0.0,0.0
25,2023-10-31 20:58:00+00:00,2023-10-31 21:06:00+00:00,101802.6465247884,0.0,0.0
26,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,101934.5487210321,0.0,0.0
27,2023-11-08 17:53:00+00:00,2023-11-08 18:11:00+00:00,102021.17992749497,0.0,0.0
28,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,102241.44079476429,0.0,0.0
29,2023-11-10 16:59:00+00:00,2023-11-12 22:03:00+00:00,102358.5600620306,0.0,0.0
30,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,102492.18960931303,0.0,0.0
31,2024-01-10 20:26:00+00:00,2024-01-10 21:00:00+00:00,102149.31640039697,342.87320891606214,0.3345359390047675
32,2024-01-12 19:31:00+00:00,2024-01-12 21:09:00+00:00,102234.22792480327,257.96168450976256,0.2516891145491955
33,2024-01-12 19:10:00+00:00,2024-01-14 22:03:00+00:00,102352.33151881798,139.85809049505042,0.1364573154580572
34,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,102434.60635152947,57.583257783568115,0.05618306917148326
35,2024-01-26 18:36:00+00:00,2024-01-28 22:03:00+00:00,102337.99664195256,154.19296736047545,0.1504436269224407
36,2024-02-21 21:11:00+00:00,2024-02-21 22:04:00+00:00,102206.47563598135,285.71397333168716,0.2787665815520108
37,2024-02-27 18:23:00+00:00,2024-02-27 20:16:00+00:00,102416.76597004705,75.42363926598046,0.07358964576079954
38,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,102665.07336909993,0.0,0.0
39,2024-03-15 20:09:00+00:00,2024-03-17 21:04:00+00:00,102904.99474282957,0.0,0.0
40,2024-03-26 18:02:00+00:00,2024-03-26 18:53:00+00:00,102987.71338528968,0.0,0.0
41,2024-03-27 21:10:00+00:00,2024-03-27 22:00:00+00:00,103045.63322032001,0.0,0.0
42,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,103176.3039220288,0.0,0.0
43,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,103339.61882322279,0.0,0.0
44,2024-04-16 20:45:00+00:00,2024-04-16 22:00:00+00:00,103358.3040620984,0.0,0.0
45,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,103244.61481886443,113.68924323396641,0.10999526769098408
46,2024-05-07 17:43:00+00:00,2024-05-07 22:00:00+00:00,103181.5985532608,176.7055088375928,0.17096401729988417
47,2024-05-15 20:21:00+00:00,2024-05-15 20:39:00+00:00,103310.69952797341,47.60453412498464,0.04605777402886129
48,2024-05-22 18:29:00+00:00,2024-05-22 22:00:00+00:00,103094.9978398072,263.3062222911976,0.2547509120631482
49,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,102713.00655059202,645.2975115063746,0.6243305918783993
50,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,102398.04895601577,960.2551060826227,0.9290546268113055
51,2024-06-04 17:54:00+00:00,2024-06-04 21:27:00+00:00,102856.44912487525,501.85493722315005,0.48554873435387647
52,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,102819.25981924687,539.0442428515234,0.5215296900843708
53,2024-06-14 20:43:00+00:00,2024-06-16 21:04:00+00:00,102810.99479200262,547.3092700957786,0.5295261711791936
54,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,102497.93225776142,860.3718043369736,0.832416719821618
55,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,102405.24662239717,953.0574397012242,0.9220908260342784
56,2024-07-17 19:14:00+00:00,2024-07-17 19:30:00+00:00,102553.03611870123,805.2679433971643,0.7791032860923818
57,2024-07-23 16:48:00+00:00,2024-07-23 21:12:00+00:00,101975.15427567952,1383.1497864188714,1.3382086702853262
58,2024-09-03 19:53:00+00:00,2024-09-03 20:28:00+00:00,102057.07014688435,1301.2339152140485,1.2589543985089557
59,2024-09-03 19:30:00+00:00,2024-09-03 22:00:00+00:00,101566.64880117674,1791.6552609216596,1.7334410400592686
60,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,101521.67279617325,1836.6312659251416,1.7769556907799886
61,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,101506.55225900015,1851.7518030982465,1.7915849335005545
62,2024-09-25 17:15:00+00:00,2024-09-25 17:56:00+00:00,101608.23173486712,1750.0723272312753,1.6932092134366095
63,2024-09-27 18:41:00+00:00,2024-09-27 19:10:00+00:00,101802.28043430275,1556.0236277956428,1.5054655181462469
64,2024-11-06 20:50:00+00:00,2024-11-06 21:42:00+00:00,101478.97914012769,1879.3249219707068,1.818262150317013
65,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,101559.8342639169,1798.469798181497,1.7400341602944296
66,2024-11-12 16:02:00+00:00,2024-11-12 17:04:00+00:00,100989.59531417162,2368.7087479267793,2.2917449830674874
67,2024-11-12 16:24:00+00:00,2024-11-12 17:11:00+00:00,100419.2865454185,2939.0175166799017,2.843523356298609
68,2024-11-20 20:48:00+00:00,2024-11-20 21:21:00+00:00,100500.00644063119,2858.297621467209,2.76542620102389
69,2024-11-20 20:10:00+00:00,2024-11-20 22:04:00+00:00,100417.31720540804,2940.9868566903606,2.8454287087793113
70,2024-12-13 16:45:00+00:00,2024-12-13 17:19:00+00:00,100092.23130145794,3266.0727606404544,3.1599519654252206
71,2024-12-17 17:11:00+00:00,2024-12-17 21:40:00+00:00,100328.546736088,3029.7573260103964,2.9313148599943135
72,2025-01-14 17:27:00+00:00,2025-01-14 18:56:00+00:00,100491.20371160067,2867.100350497727,2.773942912971127
