trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.0705,144.0605,144.24466666666672,143.37966666666668,session_close,1.0000000000019327,32.29886054823489,5,465299,6.0,17.41666666667072,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,4.100000000002524,2.4999999999977263,False,False,False,,pivot,pivot,0.0,0.0,69.23333333333233,2023-06-28,65.0,100000.0,100032.29886054824,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07596407110162,144.04188,144.00779592889836,144.086,bearish,68.18181818181819,0.0492142857142913
2,2023-06-28 19:42:00+00:00,2023-06-28 19:41:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.3625,144.4175,144.6425,143.83,session_close,-5.49999999999784,-110.48442882610304,5,290107,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,0.0,18.099999999998317,False,False,False,,pivot,pivot,0.0,0.0,55.39999999999736,2023-06-29,138.0,100032.29886054824,99921.81443172213,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.38198115579078,144.31028,144.23857884420923,144.32304,bullish,65.38461538461725,0.07650000000000391
3,2023-07-05 18:34:00+00:00,2023-07-05 18:32:00+00:00,2,2023-07-05 21:15:00+00:00,short,144.66150000000002,144.6415,144.6415,144.45600000000002,tp1_then_be_stop,3.9999931126399653,80.32182891720123,5,290387,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,8.70000000000175,4.399999999998272,False,False,False,,pivot,pivot,0.0,0.0,20.999999999997954,2023-07-06,161.0,99921.81443172213,100002.13626063934,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.66294967383124,144.59696,144.53097032616876,144.60708,bullish,63.60424028268445,0.07257142857143199
4,2023-07-07 19:38:00+00:00,2023-07-07 19:34:00+00:00,4,2023-07-09 21:03:00+00:00,long,142.1235,142.1945,142.14350000000002,144.08333333333334,tp1_then_session_close,6.550000000000011,230.32649274203112,5,500000,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.099999999999795,5.699999999998795,False,False,False,,pivot,pivot,0.0,0.0,196.83333333333337,2023-07-08,2965.0,100002.13626063934,100232.46275338136,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,142.17003017873816,142.14136,142.11268982126182,142.102,bullish,36.58536585366586,0.06564285714285793
5,2023-07-07 19:59:00+00:00,2023-07-07 19:58:00+00:00,1,2023-07-09 21:03:00+00:00,long,142.1395,142.1945,142.0395,144.08333333333334,session_close,5.500000000000682,193.39707231998008,5,500000,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,5.500000000000682,7.299999999997908,False,False,False,,pivot,pivot,0.0,0.0,196.7333333333329,2023-07-08,2944.0,100232.46275338136,100425.85982570134,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,142.16227323200712,142.13580000000002,142.1093267679929,142.13404761599998,bearish,38.97058823530149,0.05928571428571518
6,2023-07-11 16:59:00+00:00,2023-07-11 16:58:00+00:00,1,2023-07-11 19:59:00+00:00,long,140.3415,140.38049999999998,140.3615,141.87199999999999,tp1_then_trailing_stop,5.5499999999995,113.7497397558252,5,287760,7.199999999999969,27.55000000000223,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.100000000000023,4.899999999997817,False,False,False,,pivot,pivot,0.0,0.0,154.19999999999732,2023-07-12,180.0,100425.85982570134,100539.60956545715,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.7144057088092,140.52328,140.3321542911908,140.38422694399998,bearish,18.749999999999446,0.14399999999999938
7,2023-07-14 20:00:00+00:00,2023-07-14 19:59:00+00:00,1,2023-07-14 20:55:00+00:00,short,138.8685,138.8485,138.8485,138.31566666666666,tp1_then_be_stop,4.000000000000625,80.81977672021976,5,280482,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,7.600000000002183,4.399999999998272,False,False,False,,pivot,pivot,0.0,0.0,57.833333333334735,2023-07-15,55.0,100539.60956545715,100620.42934217738,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.31566666666666,138.71065466666664,138.95467866666667,137.92067866666667,137.67665466666665,138.89204945091018,138.80684,138.7216305490898,138.84672,bullish,69.5067264573955,0.0660714285714233
8,2023-07-19 19:40:00+00:00,2023-07-19 19:39:00+00:00,1,2023-07-19 22:00:00+00:00,short,139.70950000000002,139.6095,139.6895,138.548,tp1_then_session_close,8.00000708197868,161.80957099433732,5,282407,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,14.200000000002433,6.099999999997863,False,False,False,,pivot,pivot,0.0,0.0,118.10000000000116,2023-07-20,140.0,100620.42934217738,100782.23891317172,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.548,139.103046,139.445954,137.992954,137.650046,139.71288536815376,139.61736000000002,139.52183463184627,139.68838240000002,bullish,77.88461538460828,0.07957142857142685
10,2023-07-21 19:00:00+00:00,2023-07-21 18:59:00+00:00,1,2023-07-21 19:21:00+00:00,short,141.79850000000002,141.7785,141.7785,139.89066666666668,tp1_then_be_stop,4.000000000000625,141.09496960163847,5,500000,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.500000000002615,3.6999999999977717,False,False,False,,pivot,pivot,0.0,0.0,191.73333333333176,2023-07-22,21.0,100782.23891317172,100923.33388277335,TOKYO_MEANREV,tokyo_meanrev,tokyo,139.89066666666668,140.42088266666667,140.74845066666666,139.36045066666668,139.0328826666667,141.8107978691682,141.70544,141.60008213083182,141.7599,bullish,74.31906614785944,0.07557142857143008
9,2023-07-21 18:37:00+00:00,2023-07-21 18:35:00+00:00,2,2023-07-21 20:54:00+00:00,short,141.7475,141.8475,141.8475,139.89066666666668,sl,-9.999999999999432,-352.49123178058943,5,500000,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,2.600000000001046,10.599999999999454,False,False,False,,pivot,pivot,0.0,0.0,187.13333333333253,2023-07-22,137.0,100923.33388277335,100570.84265099277,TOKYO_MEANREV,tokyo_meanrev,tokyo,139.89066666666668,140.42088266666667,140.74845066666666,139.36045066666668,139.0328826666667,141.7745952162931,141.68828000000002,141.60196478370693,141.786,bearish,63.768115942025844,0.08878571428571393
11,2023-07-25 19:04:00+00:00,2023-07-25 19:02:00+00:00,2,2023-07-25 22:00:00+00:00,long,141.0325,140.8745,140.7525,141.33466666666666,session_close,-15.799999999998706,-319.5800375511275,3,284941,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,5.400000000000205,18.599999999997863,False,False,False,,pivot,pivot,0.0,0.0,32.86666666666633,2023-07-26,176.0,100570.84265099277,100251.26261344164,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.33466666666666,141.74455266666666,141.99778066666667,140.92478066666666,140.67155266666666,141.23108980272508,141.1214,141.0117101972749,141.0020720636209,bullish,40.990990990994284,0.08278571428570558
12,2023-08-01 17:43:00+00:00,2023-08-01 17:39:00+00:00,4,2023-08-01 18:35:00+00:00,short,143.5285,143.4095,143.5085,141.88733333333334,tp1_then_trailing_stop,9.153571428571183,184.47837225956118,5,289062,6.407142857142897,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,20.400000000000773,1.6999999999995907,False,False,False,,pivot,pivot,0.0,0.0,162.76666666666415,2023-08-02,52.0,100251.26261344164,100435.7409857012,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.88733333333334,142.65286133333333,143.12580533333335,141.12180533333336,140.64886133333334,143.51348919524972,143.36884,143.2241908047503,143.546,bearish,92.05776173285473,0.12814285714285795
14,2023-08-04 20:26:00+00:00,2023-08-04 20:25:00+00:00,1,2023-08-06 21:03:00+00:00,long,141.7885,141.8085,141.8085,142.8323333333333,tp1_then_be_stop,3.9999930090224822,80.6783784014775,5,286083,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.600000000000364,10.599999999999454,False,False,False,,pivot,pivot,0.0,0.0,106.03333333333183,2023-08-05,2917.0,100435.7409857012,100516.41936410268,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.8323333333333,143.5294833333333,143.9601833333333,142.13518333333332,141.70448333333331,141.89126022787485,141.82976,141.76825977212513,141.758,bullish,23.287671232873237,0.04907142857143348
13,2023-08-04 19:43:00+00:00,2023-08-04 19:42:00+00:00,1,2023-08-06 21:03:00+00:00,long,141.8405,141.6825,141.6244833333333,142.8323333333333,session_close,-15.799999999998704,-413.6788100153173,3,370956,6.0,21.60166666666896,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,4.400000000001114,15.799999999998704,False,False,False,,pivot,pivot,0.0,0.0,100.23333333332971,2023-08-05,2960.0,100516.41936410268,100102.74055408736,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.8323333333333,143.5294833333333,143.9601833333333,142.13518333333332,141.70448333333331,141.86854618868824,141.84511999999998,141.82169381131172,141.862706752,bearish,41.13924050632365,0.05678571428571339
15,2023-08-18 17:16:00+00:00,2023-08-18 17:15:00+00:00,1,2023-08-18 17:37:00+00:00,long,145.0445,145.0645,145.0645,146.006,tp1_then_be_stop,4.241071428572241,146.1443125319666,5,500000,6.482142857142849,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.700000000000841,4.800000000000182,False,False,False,,pivot,pivot,0.0,0.0,100.99999999999909,2023-08-19,21.0,100102.74055408736,100248.88486661932,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.006,146.367372,146.590628,145.644628,145.421372,145.31530632483728,145.15892,145.0025336751627,144.928,bullish,34.46808510638249,0.12964285714285698
16,2023-08-25 19:02:00+00:00,2023-08-25 19:01:00+00:00,1,2023-08-27 21:03:00+00:00,short,146.33950000000002,146.45749999999998,146.61950000000002,145.46666666666667,session_close,-11.799999999996658,-237.45186146144889,5,294717,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,2.200000000001978,12.79999999999859,False,False,False,,pivot,pivot,0.0,0.0,89.13333333333355,2023-08-26,3001.0,100248.88486661932,100011.43300515787,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.46666666666667,145.98542266666666,146.30591066666668,144.94791066666667,144.62742266666666,146.35946968184362,146.28292000000002,146.20637031815642,146.27754626688,bullish,61.3281249999948,0.09192857142856983
17,2023-08-25 19:24:00+00:00,2023-08-25 19:20:00+00:00,4,2023-08-27 21:03:00+00:00,short,146.3665,146.45749999999998,146.6465,145.46666666666667,session_close,-9.099999999997976,-183.15320826856964,5,294771,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,2.1000000000015007,10.099999999999909,False,False,False,,pivot,pivot,0.0,0.0,91.13333333333173,2023-08-26,2979.0,100011.43300515787,99828.2797968893,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.46666666666667,145.98542266666666,146.30591066666668,144.94791066666667,144.62742266666666,146.37863181542764,146.29012,146.20160818457236,146.3111,bullish,66.45962732918866,0.08885714285714082
18,2023-09-01 20:54:00+00:00,2023-09-01 20:52:00+00:00,2,2023-09-03 21:03:00+00:00,short,146.2605,146.21949999999998,146.2405,145.70933333333335,tp1_then_session_close,5.050000000001375,101.31278379941,5,293322,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,14.900000000000091,3.299999999998704,False,False,False,,pivot,pivot,0.0,0.0,55.666666666664355,2023-09-02,2889.0,99828.2797968893,99929.59258068871,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.70933333333335,146.04472933333335,146.25193733333336,145.37393733333334,145.16672933333334,146.25484580243216,146.1826,146.11035419756786,146.286,bearish,73.00613496932814,0.045500000000006126
19,2023-09-05 17:17:00+00:00,2023-09-05 17:12:00+00:00,5,2023-09-05 22:00:00+00:00,short,147.7105,147.6825,147.8105,146.33,session_close,2.7999999999991587,94.79796184379187,4,500000,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,5.100000000001614,9.899999999998954,False,False,False,,pivot,pivot,0.0,0.0,137.39999999999952,2023-09-06,283.0,99929.59258068871,100024.3905425325,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.33,146.511832,146.62416800000003,146.14816800000003,146.035832,147.69766526007743,147.63008,147.56249473992256,147.609275234304,bullish,57.23472668810204,0.10885714285713684
20,2023-09-08 19:16:00+00:00,2023-09-08 19:14:00+00:00,2,2023-09-10 21:03:00+00:00,short,147.8485,147.40066666666667,147.8285,147.40066666666667,tp1_then_tp2,25.391731938914138,511.61677384731695,5,297089,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,85.30000000000086,2.5999999999982037,False,False,False,,pivot,pivot,0.0,0.0,44.13333333333469,2023-09-09,2987.0,100024.3905425325,100536.00731637982,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.40066666666667,147.71772666666666,147.91360666666665,147.08360666666667,146.88772666666668,147.83674181949524,147.7586,147.68045818050476,147.873,bearish,86.7052023121411,0.052785714285718655
