trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.0705,144.0605,144.24466666666672,143.37966666666668,session_close,1.0000000000019327,32.29886054823489,4,465299,6.0,17.41666666667072,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.100000000002524,2.4999999999977263,False,False,False,,pivot,pivot,0.0,0.0,69.23333333333233,2023-06-28,65.0,100000.0,100032.29886054824,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07596407110162,144.04188,144.00779592889836,144.086,bearish,62.626262626263205,0.0492142857142913
2,2023-06-28 19:42:00+00:00,2023-06-28 19:41:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.3625,144.4175,144.6425,143.83,session_close,-5.49999999999784,-110.48442882610304,4,290107,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.0,18.099999999998317,False,False,False,,pivot,pivot,0.0,0.0,55.39999999999736,2023-06-29,138.0,100032.29886054824,99921.81443172213,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.38198115579078,144.31028,144.23857884420923,144.32304,bullish,62.81250000000485,0.07650000000000391
3,2023-06-30 17:01:00+00:00,2023-06-30 16:59:00+00:00,2,2023-07-02 21:03:00+00:00,long,144.3345,144.3955,144.0545,144.59400000000002,session_close,6.100000000000705,122.39668133703643,3,289730,8.20357142857152,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,6.100000000000705,10.599999999999454,False,False,False,,pivot,pivot,0.0,0.0,26.700000000002433,2023-07-01,3122.0,99921.81443172213,100044.21111305917,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.64688697389516,144.4942,144.34151302610485,144.366,bearish,39.27083333333284,0.1640714285714304
4,2023-07-07 19:38:00+00:00,2023-07-07 19:34:00+00:00,4,2023-07-09 21:03:00+00:00,long,142.1235,142.1945,142.14350000000002,144.08333333333334,tp1_then_session_close,6.550000000000011,230.32649274203112,4,500000,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,7.099999999999795,5.699999999998795,False,False,False,,pivot,pivot,0.0,0.0,196.83333333333337,2023-07-08,2965.0,100044.21111305917,100274.53760580119,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,142.17003017873816,142.14136,142.11268982126182,142.102,bullish,37.27272727273267,0.06564285714285793
5,2023-07-07 19:59:00+00:00,2023-07-07 19:58:00+00:00,1,2023-07-09 21:03:00+00:00,long,142.1395,142.1945,142.0395,144.08333333333334,session_close,5.500000000000682,193.39707231998008,4,500000,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,5.500000000000682,7.299999999997908,False,False,False,,pivot,pivot,0.0,0.0,196.7333333333329,2023-07-08,2944.0,100274.53760580119,100467.93467812116,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,142.16227323200712,142.13580000000002,142.1093267679929,142.13404761599998,bearish,39.64497041420288,0.05928571428571518
6,2023-07-11 16:59:00+00:00,2023-07-11 16:58:00+00:00,1,2023-07-11 19:59:00+00:00,long,140.3415,140.38049999999998,140.3615,141.87199999999999,tp1_then_trailing_stop,5.549994268464594,113.79745282646539,5,287881,7.199999999999969,27.55000000000223,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.100000000000023,4.899999999997817,False,False,False,,pivot,pivot,0.0,0.0,154.19999999999732,2023-07-12,180.0,100467.93467812116,100581.73213094762,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.7144057088092,140.52328,140.3321542911908,140.38422694399998,bearish,23.47972972973345,0.14399999999999938
8,2023-07-14 20:02:00+00:00,2023-07-14 20:01:00+00:00,1,2023-07-14 20:55:00+00:00,short,138.8665,138.8465,138.8465,138.31566666666666,tp1_then_be_stop,3.999992872289868,80.85335799699084,5,280595,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,7.400000000001228,3.299999999998704,False,False,False,,pivot,pivot,0.0,0.0,57.03333333333376,2023-07-15,53.0,100581.73213094762,100662.58548894462,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.31566666666666,138.71065466666664,138.95467866666667,137.92067866666667,137.67665466666665,138.8999298404417,138.81076000000002,138.72159015955833,138.85121075200001,bullish,65.7575757575772,0.06314285714285006
7,2023-07-14 19:20:00+00:00,2023-07-14 19:15:00+00:00,5,2023-07-16 21:03:00+00:00,short,138.8385,138.7575,138.8185,138.31566666666666,tp1_then_session_close,7.050000000000978,203.42442262775023,3,400404,6.0,19.617866666666828,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,8.100000000001728,7.399999999998386,False,False,False,,pivot,pivot,0.0,0.0,52.43333333333453,2023-07-15,2983.0,100662.58548894462,100866.00991157237,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.31566666666666,138.71065466666664,138.95467866666667,137.92067866666667,137.67665466666665,138.84116933322477,138.76824,138.6953106667752,138.798,bullish,61.3513513513499,0.07278571428571265
9,2023-07-19 19:40:00+00:00,2023-07-19 19:39:00+00:00,1,2023-07-19 22:00:00+00:00,short,139.70950000000002,139.6095,139.6895,138.548,tp1_then_session_close,8.00000000000125,162.20420080728195,4,283096,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,14.200000000002433,6.099999999997863,False,False,False,,pivot,pivot,0.0,0.0,118.10000000000116,2023-07-20,140.0,100866.00991157237,101028.21411237965,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.548,139.103046,139.445954,137.992954,137.650046,139.71288536815376,139.61736000000002,139.52183463184627,139.68838240000002,bullish,63.055555555554236,0.07957142857142685
11,2023-07-21 19:00:00+00:00,2023-07-21 18:59:00+00:00,1,2023-07-21 19:21:00+00:00,short,141.79850000000002,141.7785,141.7785,139.89066666666668,tp1_then_be_stop,4.000000000000625,141.09496960163847,5,500000,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.500000000002615,3.6999999999977717,False,False,False,,pivot,pivot,0.0,0.0,191.73333333333176,2023-07-22,21.0,101028.21411237965,101169.30908198128,TOKYO_MEANREV,tokyo_meanrev,tokyo,139.89066666666668,140.42088266666667,140.74845066666666,139.36045066666668,139.0328826666667,141.8107978691682,141.70544,141.60008213083182,141.7599,bullish,67.98780487804629,0.07557142857143008
