trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100032.29886054824,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99943.91116515125,88.38769539698842,0.08835915639628238
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100060.54941911348,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100126.50255518171,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:59:00+00:00,100232.80763094031,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:46:00+00:00,100298.87541006305,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 22:00:00+00:00,100403.7069444574,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100548.32480783515,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,100614.55716579301,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:35:00+00:00,100730.37214285409,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,100796.7245884815,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,100870.04134966774,0.0,0.0
13,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101015.81109355878,0.0,0.0
14,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100868.1675041216,147.64358943718253,0.14615889120608858
15,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100944.87021352744,70.94088003133947,0.07022750128258187
16,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101462.0923387233,0.0,0.0
17,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,101737.5157466568,0.0,0.0
18,2023-09-13 19:02:00+00:00,2023-09-13 21:23:00+00:00,101808.49923460385,0.0,0.0
19,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,102043.64571383194,0.0,0.0
20,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,102178.80958353273,0.0,0.0
21,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,102251.08577423265,0.0,0.0
22,2023-10-17 17:16:00+00:00,2023-10-17 19:45:00+00:00,102351.22958950419,0.0,0.0
23,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,102440.17781143788,0.0,0.0
24,2023-10-31 20:58:00+00:00,2023-10-31 21:05:00+00:00,102575.3495779412,0.0,0.0
25,2023-10-31 20:48:00+00:00,2023-10-31 21:06:00+00:00,102710.54541350892,0.0,0.0
26,2023-11-08 18:02:00+00:00,2023-11-08 18:10:00+00:00,102792.01722931801,0.0,0.0
27,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,102980.47069938538,0.0,0.0
28,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,103089.51504515127,0.0,0.0
29,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,103226.4893478791,0.0,0.0
30,2024-01-10 21:04:00+00:00,2024-01-10 21:47:00+00:00,103367.15669762326,0.0,0.0
31,2024-01-12 19:31:00+00:00,2024-01-12 20:05:00+00:00,103435.51210633603,0.0,0.0
32,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,103503.68918671417,0.0,0.0
33,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,103392.36201765572,111.32716905845155,0.10755864832762078
34,2024-02-27 18:15:00+00:00,2024-02-27 20:16:00+00:00,103538.89090819418,0.0,0.0
35,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,103744.9046867868,0.0,0.0
36,2024-03-27 19:38:00+00:00,2024-03-27 22:00:00+00:00,103601.09724398259,143.8074428042164,0.13861639107807872
37,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,103735.03087043483,9.873816351973801,0.009517398836871603
38,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,103888.54231098387,0.0,0.0
