trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100034.70764019291,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99857.92806015593,176.7795800369786,0.17671824530424315
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100069.15347923065,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100197.85821380434,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100448.9050758381,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100578.0999618163,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100804.51629538053,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100945.61126498216,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,101075.35240087337,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101421.76854408505,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101552.12187040865,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101690.11809818252,0.0,0.0
13,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101836.26241071448,0.0,0.0
14,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,101538.57685688493,297.68555382954946,0.2923178313722452
15,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101703.45417548149,132.80823523299478,0.1304135011331893
16,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,102511.9451486418,0.0,0.0
17,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,103344.27150964754,0.0,0.0
18,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,103546.98360545821,0.0,0.0
19,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,103843.0591277312,0.0,0.0
20,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,103978.32541818458,0.0,0.0
21,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,104125.42362387126,0.0,0.0
22,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,104108.73286687868,16.690756992582465,0.016029473313716274
23,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,104215.5537116313,0.0,0.0
24,2023-10-31 20:58:00+00:00,2023-10-31 21:06:00+00:00,104347.43242450069,0.0,0.0
25,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,104479.33462074438,0.0,0.0
26,2023-11-08 18:02:00+00:00,2023-11-08 22:03:00+00:00,104283.90761273197,195.42700801241153,0.1870484806606047
27,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,104504.16848000129,0.0,0.0
28,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,104728.59898336418,0.0,0.0
29,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,104862.22853064661,0.0,0.0
30,2024-01-10 21:04:00+00:00,2024-01-10 22:03:00+00:00,105105.86850645376,0.0,0.0
31,2024-01-12 19:31:00+00:00,2024-01-12 21:05:00+00:00,105308.12658349163,0.0,0.0
32,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,105443.19555493211,0.0,0.0
33,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,105217.01460341921,226.1809515128989,0.21450502360303253
34,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,105633.99368735596,0.0,0.0
35,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,105882.30108640884,0.0,0.0
36,2024-03-27 19:38:00+00:00,2024-03-27 22:00:00+00:00,105687.324863594,194.97622281484655,0.18414430061897655
37,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,105817.99556530279,64.3055211060564,0.06073302189907802
38,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,106030.32350137636,0.0,0.0
39,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,106036.79111641101,0.0,0.0
40,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,106167.58743878896,0.0,0.0
41,2024-05-07 18:02:00+00:00,2024-05-07 21:23:00+00:00,106296.93639478728,0.0,0.0
42,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,106148.21491455594,148.72148023133923,0.139911351423137
43,2024-05-22 18:29:00+00:00,2024-05-22 22:00:00+00:00,105816.38862561824,480.5477691690321,0.45208054480918963
44,2024-05-22 19:19:00+00:00,2024-05-22 22:00:00+00:00,105714.28822902207,582.6481657652039,0.5481326043125515
45,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,105202.07626871382,1094.8601260734576,1.0300015816139259
46,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,104887.11363473543,1409.822760051844,1.3263061080290743
47,2024-06-04 17:54:00+00:00,2024-06-04 21:26:00+00:00,105393.87848203702,903.057912750257,0.8495615615828249
48,2024-06-05 20:38:00+00:00,2024-06-05 22:00:00+00:00,105614.9496736732,681.9867211140809,0.6415864315987239
49,2024-06-07 20:02:00+00:00,2024-06-09 21:04:00+00:00,105382.15198761848,914.7844071688014,0.8605933888548661
50,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,105324.96283449452,971.973560292754,0.9143947071840717
51,2024-06-14 20:43:00+00:00,2024-06-16 21:04:00+00:00,105312.25413380034,984.6822609869414,0.92635055570165
52,2024-06-18 18:01:00+00:00,2024-06-18 19:15:00+00:00,105469.10144871613,827.834946071147,0.7787947368460032
53,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,105093.47344564849,1203.4629491387896,1.1321708695997812
54,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,104953.49453580428,1343.441858983002,1.2638575527646942
55,2024-07-17 19:14:00+00:00,2024-07-17 19:30:00+00:00,105101.28403210833,1195.6523626789422,1.12482297536618
56,2024-07-23 16:48:00+00:00,2024-07-23 21:12:00+00:00,104214.59772083053,2082.3386739567504,1.9589827746520707
57,2024-08-21 17:47:00+00:00,2024-08-21 18:03:00+00:00,103039.34792042893,3257.5884743583447,3.0646118174654133
58,2024-09-03 19:53:00+00:00,2024-09-03 20:15:00+00:00,103199.9219685062,3097.014426281079,2.9135500338210636
59,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,103122.62076436428,3174.3156304229924,2.9862719830735016
60,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,103098.02492668274,3198.911468104532,3.0094107851083884
61,2024-09-24 18:24:00+00:00,2024-09-24 18:53:00+00:00,103294.8741518385,3002.0622429487703,2.8242227337569714
62,2024-09-25 17:15:00+00:00,2024-09-25 17:48:00+00:00,103508.59282231287,2788.343572474405,2.6231645680911115
63,2024-09-27 18:41:00+00:00,2024-09-27 19:08:00+00:00,103764.16570092022,2532.77069386706,2.3827316005235923
64,2024-11-06 20:50:00+00:00,2024-11-06 22:04:00+00:00,103625.09488800287,2671.8415067844035,2.5135639816195385
65,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,103705.95001179208,2590.9863829951937,2.4374986437730053
66,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,103922.32234282952,2374.6140519577602,2.233944018046234
67,2024-11-20 20:48:00+00:00,2024-11-20 21:21:00+00:00,104050.98976808693,2245.9466267003445,2.11289873713659
68,2024-11-20 20:10:00+00:00,2024-11-20 22:04:00+00:00,103919.10396189474,2377.8324328925373,2.2369717449440474
69,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,104325.11703650688,1971.8193582803942,1.8550105253805702
70,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,104569.88979503234,1727.0465997549327,1.6247378883439068
71,2025-01-14 17:27:00+00:00,2025-01-14 18:54:00+00:00,104872.52560517604,1424.41078961124,1.3400299556338786
72,2025-01-15 18:21:00+00:00,2025-01-15 18:54:00+00:00,105022.90477580912,1274.0316189781588,1.1985591139206495
73,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,105321.40649271564,975.5299020716338,0.9177403744248204
74,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,105454.16448189074,842.77191289654,0.7928468509821219
75,2025-02-14 19:44:00+00:00,2025-02-14 21:02:00+00:00,105692.20788331587,604.7285114714032,0.5689049298894551
76,2025-02-14 19:59:00+00:00,2025-02-14 21:02:00+00:00,105907.26028878657,389.676106000712,0.36659203850753824
77,2025-04-16 17:41:00+00:00,2025-04-16 18:01:00+00:00,106070.99945839007,225.93693639720732,0.21255263233370766
78,2025-04-30 18:24:00+00:00,2025-04-30 19:21:00+00:00,106462.78004781793,0.0,0.0
79,2025-04-30 20:14:00+00:00,2025-04-30 21:55:00+00:00,106632.35895859302,0.0,0.0
80,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,106227.58778936727,404.7711692257435,0.3795950621170468
81,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,106381.54064135386,250.8183172391582,0.23521782664168092
82,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,106527.35888627071,105.00007232230564,0.09846923893250714
83,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,106664.27414719507,0.0,0.0
84,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,106858.2430363839,0.0,0.0
85,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,107035.19608828613,0.0,0.0
