trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-07-11 16:58:00+00:00,2023-07-11 19:21:00+00:00,100050.04312248077,0.0,0.0
2,2023-08-01 17:39:00+00:00,2023-08-01 18:30:00+00:00,100101.55476006106,0.0,0.0
3,2023-08-04 20:25:00+00:00,2023-08-06 21:03:00+00:00,100122.99698505369,0.0,0.0
4,2023-08-11 17:50:00+00:00,2023-08-11 18:58:00+00:00,100146.75590764989,0.0,0.0
5,2023-08-25 19:20:00+00:00,2023-08-27 21:03:00+00:00,100100.10859358267,46.64731406721694,0.04657895669654308
6,2023-09-15 20:17:00+00:00,2023-09-17 21:03:00+00:00,100246.4531068322,0.0,0.0
7,2023-09-19 18:15:00+00:00,2023-09-19 20:15:00+00:00,100286.19545207536,0.0,0.0
8,2023-09-26 18:34:00+00:00,2023-09-26 22:00:00+00:00,100305.00332598013,0.0,0.0
9,2023-10-31 20:29:00+00:00,2023-10-31 22:00:00+00:00,100283.06374338189,21.939582598235575,0.02187286961841212
10,2023-11-08 19:54:00+00:00,2023-11-08 22:03:00+00:00,100364.02716722093,0.0,0.0
11,2023-11-08 20:04:00+00:00,2023-11-08 22:03:00+00:00,100442.78588860773,0.0,0.0
12,2023-11-17 18:55:00+00:00,2023-11-17 21:28:00+00:00,100505.541222944,0.0,0.0
13,2024-01-26 18:31:00+00:00,2024-01-28 22:03:00+00:00,100472.71127388535,32.82994905865053,0.03266481495366139
14,2024-01-26 18:44:00+00:00,2024-01-28 22:03:00+00:00,100458.17670364604,47.364519297960214,0.047126276543195775
15,2024-02-27 18:10:00+00:00,2024-02-27 19:30:00+00:00,100514.90554159555,0.0,0.0
16,2024-02-27 18:22:00+00:00,2024-02-27 19:30:00+00:00,100581.07741325797,0.0,0.0
17,2024-04-10 20:48:00+00:00,2024-04-10 21:16:00+00:00,100643.96069069319,0.0,0.0
18,2024-04-10 20:58:00+00:00,2024-04-10 21:16:00+00:00,100752.44930153085,0.0,0.0
19,2024-05-07 17:23:00+00:00,2024-05-07 22:00:00+00:00,100730.40101877898,22.04828275187174,0.021883619608974343
20,2024-06-04 17:52:00+00:00,2024-06-04 21:26:00+00:00,100984.87496112645,0.0,0.0
21,2024-06-14 20:32:00+00:00,2024-06-14 20:51:00+00:00,101006.52122166473,0.0,0.0
22,2024-06-14 20:22:00+00:00,2024-06-16 21:04:00+00:00,101002.19355323474,4.327668429992627,0.004284543589512706
23,2024-07-23 16:47:00+00:00,2024-07-23 21:12:00+00:00,100812.50942143725,194.01180022748304,0.19207848946872724
24,2024-09-06 20:36:00+00:00,2024-09-08 21:04:00+00:00,100799.5188346157,207.0023870490404,0.20493962621954037
25,2024-09-06 20:47:00+00:00,2024-09-08 21:04:00+00:00,100797.34195540586,209.17926625887048,0.20709481301688862
26,2024-09-24 18:22:00+00:00,2024-09-24 18:53:00+00:00,100828.06849511134,178.45272655339795,0.17667446061405578
27,2024-09-27 18:39:00+00:00,2024-09-27 18:57:00+00:00,100914.97906859801,91.54215306672268,0.09062994345268863
28,2024-11-06 20:47:00+00:00,2024-11-06 22:04:00+00:00,100845.61988749873,160.90133416600293,0.159297966329219
29,2024-11-06 21:02:00+00:00,2024-11-06 22:04:00+00:00,100842.46634361868,164.05487804605218,0.1624200854180733
30,2024-11-08 20:40:00+00:00,2024-11-10 22:04:00+00:00,100867.84892010812,138.67230155660945,0.13729044410141097
31,2025-02-11 19:34:00+00:00,2025-02-11 19:40:00+00:00,100931.53417533249,74.98704633224406,0.07423980692066465
32,2025-02-11 18:28:00+00:00,2025-02-11 19:43:00+00:00,100953.40675013128,53.11447153345216,0.052585190432298264
33,2025-04-30 18:22:00+00:00,2025-04-30 19:21:00+00:00,101018.13447784979,0.0,0.0
34,2025-05-20 18:13:00+00:00,2025-05-20 22:00:00+00:00,100963.43903300968,54.695444840108394,0.05414418423268492
35,2025-05-21 17:20:00+00:00,2025-05-21 17:57:00+00:00,100999.9763048047,18.158173045085277,0.017975161726102567
36,2025-05-21 17:10:00+00:00,2025-05-21 19:07:00+00:00,101030.31030323876,0.0,0.0
37,2025-05-23 18:24:00+00:00,2025-05-25 21:04:00+00:00,101051.95163031344,0.0,0.0
38,2025-05-23 17:46:00+00:00,2025-05-25 21:04:00+00:00,101023.25588813348,28.69574217995978,0.028397019272759564
39,2025-07-23 18:25:00+00:00,2025-07-23 19:48:00+00:00,101070.7821199194,0.0,0.0
40,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,101095.05667026513,0.0,0.0
41,2025-10-28 19:11:00+00:00,2025-10-28 20:43:00+00:00,101158.21983210166,0.0,0.0
42,2025-10-28 19:22:00+00:00,2025-10-28 20:43:00+00:00,101237.17317056269,0.0,0.0
43,2026-01-23 16:03:00+00:00,2026-01-23 16:18:00+00:00,101258.85970154662,0.0,0.0
44,2026-03-04 16:10:00+00:00,2026-03-04 18:54:00+00:00,101302.08620769194,0.0,0.0
