trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
1,ARB,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,378.9785880217709,HARD_CLOSE,56.800000000001205,,19.158340070029567,27.641659929969364,269900,269,7
2,ARB,2025-07-09,Wednesday,short,2025-07-09 08:42:00+00:00,2025-07-09 12:00:00+00:00,146.63623719146022,146.7749754423665,147.03623719146023,146.23623719146022,145.8362371914602,40.0,-13.873825090627179,-260.79298129449046,HARD_CLOSE,45.40000000000077,,14.576280853978574,9.723719146023768,275900,198,8
3,ARB,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-752.8039833656154,SL_FULL,44.599999999999795,,39.77415751253659,3.7258424874636376,277500,175,8
4,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,680.6442476792145,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,275000,286,7
5,ARB,2025-08-27,Wednesday,long,2025-08-27 10:01:00+00:00,2025-08-27 12:00:00+00:00,148.08302099454644,148.1340245576335,147.68302099454644,148.48302099454645,148.88302099454646,40.0,5.100356308705045,95.6140192070684,HARD_CLOSE,56.60000000000025,,11.802099454644122,10.097900545355287,277700,119,10
6,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-752.979501738396,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,279900,27,7
7,ARB,2025-09-24,Wednesday,long,2025-09-24 08:31:00+00:00,2025-09-24 12:00:00+00:00,148.190759452585,148.4960245576335,147.790759452585,148.59075945258502,148.99075945258502,40.0,30.526510504847693,567.5821676369036,HARD_CLOSE,59.30000000000177,,2.2759452585006557,33.024054741497366,276100,209,8
8,ARB,2025-10-08,Wednesday,long,2025-10-08 08:58:00+00:00,2025-10-08 12:00:00+00:00,152.7759151202235,152.6860245576335,152.37591512022348,153.1759151202235,153.5759151202235,40.0,-8.989056258999994,-168.55287276015687,HARD_CLOSE,59.00000000000034,,13.191512022348206,22.70848797764984,286300,182,8
9,ARB,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,902.0033697536646,TP1_ONLY,36.69999999999902,,11.376778126523845,62.52322187347659,291200,270,8
10,ARB,2025-12-03,Wednesday,short,2025-12-03 11:25:00+00:00,2025-12-03 13:00:00+00:00,155.42906616485553,155.42875331841722,155.82906616485553,155.02906616485552,154.62906616485552,40.0,0.03128464383053142,0.590554469743037,HARD_CLOSE,30.299999999999727,,4.893383514448146,6.706616485553241,293400,95,11
11,ARB,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.425255322871976,727.0471387893722,TP1_ONLY,37.10000000000093,,14.974157512534703,80.22584248746512,300000,265,8
12,ARB,2026-02-18,Wednesday,long,2026-02-18 09:43:00+00:00,2026-02-18 13:00:00+00:00,153.80339581480524,153.6742466815828,153.40339581480524,154.20339581480525,154.60339581480525,40.0,-12.914913322245525,-245.7354265252545,HARD_CLOSE,64.50000000000102,,24.939581480523998,5.460418519476207,292400,197,9
