trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.044128438787645,941.4843975296219,TP1_ONLY,50.19999999999811,,3.5216721956260244,64.07832780437559,268700,282,7
2,ARB,2025-07-02,Wednesday,long,2025-07-02 07:05:00+00:00,2025-07-02 12:00:00+00:00,143.94189663476368,144.1740245576335,143.54189663476367,144.34189663476369,144.7418966347637,40.0,23.212792286980743,438.57863012250675,HARD_CLOSE,56.800000000001205,,16.189663476367855,30.610336523631076,272400,295,7
3,ARB,2025-07-09,Wednesday,short,2025-07-09 07:19:00+00:00,2025-07-09 12:00:00+00:00,146.68075346683966,146.7749754423665,147.08075346683967,146.28075346683966,145.88075346683965,40.0,-9.422197552683542,-178.97524218763493,HARD_CLOSE,45.40000000000077,,19.824653316032936,14.175346683967405,278800,281,7
4,ARB,2025-08-06,Wednesday,long,2025-08-06 08:26:00+00:00,2025-08-06 12:00:00+00:00,147.79281687299581,147.5320245576335,147.3928168729958,148.19281687299582,148.59281687299583,40.0,-26.079231536232328,-495.6629955215497,HARD_CLOSE,44.599999999999795,,35.28168729958168,9.318312700418119,280400,214,8
5,ARB,2025-08-13,Wednesday,short,2025-08-13 07:13:00+00:00,2025-08-13 12:00:00+00:00,147.65092531388828,147.2919754423665,147.6409253138883,147.25092531388827,146.85092531388827,40.0,37.946757118815185,718.1188602484137,TP1_ONLY,46.79999999999893,,1.0074686111721576,46.99253138882682,278700,287,7
6,ARB,2025-08-21,Thursday,long,2025-08-21 07:05:00+00:00,2025-08-21 12:00:00+00:00,147.62089663476368,147.9180245576335,147.226,148.01579326952736,148.41068990429105,39.489663476368264,29.712792286980516,571.0829949528706,HARD_CLOSE,32.49999999999886,,14.089663476369196,31.51033652363253,284300,295,7
7,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-766.9684028067765,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,285100,27,7
8,ARB,2025-09-04,Thursday,long,2025-09-04 07:22:00+00:00,2025-09-04 12:00:00+00:00,148.3493366127014,148.3380245576335,147.9493366127014,148.7493366127014,149.1493366127014,40.0,-1.1312055067890014,-21.46680536637342,HARD_CLOSE,49.39999999999998,,21.13366127013876,6.666338729860399,281500,278,7
9,ARB,2025-09-09,Tuesday,short,2025-09-09 08:27:00+00:00,2025-09-09 11:53:00+00:00,146.75519775400065,146.74519775400066,146.74519775400066,146.35519775400064,145.95519775400064,40.0,20.49999999999983,389.93012480649975,BE_STOP,61.69999999999902,,1.5802245999338993,44.819775400065964,278400,206,8
10,ARB,2025-09-11,Thursday,long,2025-09-11 07:32:00+00:00,2025-09-11 12:00:00+00:00,147.83560603634265,147.9580245576335,147.43560603634265,148.23560603634266,148.63560603634266,40.0,12.241852129085373,232.99213204942632,HARD_CLOSE,46.999999999999886,,6.560603634264339,15.739396365734137,281600,268,7
