trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes
1,2025-07-01,Tuesday,short,2025-07-01 07:20:00+00:00,2025-07-01 12:00:00+00:00,143.30672346503155,142.7459754423665,143.29672346503156,142.90672346503155,142.50672346503154,40.0,48.04039235064525,903.8721206104112,TP1_PARTIAL,50.19999999999811,7.527653496845232,60.07234650315638,268700,280
2,2025-07-02,Wednesday,long,2025-07-02 07:32:00+00:00,2025-07-02 12:00:00+00:00,144.00160603634265,144.1740245576335,143.60160603634264,144.40160603634266,144.80160603634266,40.0,17.241852129083668,325.76468156265526,HARD_CLOSE,56.800000000001205,22.16060363426493,24.639396365734,272400,268
3,2025-08-13,Wednesday,short,2025-08-13 07:15:00+00:00,2025-08-13 12:00:00+00:00,147.54587036267,147.2919754423665,147.94587036267,147.14587036267,146.74587036267,40.0,25.38949203035088,482.65071787837707,HARD_CLOSE,46.79999999999893,5.112963733000697,36.487036266998985,280000,285
4,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-764.8162641808718,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,284300,27
5,2025-09-04,Thursday,long,2025-09-04 07:53:00+00:00,2025-09-04 12:00:00+00:00,148.39567390787153,148.3380245576335,147.99567390787152,148.79567390787153,149.19567390787154,40.0,-5.764935023802309,-109.1287119072252,HARD_CLOSE,49.39999999999998,25.767390787152067,2.032609212847092,280800,247
6,2025-09-09,Tuesday,short,2025-09-09 08:28:00+00:00,2025-09-09 12:00:00+00:00,146.69321082019565,146.7359754423665,147.09321082019565,146.29321082019564,145.89321082019563,40.0,-4.276462217086419,-80.81610315555066,HARD_CLOSE,61.69999999999902,7.77891798043413,38.62108201956573,277300,212
7,2025-11-06,Thursday,short,2025-11-06 08:28:00+00:00,2025-11-06 13:00:00+00:00,153.66321082019564,153.62075331841723,154.06321082019565,153.26321082019564,152.86321082019563,40.0,4.245750177841501,80.23273223199466,HARD_CLOSE,36.7999999999995,11.378917980434268,13.221082019563823,290300,272
8,2025-11-13,Thursday,short,2025-11-13 09:00:00+00:00,2025-11-13 13:00:00+00:00,154.51257262552332,154.62175331841723,154.91257262552332,154.1125726255233,153.7125726255233,40.0,-10.918069289391497,-206.25610374910875,HARD_CLOSE,39.400000000000546,25.34273744766722,18.957262552331144,292100,240
9,2025-11-25,Tuesday,short,2025-11-25 09:02:00+00:00,2025-11-25 13:00:00+00:00,156.4055648359647,156.31175331841723,156.8055648359647,156.0055648359647,155.60556483596469,40.0,9.381151754746496,177.10618837384064,HARD_CLOSE,45.79999999999984,11.643516403529476,26.156483596469116,295100,238
10,2025-12-02,Tuesday,long,2025-12-02 08:30:00+00:00,2025-12-02 13:00:00+00:00,155.9587677812652,155.99824668158277,155.5587677812652,156.3587677812652,156.75876778126522,40.0,3.947890031756174,74.58053004488679,HARD_CLOSE,37.79999999999859,6.676778126521299,12.723221873480384,294700,270
11,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,395.86584356059785,HARD_CLOSE,52.00000000000102,16.718822217401907,38.18117778259875,292900,289
12,2025-12-09,Tuesday,long,2025-12-09 08:20:00+00:00,2025-12-09 13:00:00+00:00,156.3209354818332,156.34424668158275,155.9209354818332,156.7209354818332,157.1209354818332,40.0,2.3311199749571188,44.25339743881827,HARD_CLOSE,45.599999999998886,34.293548183319444,11.30645181667944,296800,280
13,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.42473371151817,731.6418146849376,TP1_PARTIAL,37.10000000000093,14.974157512534704,80.22584248746512,301900,265
