trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.044128438787645,941.4843975296219,TP1_ONLY,50.19999999999811,,3.5216721956260244,64.07832780437559,268700,282,7
2,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.444866564219076,691.2628550854145,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,279300,286,7
3,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-764.2782295243957,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,284100,27,7
4,ARB,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-59.28709978129897,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,280600,277,7
5,ARB,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,116.15269231519468,HARD_CLOSE,36.7999999999995,,9.480224599934672,15.119775400063418,290400,273,8
6,ARB,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071393,-141.20297429032055,HARD_CLOSE,39.400000000000546,,21.891512022347115,22.408487977651248,292400,242,8
7,ARB,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37679232802208,911.0396928958153,TP1_ONLY,36.69999999999902,,11.376778126523845,62.52322187347659,294100,270,8
8,ARB,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,215.2197432761201,HARD_CLOSE,45.79999999999984,,9.743187467387315,28.056812532611275,298200,239,9
9,ARB,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 13:00:00+00:00,155.92580224599936,155.99824668158277,155.52580224599936,156.32580224599937,156.72580224599938,40.0,7.244443558340663,138.3425635824452,HARD_CLOSE,37.79999999999859,,3.3802245999368097,16.019775400064873,297900,273,8
10,ARB,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,400.46107697850846,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,296300,289,8
11,ARB,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 13:00:00+00:00,156.28437484378267,156.34424668158277,155.88437484378267,156.68437484378268,157.08437484378268,40.0,5.987183780010241,114.96122236078425,HARD_CLOSE,45.599999999998886,,30.637484378266322,14.962515621732564,300200,295,8
12,ARB,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.425255322871976,740.6186853801071,TP1_ONLY,37.10000000000093,,14.974157512534703,80.22584248746512,305600,265,8
13,ARB,2026-02-03,Tuesday,long,2026-02-03 09:16:00+00:00,2026-02-03 13:00:00+00:00,155.70231809653956,155.86724668158277,155.30231809653955,156.10231809653956,156.50231809653957,40.0,16.49285850432136,319.0276947158297,HARD_CLOSE,32.30000000000075,,9.031809653956202,28.268190346045685,301500,224,9
