trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc,tp1_hit,be_triggered,be_trigger_time_utc,price_at_be_trigger,trail_activated,trail_highest_mfe_pips,trail_stop_final_level
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 08:58:00+00:00,143.34678327804374,143.01,143.01,142.94678327804374,142.54678327804373,40.0,36.837987558273646,692.3112347250193,TP1_THEN_TRAIL_STOP,50.19999999999811,,3.5216721956260244,45.67832780437584,268700,100,7,True,True,2025-07-01 08:54:00+00:00,142.94678327804374,True,45.67832780437584,143.01
2,ARB,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,381.64646248357667,HARD_CLOSE_NO_TP1,56.800000000001205,,19.158340070029567,27.641659929969364,271800,269,7,False,False,,,False,0.0,
3,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 10:05:00+00:00,147.6208982219933,147.30100000000002,147.30100000000002,147.22089822199328,146.82089822199328,40.0,35.993479176567504,683.6626153672291,TP1_THEN_TRAIL_STOP,46.79999999999893,,1.1101778006718632,43.98982219932748,279700,171,7,True,True,2025-08-13 08:53:00+00:00,147.22089822199328,True,43.98982219932748,147.30100000000002
4,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-765.0852815091099,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,284400,27,7,False,False,,,False,0.0,
5,ARB,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-59.35048584663892,HARD_CLOSE_NO_TP1,49.39999999999998,,23.136643669019463,4.6633563309796955,280900,277,7,False,False,,,False,0.0,
6,ARB,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,116.31268224951313,HARD_CLOSE_NO_TP1,36.7999999999995,,9.480224599934672,15.119775400063418,290800,273,8,False,False,,,False,0.0,
7,ARB,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071394,-141.39613841383672,HARD_CLOSE_NO_TP1,39.400000000000546,,21.891512022347115,22.408487977651248,292800,242,8,False,False,,,False,0.0,
8,ARB,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 11:13:00+00:00,155.67076778126523,156.176,156.176,156.07076778126523,156.47076778126524,40.0,45.2633975618442,853.7829514577832,TP1_THEN_TRAIL_STOP,36.69999999999902,,11.376778126523845,62.52322187347659,294500,163,8,True,True,2025-11-19 10:32:00+00:00,156.07076778126523,True,62.52322187347659,156.176
9,ARB,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,215.36408918039652,HARD_CLOSE_NO_TP1,45.79999999999984,,9.743187467387315,28.056812532611275,298400,239,9,False,False,,,False,0.0,
10,ARB,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587182,-34.77844929889905,HARD_CLOSE_NO_TP1,58.19999999999936,,13.343455978434804,1.9565440215643548,299000,234,9,False,False,,,False,0.0,
