trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2024-11-06 20:50:00+00:00,2024-11-06 22:04:00+00:00,99860.92918708266,0.0,0.0
2,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,99941.78431087187,0.0,0.0
3,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,100158.1566419093,0.0,0.0
4,2024-11-20 20:48:00+00:00,2024-11-20 21:21:00+00:00,100286.82406716672,0.0,0.0
5,2024-11-20 20:10:00+00:00,2024-11-20 22:04:00+00:00,100154.93826097452,131.88580619219283,0.1315086078544703
6,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,100560.95133558667,0.0,0.0
7,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,100805.72409411213,0.0,0.0
8,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,100932.40940615837,0.0,0.0
9,2025-01-10 21:19:00+00:00,2025-01-10 21:43:00+00:00,101059.17340797788,0.0,0.0
10,2025-01-14 17:27:00+00:00,2025-01-14 18:54:00+00:00,101361.80921812158,0.0,0.0
11,2025-01-15 18:21:00+00:00,2025-01-15 18:54:00+00:00,101512.18838875466,0.0,0.0
12,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,101810.69010566118,0.0,0.0
13,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,101943.44809483628,0.0,0.0
14,2025-02-14 19:44:00+00:00,2025-02-14 21:02:00+00:00,102181.49149626141,0.0,0.0
15,2025-02-14 19:59:00+00:00,2025-02-14 21:02:00+00:00,102396.5439017321,0.0,0.0
16,2025-02-25 20:59:00+00:00,2025-02-25 21:30:00+00:00,102530.76443458941,0.0,0.0
17,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,102816.1247470549,0.0,0.0
18,2025-04-16 17:41:00+00:00,2025-04-16 18:01:00+00:00,102979.8639166584,0.0,0.0
19,2025-04-30 18:24:00+00:00,2025-04-30 19:21:00+00:00,103371.64450608626,0.0,0.0
20,2025-04-30 20:14:00+00:00,2025-04-30 21:55:00+00:00,103541.22341686135,0.0,0.0
21,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,103132.87511652465,408.34830033670005,0.3943823405414793
22,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,103289.8737418424,251.34967501895153,0.24275324042387164
23,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,103439.45423533149,101.76918152986036,0.09828856388931521
24,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,103579.73669613294,0.0,0.0
25,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,103776.19271856577,0.0,0.0
26,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,103955.01018037245,0.0,0.0
27,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,103844.58348471884,110.42669565361575,0.10622546759604397
28,2025-06-11 18:06:00+00:00,2025-06-11 18:35:00+00:00,103983.02101158448,0.0,0.0
29,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,104133.16100355577,0.0,0.0
30,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,104320.74346487287,0.0,0.0
31,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,104484.2437229805,0.0,0.0
32,2025-06-20 20:03:00+00:00,2025-06-20 20:40:00+00:00,104650.21198568259,0.0,0.0
33,2025-06-20 18:56:00+00:00,2025-06-22 21:04:00+00:00,103454.16645393785,1196.045531744734,1.1428983363247915
34,2025-07-23 18:30:00+00:00,2025-07-23 19:48:00+00:00,103735.30004270107,914.9119429815182,0.8742571329971977
35,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,103331.22290437535,1318.9890813072416,1.2603787954941699
36,2025-09-10 19:25:00+00:00,2025-09-10 22:00:00+00:00,103249.81205434431,1400.399931338281,1.3381720923125053
37,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,103358.35985438572,1291.852131296866,1.2344476965546969
38,2025-09-24 18:47:00+00:00,2025-09-24 22:00:00+00:00,103351.64044031869,1298.5715453638986,1.2408685283328034
39,2025-10-01 18:35:00+00:00,2025-10-01 19:48:00+00:00,103533.4922553762,1116.7197303063876,1.0670974373746787
40,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,103665.33532429239,984.8766613901971,0.9411129157817092
41,2025-10-15 17:12:00+00:00,2025-10-15 17:33:00+00:00,104002.6779455822,647.5340401003923,0.6187603711581423
42,2025-10-15 20:46:00+00:00,2025-10-15 21:18:00+00:00,104134.958766269,515.2532194135856,0.49235754962835476
43,2025-10-15 20:06:00+00:00,2025-10-15 22:00:00+00:00,103505.95507501051,1144.2569106720766,1.0934109821283733
44,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,103677.29725253365,972.9147331489366,0.9296825249451413
45,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,103840.90285898879,809.309126693799,0.7733468583938676
46,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,103972.39140968502,677.8205759975681,0.6477011017333649
47,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,104177.8900942201,472.32189146248857,0.4513339079782351
48,2025-10-29 16:02:00+00:00,2025-10-29 16:06:00+00:00,104470.60521507359,179.60677060899616,0.17162580677196193
49,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,104666.38676948834,0.0,0.0
50,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,105152.47351381832,0.0,0.0
51,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,105426.23585405397,0.0,0.0
52,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,105554.58867186093,0.0,0.0
53,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,105736.9150815991,0.0,0.0
54,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,105864.90566306516,0.0,0.0
55,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,106096.5042099824,0.0,0.0
56,2025-12-31 18:37:00+00:00,2025-12-31 19:56:00+00:00,106432.99005736073,0.0,0.0
57,2026-01-16 20:14:00+00:00,2026-01-16 21:53:00+00:00,106559.47187237474,0.0,0.0
58,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,106685.88972914808,0.0,0.0
59,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,106676.26654111415,9.62318803393282,0.009020113211188441
60,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,106818.90992722666,0.0,0.0
