trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,pnl_usd,confluence_score,position_size_units,position_units,partial_tp_pips,initial_sl_pips,regime_label,regime,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_middle,bb_lower,sar_value,sar_direction,rsi_m5,rsi_value,atr_m15,atr_value,hour_utc,day_of_week
1,2024-11-06 20:50:00+00:00,2024-11-06 20:47:00+00:00,3,2024-11-06 22:04:00+00:00,short,154.55450000000002,154.5975,154.67450000000002,151.83466666666666,session_close,-4.2999999999977945,-139.07081291734326,-139.07081291734326,5,500000,500000,6.0,12.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,3.300000000001546,11.799999999996658,False,False,False,,pivot,pivot,0.0,0.0,272.63333333333435,2024-11-07,74.0,100000.0,99860.92918708266,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.54667799733383,154.4576,154.4576,154.3685220026662,154.49112,bullish,87.05882352941589,87.05882352941589,0.11728571428571806,0.11728571428571806,20,Wednesday
2,2024-11-06 21:05:00+00:00,2024-11-06 21:02:00+00:00,3,2024-11-06 22:04:00+00:00,short,154.6225,154.5975,154.7425,151.83466666666666,session_close,2.5000000000005684,80.85512378921291,80.85512378921291,5,500000,500000,6.0,12.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,4.099999999999682,4.999999999998295,False,False,False,,pivot,pivot,0.0,0.0,276.8333333333345,2024-11-07,59.0,99860.92918708266,99941.78431087187,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.58653415895344,154.47367999999997,154.47367999999997,154.3608258410465,154.5180672,bullish,93.81443298969012,93.81443298969012,0.11228571428571651,0.11228571428571651,21,Wednesday
3,2024-11-08 20:44:00+00:00,2024-11-08 20:40:00+00:00,4,2024-11-10 22:04:00+00:00,long,152.6135,152.6845,152.6335,153.43866666666668,tp1_then_session_close,6.6071428571447655,216.3723310374365,216.3723310374365,3,500000,500000,6.1142857142855735,35.0,neutral,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,7.1000000000026375,18.399999999996908,False,False,False,,pivot,pivot,0.0,0.0,80.86666666666815,2024-11-09,2960.0,99941.78431087187,100158.1566419093,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.43866666666668,154.21107066666667,154.68826266666667,152.66626266666668,152.18907066666668,152.82020301704407,152.72468,152.72468,152.62915698295595,152.6141782272,bullish,30.434782608693354,30.434782608693354,0.12228571428571147,0.12228571428571147,20,Friday
5,2024-11-20 20:48:00+00:00,2024-11-20 20:47:00+00:00,1,2024-11-20 21:21:00+00:00,short,155.48950000000002,155.4695,155.4695,154.245,tp1_then_be_stop,4.000000000000625,128.66742525742018,128.66742525742018,4,500000,500000,6.0,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,6.70000000000357,6.399999999996453,False,False,False,,pivot,pivot,0.0,0.0,126.99999999999818,2024-11-21,33.0,100158.1566419093,100286.82406716672,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.50956069782524,155.36368,155.36368,155.21779930217474,155.519218,bearish,69.02654867256666,69.02654867256666,0.09785714285714116,0.09785714285714116,20,Wednesday
4,2024-11-20 20:10:00+00:00,2024-11-20 20:09:00+00:00,1,2024-11-20 22:04:00+00:00,short,155.3965,155.4375,155.7465,154.245,session_close,-4.099999999999682,-131.8858061921892,-131.8858061921892,4,500000,500000,6.0,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,3.499999999999659,15.699999999998226,False,False,False,,pivot,pivot,0.0,0.0,117.09999999999923,2024-11-21,114.0,100286.82406716672,100154.93826097452,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.41502061908898,155.33232,155.33232,155.24961938091104,155.457,bearish,65.77380952381078,65.77380952381078,0.1090714285714256,0.1090714285714256,20,Wednesday
6,2024-12-17 17:11:00+00:00,2024-12-17 17:09:00+00:00,2,2024-12-17 20:58:00+00:00,long,153.3315,153.5035,153.35150000000002,153.98666666666665,tp1_then_trailing_stop,12.462499999999467,406.0130746121503,406.0130746121503,4,500000,500000,7.72500000000014,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,22.90000000000134,17.900000000000205,False,False,False,,pivot,pivot,0.0,0.0,66.46666666666476,2024-12-18,227.0,100154.93826097452,100560.95133558667,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.98666666666665,154.42825866666664,154.70107466666664,153.54507466666666,153.27225866666666,153.65638907148443,153.49708,153.49708,153.3377709285156,153.255,bullish,30.19197207679221,30.19197207679221,0.1545000000000028,0.1545000000000028,17,Tuesday
7,2024-12-24 19:06:00+00:00,2024-12-24 19:05:00+00:00,1,2024-12-24 20:37:00+00:00,short,157.36950000000002,157.2755,157.3495,156.927,tp1_then_trailing_stop,7.700000000001238,244.77275852546586,244.77275852546586,4,500000,500000,6.0,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,14.800000000002456,2.199999999996294,False,False,False,,pivot,pivot,0.0,0.0,45.09999999999934,2024-12-25,91.0,100560.95133558667,100805.72409411213,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.927,157.283788,157.504212,156.570212,156.349788,157.36526458582395,157.29268,157.29268,157.22009541417603,157.31,bullish,65.0793650793649,65.0793650793649,0.06278571428571768,0.06278571428571768,19,Tuesday
8,2024-12-27 20:00:00+00:00,2024-12-27 19:58:00+00:00,2,2024-12-27 20:48:00+00:00,short,157.9215,157.9015,157.9015,157.729,tp1_then_be_stop,4.000000000000625,126.68531204625378,126.68531204625378,3,500000,500000,6.0,35.0,neutral,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,6.200000000001182,3.099999999997749,False,False,False,,pivot,pivot,0.0,0.0,20.09999999999934,2024-12-28,48.0,100805.72409411213,100932.40940615837,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.729,158.11482,158.35318,157.34318000000002,157.10482000000002,157.929428349129,157.84476,157.84476,157.760091650871,157.93291168256,bearish,67.63285024155067,67.63285024155067,0.09035714285714189,0.09035714285714189,20,Friday
9,2025-01-10 21:19:00+00:00,2025-01-10 21:16:00+00:00,3,2025-01-10 21:43:00+00:00,long,157.7235,157.7435,157.7435,158.03033333333335,tp1_then_be_stop,4.000000000000625,126.76400181950939,126.76400181950939,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,7.30000000000075,1.9000000000005457,False,False,False,,pivot,pivot,0.0,0.0,31.233333333335622,2025-01-11,24.0,100932.40940615837,101059.17340797788,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.03033333333335,158.34586533333334,158.54080133333335,157.71480133333336,157.51986533333334,157.97146942557916,157.84456,157.84456,157.71765057442084,157.686,bullish,29.36893203883679,29.36893203883679,0.1052142857142765,0.1052142857142765,21,Friday
10,2025-01-14 17:27:00+00:00,2025-01-14 17:26:00+00:00,1,2025-01-14 18:54:00+00:00,short,158.1425,158.0375,158.1225,157.45166666666668,tp1_then_trailing_stop,9.566071428572798,302.63581014369174,302.63581014369174,4,500000,500000,8.632142857142863,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,15.700000000001069,6.299999999998818,False,False,False,,pivot,pivot,0.0,0.0,69.93333333333283,2025-01-15,87.0,101059.17340797788,101361.80921812158,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.45166666666668,157.85429466666668,158.1030386666667,157.0490386666667,156.80029466666667,158.1560377863294,158.00320000000002,158.00320000000002,157.85036221367065,158.0524944797614,bullish,65.98837209302411,65.98837209302411,0.17264285714285726,0.17264285714285726,17,Tuesday
11,2025-01-15 18:21:00+00:00,2025-01-15 18:20:00+00:00,1,2025-01-15 18:54:00+00:00,long,156.4465,156.4665,156.4665,157.765,tp1_then_be_stop,4.707142857142799,150.37917063307793,150.37917063307793,4,500000,500000,7.4142857142855885,12.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,8.600000000001273,2.6999999999986812,False,False,False,,pivot,pivot,0.0,0.0,133.59999999999843,2025-01-16,33.0,101361.80921812158,101512.18838875466,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.765,158.176796,158.43120399999998,157.35320399999998,157.098796,156.70828314469176,156.57139999999998,156.57139999999998,156.4345168553082,156.5616,bearish,32.89036544849962,32.89036544849962,0.14828571428571177,0.14828571428571177,18,Wednesday
13,2025-02-11 19:35:00+00:00,2025-02-11 19:34:00+00:00,1,2025-02-11 19:40:00+00:00,short,152.5295,152.4075,152.5095,151.924,tp1_then_trailing_stop,9.10000000000082,298.5017169065318,298.5017169065318,4,500000,500000,6.0,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,20.000000000001705,1.3999999999981583,False,False,False,,pivot,pivot,0.0,0.0,61.69999999999902,2025-02-12,5.0,101512.18838875466,101810.69010566118,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.924,152.42212800000001,152.729872,151.425872,151.118128,152.55834248394802,152.42152,152.42152,152.28469751605195,152.50688,bullish,66.08187134503197,66.08187134503197,0.09092857142857318,0.09092857142857318,19,Tuesday
12,2025-02-11 18:30:00+00:00,2025-02-11 18:28:00+00:00,2,2025-02-11 19:43:00+00:00,short,152.4495,152.4295,152.4295,151.924,tp1_then_be_stop,4.046428571429317,132.75798917509033,132.75798917509033,3,500000,500000,6.0928571428571034,35.0,neutral,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,14.799999999999613,11.699999999999022,False,False,False,,pivot,pivot,0.0,0.0,53.000000000000114,2025-02-12,73.0,101810.69010566118,101943.44809483628,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.924,152.42212800000001,152.729872,151.425872,151.118128,152.4486781124417,152.35072,152.35072,152.25276188755828,152.458,bearish,67.08074534161386,67.08074534161386,0.12185714285714207,0.12185714285714207,18,Tuesday
14,2025-02-14 19:44:00+00:00,2025-02-14 19:42:00+00:00,2,2025-02-14 21:02:00+00:00,long,152.2085,152.2935,152.2285,153.39499999999998,tp1_then_trailing_stop,7.250000000000512,238.04340142513462,238.04340142513462,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.800000000003365,3.7999999999982492,False,False,False,,pivot,pivot,0.0,0.0,117.4999999999983,2025-02-15,78.0,101943.44809483628,102181.49149626141,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.39499999999998,154.147922,154.61307799999997,152.64207799999997,152.176922,152.39003421711564,152.31204,152.31204,152.23404578288435,152.26344,bearish,21.07623318386399,21.07623318386399,0.07349999999999568,0.07349999999999568,19,Friday
15,2025-02-14 19:59:00+00:00,2025-02-14 19:58:00+00:00,1,2025-02-14 21:02:00+00:00,long,152.2225,152.2935,152.2425,153.39499999999998,tp1_then_trailing_stop,6.550000000000011,215.05240547069144,215.05240547069144,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,12.400000000002365,1.3999999999981583,False,False,False,,pivot,pivot,0.0,0.0,120.09999999999934,2025-02-15,63.0,102181.49149626141,102396.5439017321,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.39499999999998,154.147922,154.61307799999997,152.64207799999997,152.176922,152.40445026480504,152.30292,152.30292,152.20138973519497,152.2454912,bearish,21.739130434784997,21.739130434784997,0.06849999999999616,0.06849999999999616,19,Friday
16,2025-02-25 20:59:00+00:00,2025-02-25 20:58:00+00:00,1,2025-02-25 21:30:00+00:00,long,148.9585,148.9785,148.9785,149.47966666666665,tp1_then_be_stop,4.000000000000625,134.22053285729788,134.22053285729788,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.500000000001705,2.899999999996794,False,False,False,,pivot,pivot,0.0,0.0,53.36666666666474,2025-02-26,31.0,102396.5439017321,102530.76443458941,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.47966666666665,149.87274466666665,150.11558866666664,149.08658866666664,148.84374466666665,149.16790891933488,149.05924,149.05924,148.9505710806651,148.9119488,bullish,16.95652173913382,16.95652173913382,0.11592857142857074,0.11592857142857074,20,Tuesday
