trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2024-11-20 20:10:00+00:00,2024-11-20 22:04:00+00:00,99868.1141938078,0.0,0.0
2,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,100274.12726841995,0.0,0.0
3,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,100518.90002694541,0.0,0.0
4,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,100645.58533899166,0.0,0.0
5,2025-01-14 17:27:00+00:00,2025-01-14 18:54:00+00:00,100948.22114913535,0.0,0.0
6,2025-01-15 18:21:00+00:00,2025-01-15 18:54:00+00:00,101098.60031976843,0.0,0.0
7,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,101397.10203667496,0.0,0.0
8,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,101529.86002585005,0.0,0.0
9,2025-02-14 19:44:00+00:00,2025-02-14 21:02:00+00:00,101767.90342727519,0.0,0.0
10,2025-02-14 19:59:00+00:00,2025-02-14 21:02:00+00:00,101982.95583274588,0.0,0.0
11,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,102268.31614521137,0.0,0.0
12,2025-04-16 17:41:00+00:00,2025-04-16 18:01:00+00:00,102432.05531481488,0.0,0.0
13,2025-04-30 18:24:00+00:00,2025-04-30 19:21:00+00:00,102823.83590424273,0.0,0.0
14,2025-04-30 20:14:00+00:00,2025-04-30 21:55:00+00:00,102993.41481501782,0.0,0.0
15,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,102585.06651468112,408.34830033670005,0.3964800090084569
16,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,102742.06513999887,251.34967501895153,0.24404441339321564
17,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,102891.64563348796,101.76918152986036,0.09881134799991217
18,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,103031.92809428941,0.0,0.0
19,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,103228.38411672224,0.0,0.0
20,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,103407.20157852893,0.0,0.0
21,2025-06-11 18:06:00+00:00,2025-06-11 18:35:00+00:00,103545.63910539457,0.0,0.0
22,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,103695.77909736586,0.0,0.0
23,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,103883.36155868295,0.0,0.0
24,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,104046.86181679058,0.0,0.0
25,2025-06-20 20:03:00+00:00,2025-06-20 20:40:00+00:00,104212.83007949268,0.0,0.0
26,2025-06-20 18:56:00+00:00,2025-06-22 21:04:00+00:00,103016.78454774794,1196.045531744734,1.1476950878624068
27,2025-07-23 18:30:00+00:00,2025-07-23 19:48:00+00:00,103297.91813651116,914.9119429815182,0.8779263957073529
28,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,102893.84099818543,1318.9890813072416,1.265668613261081
29,2025-09-10 19:25:00+00:00,2025-09-10 22:00:00+00:00,102812.4301481544,1400.399931338281,1.3437884090376087
30,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,102920.97794819581,1291.852131296866,1.2396286813355437
31,2025-09-24 18:47:00+00:00,2025-09-24 22:00:00+00:00,102914.25853412878,1298.5715453638986,1.2460764613851856
32,2025-10-01 18:35:00+00:00,2025-10-01 19:48:00+00:00,103096.11034918629,1116.7197303063876,1.071576052060541
33,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,103227.95341810248,984.8766613901971,0.9450627726345608
34,2025-10-15 17:12:00+00:00,2025-10-15 17:33:00+00:00,103565.29603939228,647.5340401003923,0.6213573123448032
35,2025-10-15 20:06:00+00:00,2025-10-15 22:00:00+00:00,102936.2923481338,1276.5377313588833,1.224933369898074
36,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,103107.63452565693,1105.1955538357433,1.060517743345718
37,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,103271.24013211207,941.5899473806057,0.9035259350143056
38,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,103402.7286828083,810.1013966843748,0.7773528423193538
39,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,103608.22736734338,604.6027121492953,0.5801614942115183
40,2025-10-29 16:02:00+00:00,2025-10-29 16:06:00+00:00,103900.94248819687,311.88759129580285,0.29927945633747555
41,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,104096.72404261162,116.10603688105766,0.11141242090104736
42,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,104582.8107869416,0.0,0.0
43,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,104711.16360474855,0.0,0.0
44,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,104893.49001448673,0.0,0.0
45,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,105021.48059595279,0.0,0.0
46,2025-12-31 18:37:00+00:00,2025-12-31 19:56:00+00:00,105357.96644333111,0.0,0.0
47,2026-01-16 20:14:00+00:00,2026-01-16 21:53:00+00:00,105484.44825834512,0.0,0.0
48,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,105610.86611511846,0.0,0.0
49,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,105753.50950123098,0.0,0.0
