trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100010.76624057256,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99981.31014972486,29.45609084769967,0.029452919875490233
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100020.20393104076,0.0,0.0
4,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100068.16994868837,0.0,0.0
5,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100089.62069225895,0.0,0.0
6,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100127.17277223755,0.0,0.0
7,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100189.77392941552,0.0,0.0
8,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,100247.00359121685,0.0,0.0
9,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,100268.47716891019,0.0,0.0
10,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,100292.19554652272,0.0,0.0
11,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100358.63055056045,0.0,0.0
12,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100309.73663252963,48.89391803082253,0.048719196109586096
13,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100336.88352078042,21.74702978003188,0.021669316989210784
14,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,100592.22113992392,0.0,0.0
15,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,100625.10654488012,0.0,0.0
16,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,100762.76941376904,0.0,0.0
17,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,100806.17433735373,0.0,0.0
18,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,100829.94254978541,0.0,0.0
19,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,100826.07126222704,3.8712875583732966,0.0038394225569074627
20,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,100855.27992673282,0.0,0.0
21,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,100918.33498023395,0.0,0.0
22,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,100949.85636308746,0.0,0.0
23,2023-11-08 18:02:00+00:00,2023-11-08 22:03:00+00:00,100911.47293529776,38.383427789696725,0.03802227083081984
24,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,100990.75539394961,0.0,0.0
25,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,101032.69387722158,0.0,0.0
26,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,101095.81793642319,0.0,0.0
27,2024-01-10 21:04:00+00:00,2024-01-10 22:03:00+00:00,101208.02681456112,0.0,0.0
28,2024-01-12 19:31:00+00:00,2024-01-12 21:05:00+00:00,101240.48583188702,0.0,0.0
29,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,101262.18722843203,0.0,0.0
30,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,101225.86618651428,36.321041917748516,0.035868316606487864
31,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,101296.36734210997,0.0,0.0
32,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,101413.55114694413,0.0,0.0
33,2024-03-27 19:38:00+00:00,2024-03-27 22:00:00+00:00,101366.69251131504,46.85863562909071,0.04620549729216607
34,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,101430.067278961,0.0,0.0
35,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,101533.06122359184,0.0,0.0
36,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,101534.2356001946,0.0,0.0
37,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,101555.98558987217,0.0,0.0
38,2024-05-07 18:02:00+00:00,2024-05-07 21:23:00+00:00,101600.7599896889,0.0,0.0
39,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,101563.52459268339,37.23539700551191,0.03664873866031199
40,2024-05-22 18:29:00+00:00,2024-05-22 22:00:00+00:00,101506.97741113293,93.78257855596894,0.09230499709400461
41,2024-05-22 19:19:00+00:00,2024-05-22 22:00:00+00:00,101486.17200491694,114.58798477196251,0.11278260594073472
42,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,101360.82861610991,239.93137357899104,0.23615116028988448
43,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,101257.48118687312,343.2788028157811,0.3378703100750617
44,2024-06-04 17:54:00+00:00,2024-06-04 21:26:00+00:00,101505.40228051567,95.35770917322952,0.09385531090801588
45,2024-06-05 20:38:00+00:00,2024-06-05 22:00:00+00:00,101542.93978440893,57.8202052799752,0.056909225172964414
46,2024-06-14 20:37:00+00:00,2024-06-14 20:47:00+00:00,101564.70547919912,36.054510489775566,0.035486457476730106
47,2024-06-14 20:49:00+00:00,2024-06-14 20:51:00+00:00,101586.47589542386,14.284094265036401,0.014059042734016994
48,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,101576.68545554396,24.07453414493648,0.02369523037758745
49,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,101386.37277653374,214.3872131551616,0.21100945817424888
50,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,101357.9290620534,242.8309276354994,0.23900503073022625
51,2024-07-17 19:14:00+00:00,2024-07-17 19:30:00+00:00,101431.00577565268,169.75421403622022,0.16707966953539322
52,2024-07-23 16:48:00+00:00,2024-07-23 21:12:00+00:00,101240.48703469367,360.2729549952346,0.35459671269368204
53,2024-09-03 19:53:00+00:00,2024-09-03 20:15:00+00:00,101266.78187577978,333.978113909121,0.32871615718525654
54,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,101251.83429653727,348.92569315162837,0.343428231429607
55,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,101246.80902255721,353.95096713169187,0.3483743302388812
56,2024-09-24 18:24:00+00:00,2024-09-24 18:53:00+00:00,101279.0281705092,321.73181917969487,0.31666280765256705
57,2024-09-27 18:41:00+00:00,2024-09-27 19:08:00+00:00,101394.00670620642,206.7532834824815,0.20349580407022955
58,2024-11-06 20:50:00+00:00,2024-11-06 22:04:00+00:00,101325.90178212941,274.85820755948953,0.2705277082448831
59,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,101365.51513292747,235.24485676143377,0.23153848139059974
60,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,101401.37801357413,199.38197611477517,0.1962406345533338
61,2024-11-20 20:48:00+00:00,2024-11-20 21:21:00+00:00,101423.1136730306,177.64631665829802,0.17484742897230957
62,2024-11-20 20:10:00+00:00,2024-11-20 22:04:00+00:00,101400.84765614278,199.91233354611904,0.1967626359944625
63,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,101468.48293816397,132.27705152492854,0.13019297448006575
64,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,101536.74614415258,64.01384553631942,0.06300528218766864
