trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 19:26:00+00:00,2023-06-27 22:00:00+00:00,99895.87707942158,0.0,0.0
2,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,99930.58471961449,0.0,0.0
3,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99740.16458355072,190.42013606376713,0.19055240855244515
4,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,99951.39000262544,0.0,0.0
5,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100089.70306931599,0.0,0.0
6,2023-07-11 16:54:00+00:00,2023-07-11 19:21:00+00:00,100262.36805395555,0.0,0.0
7,2023-07-11 17:06:00+00:00,2023-07-11 19:21:00+00:00,100528.05419893902,0.0,0.0
8,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100672.12721738622,0.0,0.0
9,2023-07-19 19:33:00+00:00,2023-07-19 21:05:00+00:00,100815.3582978691,0.0,0.0
10,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100956.45326747073,0.0,0.0
11,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,101098.23942064653,0.0,0.0
12,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101469.68983605508,0.0,0.0
13,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101610.69527744288,0.0,0.0
14,2023-08-08 16:56:00+00:00,2023-08-08 17:14:00+00:00,101756.52347309541,0.0,0.0
15,2023-08-09 18:34:00+00:00,2023-08-09 19:53:00+00:00,101895.74058768629,0.0,0.0
16,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,102033.73681546016,0.0,0.0
17,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,102179.88112799212,0.0,0.0
18,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,101869.2107970088,310.6703309833247,0.30404256449875305
19,2023-08-25 20:31:00+00:00,2023-08-27 21:03:00+00:00,101824.8293211541,355.0518068380188,0.3474772165699384
20,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101997.52823872492,182.35288926720386,0.17846261637238134
21,2023-09-05 17:23:00+00:00,2023-09-05 22:00:00+00:00,102038.15593665799,141.72519133413152,0.13870166002307668
22,2023-09-05 17:33:00+00:00,2023-09-05 22:00:00+00:00,102149.88210597397,29.999022018149844,0.029359030062456815
23,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,102958.37307913428,0.0,0.0
24,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,103819.4205392186,0.0,0.0
25,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,104026.36928985223,0.0,0.0
26,2023-09-15 19:11:00+00:00,2023-09-17 21:03:00+00:00,104275.08591340059,0.0,0.0
27,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,104571.16143567358,0.0,0.0
28,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,104706.42772612696,0.0,0.0
29,2023-09-22 17:46:00+00:00,2023-09-24 21:03:00+00:00,104686.20016607639,20.227560050567263,0.01931835560609042
30,2023-10-06 17:11:00+00:00,2023-10-06 17:17:00+00:00,104821.56876074488,0.0,0.0
31,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,104804.8780037523,16.690756992582465,0.01592301774330348
32,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,104911.69884850492,0.0,0.0
33,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,105043.60104474862,0.0,0.0
34,2023-10-31 20:29:00+00:00,2023-10-31 22:00:00+00:00,104997.43558113201,46.16546361660585,0.04394885852869738
35,2023-11-07 17:32:00+00:00,2023-11-07 18:32:00+00:00,105286.47382312137,0.0,0.0
36,2023-11-08 17:39:00+00:00,2023-11-08 22:03:00+00:00,104948.6169618117,337.85686130967224,0.32089294003450364
37,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,105168.87782908102,117.59599404035544,0.11169145453376447
38,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,105393.3083324439,0.0,0.0
39,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,105526.93787972633,0.0,0.0
40,2023-11-17 18:18:00+00:00,2023-11-19 22:03:00+00:00,105369.8927342591,157.0451454672293,0.1488199587921527
41,2023-12-06 19:32:00+00:00,2023-12-06 22:03:00+00:00,105602.48254679776,0.0,0.0
42,2023-12-06 19:50:00+00:00,2023-12-06 22:03:00+00:00,105872.40922228784,0.0,0.0
43,2024-01-03 17:50:00+00:00,2024-01-03 18:58:00+00:00,106209.39126112564,0.0,0.0
44,2024-01-10 21:04:00+00:00,2024-01-10 22:03:00+00:00,106453.03123693279,0.0,0.0
45,2024-01-12 19:31:00+00:00,2024-01-12 21:05:00+00:00,106659.71864508536,0.0,0.0
46,2024-01-26 17:59:00+00:00,2024-01-28 22:03:00+00:00,106227.61175264289,432.10689244247624,0.4051266006807404
47,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,106001.43080112999,658.2878439553751,0.6171850557246032
