trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100034.70764019291,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99844.28750412914,190.42013606376713,0.19035406865852456
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100055.51292320386,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100193.82598989441,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:59:00+00:00,100391.47288271452,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100535.54590116172,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 22:00:00+00:00,100822.02857984189,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100963.12354944352,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,101104.90970261932,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:35:00+00:00,101424.00797956261,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101565.0134209504,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101703.00964872427,0.0,0.0
13,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,100506.0560665842,1196.953582140064,1.1769106797077744
14,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100652.20037911617,1050.8092696081003,1.0332135432742144
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100341.53004813284,1361.479600591425,1.3386817217050793
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100514.22896570366,1188.78068302061,1.1688746352016355
17,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101322.71993886397,380.2897098602989,0.37392178576995444
18,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,102183.76739894829,0.0,0.0
19,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,102390.71614958192,0.0,0.0
20,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,102686.79167185491,0.0,0.0
21,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,102822.05796230829,0.0,0.0
22,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,103031.07335520982,0.0,0.0
