trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100034.70764019291,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99844.28750412914,190.42013606376713,0.19035406865852456
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100055.51292320386,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100166.15476802789,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100395.63144812382,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:46:00+00:00,100510.88052244042,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100754.36669060991,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,100867.2337079963,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,100980.6716772416,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101363.88158422415,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101476.69488468509,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101587.08329776989,0.0,0.0
13,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,100390.12971562982,1196.953582140064,1.17825371423607
14,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100502.97022061775,1084.113077152142,1.0671761034563942
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100192.29988963442,1394.7834081354667,1.3729928676533685
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100344.8145374815,1242.2687602883816,1.2228609385772697
17,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101260.85635749935,326.2269402705424,0.32113033436968846
18,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,102239.9773206917,0.0,0.0
19,2023-09-13 19:02:00+00:00,2023-09-13 21:23:00+00:00,102364.80725460859,0.0,0.0
20,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,102665.96702067571,0.0,0.0
21,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,102774.17181958795,0.0,0.0
22,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,102971.04704006022,0.0,0.0
