trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100034.70764019291,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99844.28750412914,190.42013606376713,0.19035406865852456
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100055.51292320386,0.0,0.0
4,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100207.66016574224,0.0,0.0
5,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100459.77477615893,0.0,0.0
6,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100618.25820955749,0.0,0.0
7,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100861.74129957442,0.0,0.0
8,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101016.94875188346,0.0,0.0
9,2023-07-25 18:51:00+00:00,2023-07-25 21:12:00+00:00,101172.91050445229,0.0,0.0
10,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101514.73098648274,0.0,0.0
11,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101669.8339892086,0.0,0.0
12,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,101821.6326958095,0.0,0.0
13,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,100624.67911366944,1196.953582140064,1.1755395689990003
14,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,100786.26531808438,1035.3673777251242,1.0168442111100966
15,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100475.59498710105,1346.037708708449,1.3219565165780782
16,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,100654.79365248626,1166.8390433232416,1.1459637922023451
17,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101342.19350679747,479.4391890120314,0.4708618162157626
18,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,102071.63003293947,0.0,0.0
19,2023-09-13 19:02:00+00:00,2023-09-13 22:00:00+00:00,102277.89998231683,0.0,0.0
20,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,102555.35511267392,0.0,0.0
21,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,102704.1507763468,0.0,0.0
22,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,102911.81711972076,0.0,0.0
