trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100036.35570842495,0.0,0.0
2,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100247.66106871994,0.0,0.0
3,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100534.24378344623,0.0,0.0
4,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100663.54854464123,0.0,0.0
5,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,100879.45697004214,0.0,0.0
6,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101257.88798479261,0.0,0.0
7,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101398.76169036352,0.0,0.0
8,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101746.93424422751,0.0,0.0
9,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,101877.70546438594,0.0,0.0
10,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,102022.19933065648,0.0,0.0
11,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,100877.1996976765,1144.9996329799906,1.1223044008971208
12,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,101278.13757397282,744.061756683659,0.7293135823039223
13,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,100960.36494244216,1061.8343882143236,1.0407875885648101
14,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,101117.49534751625,904.7039831402362,0.8867716919217437
15,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,101894.32996413928,127.86936651720316,0.12533484609832354
16,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,102722.23088386573,0.0,0.0
17,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,103528.53866685467,0.0,0.0
18,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,103795.72914149865,0.0,0.0
19,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,103986.79993677023,0.0,0.0
20,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,104113.46425160256,0.0,0.0
21,2023-10-17 17:53:00+00:00,2023-10-17 19:55:00+00:00,104469.69318274925,0.0,0.0
22,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,104414.92126331775,54.771919431499555,0.052428525214185145
23,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,104561.11539042584,0.0,0.0
24,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,104953.34870212401,0.0,0.0
25,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,105103.45365872822,0.0,0.0
26,2023-11-08 18:02:00+00:00,2023-11-08 22:03:00+00:00,104838.94479224847,264.5088664797513,0.25166524721310657
27,2023-11-08 19:55:00+00:00,2023-11-08 22:03:00+00:00,105314.40125842868,0.0,0.0
28,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,105567.7481679119,0.0,0.0
29,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,105963.49451844978,0.0,0.0
30,2023-12-06 20:11:00+00:00,2023-12-06 22:03:00+00:00,106314.3357559523,0.0,0.0
31,2024-01-12 19:28:00+00:00,2024-01-12 20:05:00+00:00,106455.73394435653,0.0,0.0
32,2024-01-12 19:15:00+00:00,2024-01-12 21:00:00+00:00,106672.63562099452,0.0,0.0
33,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,106809.8323356431,0.0,0.0
34,2024-01-26 19:04:00+00:00,2024-01-26 19:57:00+00:00,106970.3596183783,0.0,0.0
35,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,106721.01587314074,249.34374523755105,0.23309610823698865
36,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,107168.0405810767,0.0,0.0
37,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,107220.16155341943,0.0,0.0
38,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,107938.25096875003,0.0,0.0
39,2024-03-27 20:00:00+00:00,2024-03-27 22:00:00+00:00,107795.30625646928,142.9447122807469,0.1324319330708183
40,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,107786.28930252639,151.9616662236367,0.1407857407914014
41,2024-04-10 20:49:00+00:00,2024-04-10 21:16:00+00:00,108178.30317977916,0.0,0.0
42,2024-04-10 21:06:00+00:00,2024-04-10 21:16:00+00:00,108570.26812348608,0.0,0.0
43,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,108829.52836141932,0.0,0.0
44,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,109083.87801560397,0.0,0.0
45,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,109071.75428876882,12.12372683515423,0.01111413258833719
46,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,109211.94348295708,0.0,0.0
47,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,109530.85675495806,0.0,0.0
48,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,109267.17456476922,263.682190188847,0.24073781398310032
49,2024-05-22 18:29:00+00:00,2024-05-22 22:00:00+00:00,108883.33435929219,647.5223956658738,0.591178061461263
50,2024-05-22 19:19:00+00:00,2024-05-22 22:00:00+00:00,108721.70002536735,809.1567295907153,0.7387477406489725
51,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,107888.31412948167,1642.542625476388,1.4996163402164167
52,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,107184.65604577403,2346.200709184035,2.142045427831305
53,2024-06-04 17:54:00+00:00,2024-06-04 21:11:00+00:00,108697.78392794175,833.072827016309,0.7605827724693652
54,2024-06-07 20:02:00+00:00,2024-06-09 21:04:00+00:00,108336.32661594509,1194.5301390129753,1.0905877799215729
55,2024-06-14 20:37:00+00:00,2024-06-14 20:47:00+00:00,108475.66017851475,1055.1965764433116,0.9633783645132921
56,2024-06-14 20:49:00+00:00,2024-06-14 20:51:00+00:00,108615.17272439253,915.6840305655351,0.8360055400772581
57,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,108532.37118523527,998.4855697227904,0.9116020811894112
58,2024-06-18 18:01:00+00:00,2024-06-18 19:15:00+00:00,108702.17497361582,828.6817813422385,0.7565738148074215
59,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,107575.2835174166,1955.5732375414664,1.7854085099657955
60,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,107373.13594970242,2157.720805255638,1.9699661530840402
61,2024-07-23 16:48:00+00:00,2024-07-23 21:12:00+00:00,106163.04653462283,3367.810220335232,3.074759314509592
62,2024-09-03 19:53:00+00:00,2024-09-03 20:15:00+00:00,106326.81161557324,3204.04513938482,2.9252442958178397
63,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,106212.78958813922,3318.0671668188443,3.0293446660807275
64,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,106159.36479805567,3371.4919569023914,3.078120683786011
65,2024-09-24 16:57:00+00:00,2024-09-24 17:35:00+00:00,106650.24940074173,2880.607354216336,2.629950535912284
66,2024-09-24 18:24:00+00:00,2024-09-24 18:53:00+00:00,106854.5166315727,2676.3401233853656,2.4434576727294863
67,2024-09-27 18:41:00+00:00,2024-09-27 19:08:00+00:00,107566.28002156148,1964.5767333965778,1.7936285642243446
68,2024-10-15 18:37:00+00:00,2024-10-15 22:00:00+00:00,107234.98835904134,2295.8683959167247,2.0960927942461285
69,2024-11-06 20:50:00+00:00,2024-11-06 21:42:00+00:00,106071.2550579602,3459.6016969978664,3.1585635313139857
70,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,106222.83632612908,3308.0204288289824,3.0201721476804213
71,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,106437.02295746886,3093.8337974892056,2.8246230232734475
72,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,106861.58160144143,2669.2751535166317,2.4370074631008523
73,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,107124.83126872138,2406.0254862366855,2.196664535930213
74,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,107262.60668204281,2268.2500729152525,2.0708776869971643
75,2025-01-10 21:19:00+00:00,2025-01-10 21:43:00+00:00,107400.4718142999,2130.3849406581576,1.945008926045603
76,2025-01-14 17:27:00+00:00,2025-01-14 18:22:00+00:00,107620.98394482495,1909.8728101331071,1.74368471745443
77,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,107937.79167089274,1593.0650840653252,1.4544441002861168
78,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,108077.81397129832,1453.0427836597373,1.3266058777486587
79,2025-02-14 19:44:00+00:00,2025-02-14 21:02:00+00:00,108325.12859572275,1205.7281592353102,1.1008114014233996
80,2025-02-14 19:59:00+00:00,2025-02-14 21:02:00+00:00,108548.89831908584,981.9584358722204,0.8965130603050548
81,2025-02-25 20:59:00+00:00,2025-02-25 21:30:00+00:00,108688.41432544032,842.442429517745,0.7691370765066263
82,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,109461.82548726637,69.03126769169467,0.06302449349604844
83,2025-04-16 17:41:00+00:00,2025-04-16 19:02:00+00:00,108227.65191078032,1303.2048441777442,1.1898061265906723
84,2025-04-30 18:24:00+00:00,2025-04-30 19:21:00+00:00,108670.06562448449,860.7911304735753,0.7858891603480591
85,2025-04-30 20:14:00+00:00,2025-04-30 22:00:00+00:00,108960.41054594476,570.446209013302,0.5208086797764229
86,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,108524.88160747368,1005.9751474843797,0.9184399513416961
87,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,108682.16364221562,848.6931127424468,0.7748438548610455
88,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,108831.13532430108,699.7214306569804,0.6388349834808597
89,2025-05-23 18:26:00+00:00,2025-05-23 20:59:00+00:00,108987.50876527764,543.3479896804201,0.4960684192364128
90,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,109185.70254347094,345.1542114871263,0.315120525587875
91,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,109363.99797834262,166.85877661543782,0.15233951560219555
92,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,108964.30093980898,566.5558151490841,0.5172568095733792
93,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,109117.02810227952,413.82865267853776,0.37781924193686656
94,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,109305.18052841393,225.67622654413572,0.20603894941588702
95,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,109468.93114282863,61.9256121294311,0.056537138450373677
96,2025-06-20 20:03:00+00:00,2025-06-20 20:40:00+00:00,109684.3548468953,0.0,0.0
97,2025-06-20 18:56:00+00:00,2025-06-22 21:04:00+00:00,108455.77550864506,1228.5793382502306,1.1201044487749992
98,2025-07-23 18:30:00+00:00,2025-07-23 19:50:00+00:00,108740.31868696735,944.0361599279422,0.8606844260019495
99,2025-09-02 17:58:00+00:00,2025-09-02 18:47:00+00:00,107528.08172104484,2156.27312585045,1.9658894186507447
100,2025-09-10 19:25:00+00:00,2025-09-10 22:00:00+00:00,107424.41927263995,2259.9355742553453,2.060399204070547
101,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,107513.19655492797,2171.1582919673237,1.9794603295957482
102,2025-09-24 18:47:00+00:00,2025-09-24 22:00:00+00:00,107437.29019872296,2247.064648172338,2.0486646899723664
103,2025-10-14 19:45:00+00:00,2025-10-14 19:55:00+00:00,107592.43798840606,2091.9168584892323,1.907215355744462
104,2025-10-15 20:46:00+00:00,2025-10-15 22:00:00+00:00,107014.54842243798,2669.806424457318,2.4340813493264477
105,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,107532.96979004766,2151.3850568476337,1.9614329316616577
106,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,107705.55519810112,1978.799648794171,1.8040855977648873
107,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,108100.01762102752,1584.33722586777,1.4444514243433288
108,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,108711.59152321814,972.7633236771508,0.8868751838263519
109,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,109287.5802567079,396.77459018740046,0.36174219262286295
110,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,110740.01619113129,0.0,0.0
111,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,111020.32103512502,0.0,0.0
112,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,111163.10689688493,0.0,0.0
113,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,111700.21567499056,0.0,0.0
114,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,112036.39654231831,0.0,0.0
115,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,112615.04681635695,0.0,0.0
116,2025-12-31 18:37:00+00:00,2025-12-31 19:56:00+00:00,113141.0622218364,0.0,0.0
