trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100036.35570842495,0.0,0.0
2,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100553.32829352992,0.0,0.0
3,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100950.38094418772,0.0,0.0
4,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,101329.08105185421,0.0,0.0
5,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101709.19884969763,0.0,0.0
6,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101956.8270385685,0.0,0.0
7,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,102569.4827880538,0.0,0.0
8,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,102800.18241409701,0.0,0.0
9,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,103031.56229001022,0.0,0.0
10,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,103441.06291963231,0.0,0.0
11,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,102873.08482331532,567.9780963169906,0.5490837780333682
12,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,103153.27253230504,287.7903873272735,0.2782167731115349
13,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,104540.10582729046,0.0,0.0
14,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,106018.10136106214,0.0,0.0
15,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,106850.28010313155,0.0,0.0
16,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,107126.04363475525,0.0,0.0
17,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,107471.14608248573,0.0,0.0
18,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,107700.23619184359,0.0,0.0
19,2023-10-17 17:53:00+00:00,2023-10-17 19:55:00+00:00,108068.73763604484,0.0,0.0
20,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,107999.45064788098,69.28698816386168,0.06411381281902932
21,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,108156.23924345644,0.0,0.0
22,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,108551.94633581607,0.0,0.0
23,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,108703.40961510898,0.0,0.0
24,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,109104.8142669421,0.0,0.0
25,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,109505.69983683065,0.0,0.0
26,2024-01-12 19:28:00+00:00,2024-01-12 20:05:00+00:00,109760.57487156175,0.0,0.0
27,2024-01-12 19:15:00+00:00,2024-01-12 21:00:00+00:00,110412.19646544031,0.0,0.0
28,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,110660.7075142762,0.0,0.0
29,2024-01-26 19:04:00+00:00,2024-01-26 19:57:00+00:00,110951.47915485823,0.0,0.0
30,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,110499.83014684494,451.6490080132935,0.407068938110247
31,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,111280.45902259568,0.0,0.0
32,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,111375.17092360082,0.0,0.0
33,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,112093.93925885746,0.0,0.0
34,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,112077.5303231358,16.408935721658054,0.014638557472554386
35,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,112535.95547309054,0.0,0.0
36,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,112988.24816327407,0.0,0.0
37,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,112967.9300608093,20.318102464763797,0.017982491803398042
38,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,113222.02474102088,0.0,0.0
39,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,113552.6481666796,0.0,0.0
40,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,113231.56202507067,321.08614160893194,0.28276411584661754
41,2024-05-28 17:05:00+00:00,2024-05-28 17:48:00+00:00,112085.93792261643,1466.7102440631716,1.2916565731784992
