trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100036.35570842495,0.0,0.0
2,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100346.53948863839,0.0,0.0
3,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100742.77533060714,0.0,0.0
4,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,101120.69672482385,0.0,0.0
5,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101500.03285991783,0.0,0.0
6,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101747.15169287428,0.0,0.0
7,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,102358.5466255446,0.0,0.0
8,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,102588.7719094509,0.0,0.0
9,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,102819.67597363277,0.0,0.0
10,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,103228.33422707976,0.0,0.0
11,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,102661.52392210792,566.8103049718338,0.5490840370677446
12,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,102941.13559953916,287.1986275405943,0.278216857504278
13,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,104325.11661812622,0.0,0.0
14,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,105800.07302237558,0.0,0.0
15,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,106630.54014245713,0.0,0.0
16,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,106905.73623098999,0.0,0.0
17,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,107250.12923786503,0.0,0.0
18,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,107478.7482001624,0.0,0.0
19,2023-10-17 17:53:00+00:00,2023-10-17 19:55:00+00:00,107846.49148095293,0.0,0.0
20,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,107777.34698004894,69.14450090398896,0.06411381580846398
21,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,107933.81311731508,0.0,0.0
22,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,108329.52020967471,0.0,0.0
23,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,108480.98348896761,0.0,0.0
24,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,108881.56691905203,0.0,0.0
25,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,109282.45248894057,0.0,0.0
26,2024-01-12 19:28:00+00:00,2024-01-12 20:05:00+00:00,109536.8076474037,0.0,0.0
27,2024-01-12 19:15:00+00:00,2024-01-12 21:00:00+00:00,110187.10043523193,0.0,0.0
28,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,110435.10484181867,0.0,0.0
29,2024-01-26 19:04:00+00:00,2024-01-26 19:57:00+00:00,110725.28362553979,0.0,0.0
30,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,110274.55564044436,450.7279850954219,0.40706871126176775
31,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,111053.59341136443,0.0,0.0
32,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,111148.11215966122,0.0,0.0
33,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,111866.88049491786,0.0,0.0
34,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,111850.50478528863,16.37570962922473,0.014638568231075937
35,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,112308.00086994238,0.0,0.0
36,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,112759.3774607439,0.0,0.0
37,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,112739.10052399382,20.27693675007322,0.01798248376915032
38,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,112992.68039133797,0.0,0.0
39,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,113322.63396016034,0.0,0.0
40,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,113002.19837601489,320.4355841454526,0.28276397481027915
41,2024-05-28 17:05:00+00:00,2024-05-28 17:48:00+00:00,111856.57427356065,1466.0596865996922,1.2937042101537277
42,2024-05-28 17:22:00+00:00,2024-05-28 20:32:00+00:00,110711.3980812784,2611.23587888194,2.3042491933252673
