trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,99300.32385861907,0.0,0.0
2,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,99538.51951179447,0.0,0.0
3,2025-05-23 18:26:00+00:00,2025-05-23 20:59:00+00:00,99788.84417616746,0.0,0.0
4,2025-05-30 16:44:00+00:00,2025-05-30 17:20:00+00:00,98664.65900684953,1124.1851693179342,1.1265639747598388
5,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,98948.2381213552,840.6060548122623,0.8423847993752231
6,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,98584.9358926022,1203.9082835652662,1.206455785217718
7,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,98826.74949106724,962.0946851002227,0.964130502806244
8,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,99123.62235305773,665.2218231097359,0.6666294500168292
9,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,99381.81363018371,407.03054598375456,0.4078918333447994
10,2025-06-20 18:56:00+00:00,2025-06-20 19:52:00+00:00,98265.29921493349,1523.5449612339726,1.5267688225191813
11,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,97160.70869730438,2628.135478863085,2.6336966827908825
12,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,97379.24792455138,2409.59625161608,2.4146950207802513
13,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,97859.87837550658,1928.9658006608806,1.9330475431256422
14,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,98134.91653688406,1653.9276392834,1.6574273937511013
15,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,98502.80134247914,1286.0428336883197,1.2887641342131757
16,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,99075.22558592833,713.6185902391298,0.7151286259807819
17,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,99632.66395293735,156.18022323011246,0.15651070469800366
18,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,101040.06544189708,0.0,0.0
19,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,101488.516680496,0.0,0.0
20,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,101716.93874151119,0.0,0.0
21,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,102256.65900171844,0.0,0.0
22,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,102565.0460203727,0.0,0.0
23,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,103097.68241116426,0.0,0.0
24,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,102112.24323661301,985.4391745512548,0.955830578830299
25,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,102341.92272446626,755.759686698002,0.7330520619114927
26,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,102194.80120749054,902.8812036737218,0.8757531523094164
27,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,102453.20507827068,644.4773328935844,0.6251133079047712
