trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,99363.93109336155,0.0,0.0
2,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,99580.61155134656,0.0,0.0
3,2025-05-23 18:26:00+00:00,2025-05-23 20:59:00+00:00,99808.27568825966,0.0,0.0
4,2025-05-30 16:44:00+00:00,2025-05-30 20:58:00+00:00,100097.02766048489,0.0,0.0
5,2025-06-03 20:02:00+00:00,2025-06-03 20:50:00+00:00,100358.56942688162,0.0,0.0
6,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,99990.08872224911,368.4807046325004,0.3671641661860923
7,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,100213.05256126804,145.51686561357928,0.14499695087782088
8,2025-06-17 18:51:00+00:00,2025-06-17 20:03:00+00:00,100486.72290642608,0.0,0.0
9,2025-06-17 19:04:00+00:00,2025-06-17 20:03:00+00:00,100724.73479591699,0.0,0.0
10,2025-06-20 18:56:00+00:00,2025-06-20 19:56:00+00:00,99593.28765334026,1131.447142576726,1.1233061520283008
11,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,98473.76967985166,2250.96511606533,2.2347689677477076
12,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,98675.12653039045,2049.6082655265345,2.0348609203879664
13,2025-10-21 16:49:00+00:00,2025-10-21 17:04:00+00:00,99162.15318826414,1562.5816076528426,1.5513385176132368
14,2025-10-24 18:29:00+00:00,2025-10-24 20:32:00+00:00,99415.51516341322,1309.2196325037658,1.2997995330108696
15,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,99788.20045482177,936.5343410952191,0.9297957874922922
16,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100368.09472993638,356.6400659806095,0.3540739687259682
17,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,100932.80738825192,0.0,0.0
18,2025-11-25 20:04:00+00:00,2025-11-25 20:55:00+00:00,102358.57521910722,0.0,0.0
19,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,102771.57792085444,0.0,0.0
20,2025-12-12 19:21:00+00:00,2025-12-12 20:42:00+00:00,102981.85956661937,0.0,0.0
21,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,103521.57982682662,0.0,0.0
22,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,103833.78159667377,0.0,0.0
23,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,104373.00669283596,0.0,0.0
24,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,103466.07117587839,906.935516957572,0.8689368503358665
25,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,103677.63916092963,695.3675319063332,0.6662331132730148
26,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,103530.06942547743,842.9372673585312,0.8076199910952545
27,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,103768.05137975776,604.9553130782006,0.5796089738590658
