trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100036.35570842495,0.0,0.0
2,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,100306.08068488218,0.0,0.0
3,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100650.4946324176,0.0,0.0
4,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100847.4901254461,0.0,0.0
5,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101225.80135111554,0.0,0.0
6,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101440.10655772996,0.0,0.0
7,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101970.15082073097,0.0,0.0
8,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,102169.58715436347,0.0,0.0
9,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,102369.55296827851,0.0,0.0
10,2023-08-18 17:16:00+00:00,2023-08-18 17:37:00+00:00,102776.42241458062,0.0,0.0
11,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,102285.70195230958,490.72046227104147,0.4774640435445087
12,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,102527.95235527914,248.4700593014859,0.24175784043076023
13,2023-09-08 18:59:00+00:00,2023-09-10 21:03:00+00:00,103726.58391607474,0.0,0.0
14,2023-09-08 19:16:00+00:00,2023-09-10 21:03:00+00:00,105004.00723854842,0.0,0.0
15,2023-09-15 20:20:00+00:00,2023-09-17 21:03:00+00:00,105828.22632495606,0.0,0.0
16,2023-09-19 18:20:00+00:00,2023-09-19 19:07:00+00:00,106101.35215938401,0.0,0.0
17,2023-09-22 18:50:00+00:00,2023-09-24 21:03:00+00:00,106398.57082323825,0.0,0.0
18,2023-09-26 18:36:00+00:00,2023-09-26 22:00:00+00:00,106595.79125377539,0.0,0.0
19,2023-10-17 17:53:00+00:00,2023-10-17 19:55:00+00:00,106960.51375725883,0.0,0.0
20,2023-10-17 17:16:00+00:00,2023-10-17 22:00:00+00:00,106900.88207540501,59.63168185381801,0.05575111764061729
21,2023-10-17 20:32:00+00:00,2023-10-17 22:00:00+00:00,107050.56178229454,0.0,0.0
22,2023-10-31 20:48:00+00:00,2023-10-31 21:19:00+00:00,107446.26887465417,0.0,0.0
23,2023-10-31 20:35:00+00:00,2023-10-31 22:00:00+00:00,107597.73215394707,0.0,0.0
24,2023-11-10 17:29:00+00:00,2023-11-12 22:03:00+00:00,107943.22962305917,0.0,0.0
25,2023-11-17 18:59:00+00:00,2023-11-17 19:56:00+00:00,108344.11519294772,0.0,0.0
26,2024-01-12 19:28:00+00:00,2024-01-12 20:05:00+00:00,108563.39452615041,0.0,0.0
27,2024-01-12 19:15:00+00:00,2024-01-12 21:00:00+00:00,108899.76428131551,0.0,0.0
28,2024-01-26 18:51:00+00:00,2024-01-26 19:56:00+00:00,109112.90087057011,0.0,0.0
29,2024-01-26 19:04:00+00:00,2024-01-26 19:57:00+00:00,109362.28210130292,0.0,0.0
30,2024-01-26 18:32:00+00:00,2024-01-28 22:03:00+00:00,108974.92344023073,387.35866107218317,0.354197675495991
31,2024-02-27 18:15:00+00:00,2024-02-27 19:30:00+00:00,109644.36331303629,0.0,0.0
32,2024-03-05 19:05:00+00:00,2024-03-05 22:04:00+00:00,109725.51054817498,0.0,0.0
33,2024-03-15 19:57:00+00:00,2024-03-17 21:04:00+00:00,110444.27888343162,0.0,0.0
34,2024-04-05 19:57:00+00:00,2024-04-07 21:04:00+00:00,110430.22023036912,14.058653062500525,0.012729181814242027
35,2024-04-12 18:24:00+00:00,2024-04-14 21:04:00+00:00,110822.99135004955,0.0,0.0
36,2024-04-12 18:36:00+00:00,2024-04-14 21:04:00+00:00,111210.50849044713,0.0,0.0
37,2024-04-19 18:16:00+00:00,2024-04-21 21:04:00+00:00,111193.1185708116,17.38991963553417,0.015636939234953635
38,2024-05-03 19:42:00+00:00,2024-05-03 20:50:00+00:00,111410.59888619976,0.0,0.0
39,2024-05-07 18:02:00+00:00,2024-05-07 21:19:00+00:00,111735.93252297286,0.0,0.0
40,2024-05-07 17:24:00+00:00,2024-05-07 22:00:00+00:00,111461.19411684458,274.73840612827917,0.24588187517188623
41,2024-05-28 17:05:00+00:00,2024-05-28 22:00:00+00:00,110550.83784758703,1185.0946753858298,1.0606209199016394
42,2024-05-28 17:22:00+00:00,2024-05-28 22:00:00+00:00,109829.44981548048,1906.4827074923815,1.706239581524421
43,2024-06-04 17:54:00+00:00,2024-06-04 21:11:00+00:00,111342.5776976482,393.3548253246554,0.352039685392863
44,2024-06-07 20:02:00+00:00,2024-06-09 21:04:00+00:00,110919.25635194658,816.6761710262799,0.7308984250508418
45,2024-06-14 20:37:00+00:00,2024-06-14 20:47:00+00:00,111136.34096877722,599.5915541956347,0.5366148030065072
46,2024-06-14 20:49:00+00:00,2024-06-14 20:51:00+00:00,111353.8504368445,382.08208612835733,0.3419509530202394
47,2024-06-14 20:23:00+00:00,2024-06-16 21:04:00+00:00,111224.8438723281,511.08865064475685,0.4574076030015477
48,2024-06-18 18:01:00+00:00,2024-06-18 19:15:00+00:00,111487.7523569307,248.18016604216245,0.22211312013808693
49,2024-06-21 20:24:00+00:00,2024-06-21 20:36:00+00:00,110360.86090073147,1375.0716222413903,1.2306440651566373
50,2024-07-05 18:32:00+00:00,2024-07-07 21:04:00+00:00,110089.69177695751,1646.2407460153481,1.4733315495235892
51,2024-07-23 16:48:00+00:00,2024-07-23 17:27:00+00:00,108849.35374945146,2886.578773521396,2.5833934602263393
52,2024-09-03 19:53:00+00:00,2024-09-03 20:15:00+00:00,109104.86738775429,2631.065135218567,2.3547171226029917
53,2024-09-06 20:37:00+00:00,2024-09-08 21:04:00+00:00,108962.8611659801,2773.071356992761,2.4818080400614355
54,2024-09-06 20:48:00+00:00,2024-09-08 21:04:00+00:00,108899.85167214436,2836.080850828497,2.538199473338982
55,2024-09-24 16:57:00+00:00,2024-09-24 17:35:00+00:00,109666.13389577309,2069.798627199765,1.8524019806915877
56,2024-09-24 18:24:00+00:00,2024-09-24 18:53:00+00:00,109985.76503461089,1750.1674883619708,1.5663425800846447
57,2024-09-27 18:41:00+00:00,2024-09-27 19:08:00+00:00,110718.38623613282,1017.5462868400355,0.9106705997471568
58,2024-10-15 18:37:00+00:00,2024-10-15 22:00:00+00:00,110199.47405823723,1536.4584647356241,1.375080003399738
59,2024-11-08 20:44:00+00:00,2024-11-10 22:04:00+00:00,110537.61214320264,1198.3203797702154,1.0724574921535124
60,2024-12-17 17:11:00+00:00,2024-12-17 20:58:00+00:00,111208.57016066638,527.3623623064777,0.4719720419374065
61,2024-12-24 19:06:00+00:00,2024-12-24 20:37:00+00:00,111625.4640334098,110.46848956306349,0.09886568006254497
62,2024-12-27 20:00:00+00:00,2024-12-27 20:48:00+00:00,111843.93073572971,0.0,0.0
63,2025-01-10 21:19:00+00:00,2025-01-10 21:43:00+00:00,112062.68625091847,0.0,0.0
64,2025-01-14 17:27:00+00:00,2025-01-14 18:22:00+00:00,112412.81486352367,0.0,0.0
65,2025-02-11 19:35:00+00:00,2025-02-11 19:40:00+00:00,112916.37918239964,0.0,0.0
66,2025-02-11 18:30:00+00:00,2025-02-11 19:43:00+00:00,113138.94392439471,0.0,0.0
67,2025-02-14 19:44:00+00:00,2025-02-14 21:02:00+00:00,113532.91655118932,0.0,0.0
68,2025-02-14 19:59:00+00:00,2025-02-14 21:02:00+00:00,113889.38205109682,0.0,0.0
69,2025-02-25 20:59:00+00:00,2025-02-25 21:30:00+00:00,114112.13383526956,0.0,0.0
70,2025-03-28 20:11:00+00:00,2025-03-28 20:55:00+00:00,114924.13944354751,0.0,0.0
