trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-09-02 17:58:00+00:00,2025-09-02 17:57:00+00:00,1,2025-09-02 18:48:00+00:00,short,148.36692357788982,148.48692357788983,148.48692357788983,147.12,sl,-12.000000000000455,-1124.0900947917555,4,1390939,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.0,14.146915322498899,False,False,False,,pivot,pivot,0.0,0.0,128.0000000000001,2025-09-03,50.0,100000.0,98875.90990520825,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.12,147.346144,147.48585599999998,146.893856,146.75414400000003,148.40104772356932,148.2956,148.1901522764307,148.422,bearish,68.14159292034961,0.10878571428570995
2,2025-10-14 19:45:00+00:00,2025-10-14 19:43:00+00:00,2,2025-10-14 19:54:00+00:00,long,151.64662777380096,151.66662777380097,151.66662777380097,152.14133333333334,tp1_then_be_stop,3.9999976287112484,222.3971682095971,5,843423,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,6.682110967901167,1.724143816625201,False,False,False,,pivot,pivot,0.0,0.0,48.833333333334394,2025-10-15,9.0,98875.90990520825,99098.30707341785,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.14133333333334,152.41942933333334,152.59123733333334,151.86323733333333,151.69142933333333,151.8175745471097,151.75096,151.68434545289028,151.606,bullish,26.43171806167456,0.09421428571428489
3,2025-10-21 16:49:00+00:00,2025-10-21 16:48:00+00:00,1,2025-10-21 17:05:00+00:00,short,151.90926405698482,151.8892640569848,151.8892640569848,150.72133333333332,tp1_then_be_stop,4.803569442064592,446.4629942158572,4,1411307,7.607142857142739,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,8.165229612012581,5.146324430492655,False,False,False,,pivot,pivot,0.0,0.0,120.86666666666872,2025-10-22,16.0,99098.30707341785,99544.77006763371,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.72133333333332,151.07659333333334,151.2960733333333,150.3660733333333,150.14659333333333,151.93651689408898,151.80888000000002,151.68124310591105,151.9434,bearish,66.74584323040418,0.15214285714285478
4,2025-10-24 18:29:00+00:00,2025-10-24 18:28:00+00:00,1,2025-10-24 20:32:00+00:00,short,152.85782344406468,152.82012280323792,152.83782344406467,152.39833333333334,tp1_then_trailing_stop,4.885032041337922,273.6238155726917,4,855910,6.0,20.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,9.070064082675344,4.668517011683093,False,False,False,,pivot,pivot,0.0,0.0,47.366666666667356,2025-10-25,123.0,99544.77006763371,99818.3938832064,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.39833333333334,152.77078333333333,153.00088333333335,152.02588333333335,151.79578333333333,152.86979195616902,152.81912,152.76844804383097,152.83999885056002,bullish,66.37168141592775,0.06407142857143404
5,2025-10-28 19:13:00+00:00,2025-10-28 19:11:00+00:00,2,2025-10-28 20:43:00+00:00,long,152.0544758265343,152.0744758265343,152.0744758265343,152.894,tp1_then_be_stop,3.9999985944412164,374.1955680975347,5,1422921,6.0,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,6.9295904246331474,11.45186442990962,False,False,False,,pivot,pivot,0.0,0.0,84.10000000000082,2025-10-29,90.0,99818.3938832064,100192.58945130394,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.2549037762346,152.15372,152.05253622376537,152.034,bullish,24.496644295302048,0.11064285714285761
6,2025-10-28 19:25:00+00:00,2025-10-28 19:22:00+00:00,3,2025-10-28 20:43:00+00:00,long,152.00685097042648,152.0707717307806,152.0268509704265,152.894,tp1_then_trailing_stop,6.196038155520255,579.5866820746196,5,1422475,6.0,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,11.692076035413379,6.689378819129388,False,False,False,,pivot,pivot,0.0,0.0,87.00000000000045,2025-10-29,78.0,100192.58945130394,100772.17613337855,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.26722992022292,152.14304,152.0188500797771,152.04110005782061,bearish,25.67567567567879,0.10342857142857399
7,2025-11-21 19:55:00+00:00,2025-11-21 19:53:00+00:00,2,2025-11-21 20:27:00+00:00,long,156.31763557409215,156.37919073741375,156.33763557409216,157.41366666666667,tp1_then_trailing_stop,6.150972454871558,580.8775233584186,5,1476793,6.146428571428585,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,11.752302214654264,3.122105094195149,False,False,False,,pivot,pivot,0.0,0.0,110.56666666666786,2025-11-22,32.0,100772.17613337855,101353.05365673697,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.41366666666667,157.80139666666668,158.04093666666668,157.02593666666667,156.78639666666666,156.66415117447414,156.49416000000002,156.3241688255259,156.264,bullish,28.308207705192032,0.12292857142857169
8,2025-11-25 20:04:00+00:00,2025-11-25 20:03:00+00:00,1,2025-11-25 20:55:00+00:00,long,155.8911782495692,156.13006683422003,155.91117824956922,156.83900000000003,tp1_then_trailing_stop,15.119435152819179,1434.7651389217312,5,1481253,6.3499999999999694,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,28.89241458237848,2.3359870548773642,False,False,False,,pivot,pivot,0.0,0.0,97.90000000000134,2025-11-26,51.0,101353.05365673697,102787.8187956587,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.83900000000003,157.13734200000002,157.321658,156.54065800000004,156.35634200000004,155.96500449632197,155.91116,155.85731550367802,155.809,bullish,27.669902912633148,0.1269999999999994
9,2025-12-12 19:21:00+00:00,2025-12-12 19:20:00+00:00,1,2025-12-12 20:42:00+00:00,short,155.87076179095337,155.85076179095336,155.85076179095336,155.56033333333332,tp1_then_be_stop,3.9999977807743585,231.34645234162934,3,901215,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,8.96295264539333,7.565894745454216,False,False,False,,pivot,pivot,0.0,0.0,31.96666666666772,2025-12-13,81.0,102787.8187956587,103019.16524800034,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.56033333333332,156.0259913333333,156.31367533333332,155.09467533333333,154.80699133333331,155.87517251577924,155.79183999999998,155.70850748422072,155.834417248,bullish,69.06474820143649,0.09671428571428871
10,2025-12-19 17:22:00+00:00,2025-12-19 17:20:00+00:00,2,2025-12-19 18:03:00+00:00,short,157.54714867642596,157.49545378108095,157.52714867642595,155.608,tp1_then_trailing_stop,5.777601910106967,550.2871688000112,4,1500000,6.385714285714325,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,11.551423581155973,3.2696161502684618,False,False,False,,pivot,pivot,0.0,0.0,192.59999999999877,2025-12-20,41.0,103019.16524800034,103569.45241680036,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,157.52042032426226,157.45724,157.39405967573776,157.63143271935996,bearish,69.08212560386295,0.1277142857142865
11,2025-12-23 19:15:00+00:00,2025-12-23 19:12:00+00:00,3,2025-12-23 21:31:00+00:00,long,156.21160567262953,156.23160567262954,156.23160567262954,157.15166666666667,tp1_then_be_stop,4.000000000000625,312.8215686140194,4,1222050,6.0,14.893900596285903,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,9.479482247550663,3.946223681742822,False,False,False,,pivot,pivot,0.0,0.0,93.46666666666579,2025-12-24,136.0,103569.45241680036,103882.27398541437,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,156.35575970257287,156.28484,156.21392029742714,156.221,bearish,31.939163498099433,0.080285714285718
12,2026-01-16 20:14:00+00:00,2026-01-16 20:12:00+00:00,2,2026-01-18 22:04:00+00:00,long,158.0754845391028,157.90441542855945,157.8754845391028,158.57500000000002,session_close,-17.106911054335683,-1000.7035621225314,5,923694,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,5.498186807858474,17.106911054335683,False,False,False,,pivot,pivot,0.0,0.0,49.900000000002365,2026-01-17,2990.0,103882.27398541437,102881.57042329184,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.57500000000002,158.826738,158.98226200000002,158.32326200000003,158.167738,158.24302522957126,158.16548,158.08793477042875,158.11942,bearish,24.4791666666642,0.06407142857142796
13,2026-01-23 16:05:00+00:00,2026-01-23 16:03:00+00:00,2,2026-01-23 16:18:00+00:00,long,158.15503900620357,158.17503900620358,158.17503900620358,158.501,tp1_then_be_stop,4.000000000000624,231.41007814196362,4,915256,6.0,20.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.507551389884725,2.7032466826113932,False,False,False,,pivot,pivot,0.0,0.0,35.80000000000041,2026-01-24,13.0,102881.57042329184,103112.9805014338,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.501,158.773748,158.942252,158.228252,158.059748,158.369645843185,158.25119999999998,158.13275415681497,158.094,bullish,30.991735537190692,0.09750000000000471
14,2026-02-27 19:31:00+00:00,2026-02-27 19:30:00+00:00,1,2026-02-27 20:04:00+00:00,long,155.93433907972502,155.9618107837933,155.95433907972503,156.09066666666666,tp1_then_trailing_stop,4.3735834051485245,253.5913184918793,3,904435,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,8.247170406829696,2.4663254344801544,False,False,False,,pivot,pivot,0.0,0.0,17.666666666667652,2026-02-28,33.0,103112.9805014338,103366.57181992568,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.09066666666666,156.37296466666666,156.54736866666664,155.80836866666667,155.63396466666669,156.11650622532161,156.00788,155.89925377467839,155.8890296,bullish,30.2547770700577,0.09185714285714093
