trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,98875.90990520825,0.0,0.0
2,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,99098.30707341785,0.0,0.0
3,2025-10-21 16:49:00+00:00,2025-10-21 17:05:00+00:00,99544.77006763371,0.0,0.0
4,2025-10-24 18:29:00+00:00,2025-10-24 20:30:00+00:00,99853.41018085672,0.0,0.0
5,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,100227.73710601134,0.0,0.0
6,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100865.98142166469,0.0,0.0
7,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,101506.44968170971,0.0,0.0
8,2025-11-25 20:04:00+00:00,2025-11-25 20:54:00+00:00,103002.6766761282,0.0,0.0
9,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,103470.46180654659,0.0,0.0
10,2025-12-12 19:21:00+00:00,2025-12-12 20:26:00+00:00,103750.30026160166,0.0,0.0
11,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,104360.1372225587,0.0,0.0
12,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,104675.34670986087,0.0,0.0
13,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,105204.78901860055,0.0,0.0
14,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,104191.34501008499,1013.4440085155657,0.9633059654122641
15,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,104425.70113854567,779.0878800548817,0.7405441209688053
16,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,104308.13080350346,896.6582150970935,0.8522979072165254
17,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,104601.31646670513,603.4725518954219,0.5736169974056275
