trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,98875.90990520825,0.0,0.0
2,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,99098.30707341785,0.0,0.0
3,2025-10-21 16:49:00+00:00,2025-10-21 22:00:00+00:00,99266.44547546977,0.0,0.0
4,2025-10-24 18:29:00+00:00,2025-10-24 20:28:00+00:00,99609.14679506184,0.0,0.0
5,2025-10-28 19:25:00+00:00,2025-10-28 20:29:00+00:00,100325.79157911678,0.0,0.0
6,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,100741.89796912493,0.0,0.0
7,2025-11-21 19:55:00+00:00,2025-11-21 20:20:00+00:00,101437.12496382702,0.0,0.0
8,2025-11-25 20:04:00+00:00,2025-11-25 20:19:00+00:00,102192.2623021588,0.0,0.0
9,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,102656.36678493877,0.0,0.0
10,2025-12-12 19:21:00+00:00,2025-12-12 20:17:00+00:00,102971.40337270223,0.0,0.0
11,2025-12-19 17:22:00+00:00,2025-12-19 17:57:00+00:00,103716.86659305189,0.0,0.0
12,2025-12-23 19:15:00+00:00,2025-12-23 20:59:00+00:00,104181.96498801102,0.0,0.0
13,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,104708.91155862424,0.0,0.0
14,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,103700.24521750606,1008.6663411181798,0.9633051534046836
15,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,103936.2287644934,772.6827941308438,0.7379341286517295
16,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,103818.65842945118,890.2531291730556,0.8502171552749093
17,2026-02-27 19:31:00+00:00,2026-02-27 20:01:00+00:00,104146.94548355605,561.9660750681942,0.5366936459401181
