trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-26 03:25:00+00:00,2023-06-26 03:24:00+00:00,1,2023-06-26 03:56:00+00:00,long,143.40777612279976,143.42777612279977,143.42777612279977,143.60600000000002,tp1_then_be_stop,4.021427067889433,376.87615410676995,5,1344447,6.042857142856966,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.048011519612828,3.158237362990235,False,False,False,,pivot,pivot,0.0,0.0,20.600000000001728,2023-06-26,31.0,100000.0,100376.87615410677,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.633012392709,143.51716,143.401307607291,143.44813879999998,bearish,28.08022922636694,0.12085714285713932
2,2023-06-29 04:37:00+00:00,2023-06-29 04:36:00+00:00,1,2023-06-29 06:00:00+00:00,short,144.54024498978566,144.5716990683276,144.74024498978565,144.24799999999996,session_close,-3.1454078541941044,-177.55713304651084,3,816102,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,2.8699354362856866,7.286160219533144,False,False,False,,pivot,pivot,0.0,0.0,32.900000000003615,2023-06-29,83.0,100376.87615410677,100199.31902106025,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.24799999999996,144.58721599999996,144.79678399999997,143.90878399999997,143.69921599999995,144.5791437826978,144.43923999999998,144.29933621730217,144.51953805101857,bullish,65.86102719033403,0.07385714285714633
3,2023-07-07 05:07:00+00:00,2023-07-07 05:03:00+00:00,4,2023-07-07 05:59:00+00:00,long,143.74054835408498,143.540548354085,143.540548354085,144.08333333333334,sl,-19.999999999998863,-1128.8113488343074,3,810151,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,0.47183550362035476,22.011948741356946,False,False,False,,pivot,pivot,0.0,0.0,26.73333333333403,2023-07-07,52.0,100199.31902106025,99070.50767222594,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,143.99667555545898,143.9074,143.818124444541,143.868,bearish,30.092592592590393,0.0631428571428602
4,2023-07-17 05:17:00+00:00,2023-07-17 05:16:00+00:00,1,2023-07-17 06:00:00+00:00,long,138.56339828343286,138.57842024213772,138.44339828343286,138.75666666666666,session_close,1.5021958704863891,139.50667697867885,4,1286957,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,5.3021958704874805,5.722502227646942,False,False,False,,pivot,pivot,0.0,0.0,19.666666666665833,2023-07-17,43.0,99070.50767222594,99210.01434920462,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.68834621919785,138.63128,138.57421378080215,138.63667392804862,bearish,34.322033898301825,0.07949999999999793
5,2023-07-17 05:27:00+00:00,2023-07-17 05:25:00+00:00,2,2023-07-17 06:00:00+00:00,long,138.5675581786886,138.57842024213772,138.4475581786886,138.75666666666666,session_close,1.0862063449110337,100.87733230225567,4,1286995,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.886206344912125,6.138491753222297,False,False,False,,pivot,pivot,0.0,0.0,19.866666666666788,2023-07-17,33.0,99210.01434920462,99310.89168150688,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.75666666666666,138.81473066666666,138.85060266666665,138.69860266666666,138.66273066666668,138.6956134590555,138.62468,138.55374654094453,138.526,bullish,30.67226890755795,0.07949999999999793
6,2023-07-24 01:14:00+00:00,2023-07-24 01:12:00+00:00,2,2023-07-24 01:30:00+00:00,long,141.5952574212676,141.69899999999998,141.61525742126761,141.69899999999998,tp1_then_tp2,8.187130595662813,761.7818641689189,4,1318307,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,12.427420148205215,9.555325266725845,False,False,False,,pivot,pivot,0.0,0.0,11.099999999999,2023-07-24,16.0,99310.89168150688,100072.6735456758,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.77331757195523,141.67772000000002,141.5821224280448,141.506,bullish,31.124497991968695,0.07821428571428767
7,2023-07-24 04:35:00+00:00,2023-07-24 04:30:00+00:00,5,2023-07-24 04:45:00+00:00,short,141.50355604067386,141.42355604067384,141.48355604067385,141.42355604067384,tp1_then_tp2,7.001786967481564,394.33536060604285,5,796535,6.00357142857147,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,9.093484318668743,2.290994052793849,False,False,False,,pivot,pivot_fallback,0.0,0.0,13.79999999999768,2023-07-24,10.0,100072.6735456758,100467.00890628184,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.53914689057248,141.43312,141.32709310942752,141.598,bearish,76.72131147540605,0.1200714285714294
8,2023-07-31 01:17:00+00:00,2023-07-31 01:15:00+00:00,2,2023-07-31 01:29:00+00:00,short,141.09416466847233,141.29133333333337,141.29133333333337,140.99159533333332,sl,-19.716866486103868,-1128.6749446268702,4,808810,7.578571428571276,19.716866486103868,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.6370751815146605,23.15779672842382,False,False,False,,pivot,pivot_fallback,0.0,0.0,0.0666666666660376,2023-07-31,12.0,100467.00890628184,99338.33396165498,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.05233333333334,141.11307133333335,141.15059533333334,140.99159533333332,140.95407133333333,140.99978931770715,140.8432,140.68661068229284,141.16516000000001,bearish,66.66666666666559,0.15157142857142553
9,2023-08-07 04:10:00+00:00,2023-08-07 04:06:00+00:00,4,2023-08-07 04:40:00+00:00,short,142.22484868588924,142.17020214041818,142.20484868588923,141.72233333333335,tp1_then_trailing_stop,5.732327071464965,534.0653214177369,5,1324535,6.0,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,10.765658346744544,1.732013277020883,False,False,False,,pivot,pivot,0.0,0.0,50.16666666666367,2023-08-07,30.0,99338.33396165498,99872.39928307272,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.72233333333335,141.75442133333334,141.77424533333337,141.69024533333337,141.67042133333334,142.2269050349046,142.02004,141.81317496509539,142.302,bearish,85.86206896551795,0.11971428571428484
10,2023-08-14 04:14:00+00:00,2023-08-14 04:13:00+00:00,1,2023-08-14 06:00:00+00:00,long,144.91586069958385,144.83730204587815,144.77866666666665,144.99586069958386,session_close,-7.85586537056986,-643.7129425702217,4,1186803,6.0,13.719403291719345,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,5.282102219061358,10.055865370568995,False,False,False,,pivot,pivot_fallback,0.0,0.0,4.566666666667629,2023-08-14,106.0,99872.39928307272,99228.6863405025,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.94866666666667,144.98304666666667,145.00428666666667,144.91428666666667,144.89304666666666,144.97056468823862,144.93200000000002,144.8934353117614,144.936,bearish,33.52272727272819,0.09828571428571463
