trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-26 03:25:00+00:00,2023-06-26 03:24:00+00:00,1,2023-06-26 03:56:00+00:00,long,143.40777612279976,143.42777612279977,143.42777612279977,143.60600000000002,tp1_then_be_stop,4.021427067889433,376.87615410676995,5,1344447,6.042857142856966,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.048011519612828,3.158237362990235,False,False,False,,pivot,pivot,0.0,0.0,20.600000000001728,2023-06-26,31.0,100000.0,100376.87615410677,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.633012392709,143.51716,143.401307607291,143.44813879999998,bearish,28.08022922636694,0.12085714285713932
2,2023-06-29 04:37:00+00:00,2023-06-29 04:36:00+00:00,1,2023-06-29 05:00:00+00:00,short,144.54024498978566,144.5943785750437,144.74024498978565,144.24799999999996,session_close,-5.413358525802892,-305.534195946072,3,816102,6.0,20.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,1.3808574155262932,6.614838929451139,False,False,False,,pivot,pivot,0.0,0.0,32.900000000003615,2023-06-29,23.0,100376.87615410677,100071.34195816069,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.24799999999996,144.58721599999996,144.79678399999997,143.90878399999997,143.69921599999995,144.5791437826978,144.43923999999998,144.29933621730217,144.51953805101857,bullish,65.86102719033403,0.07385714285714633
3,2023-07-24 01:14:00+00:00,2023-07-24 01:12:00+00:00,2,2023-07-24 01:30:00+00:00,long,141.5952574212676,141.69899999999998,141.61525742126761,141.69899999999998,tp1_then_tp2,8.187128936619104,767.6150903949247,4,1328402,6.0,12.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,12.427420148205215,9.555325266725845,False,False,False,,pivot,pivot,0.0,0.0,11.099999999999,2023-07-24,16.0,100071.34195816069,100838.95704855562,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.77331757195523,141.67772000000002,141.5821224280448,141.506,bullish,31.124497991968695,0.07821428571428767
4,2023-07-24 04:35:00+00:00,2023-07-24 04:30:00+00:00,5,2023-07-24 04:45:00+00:00,short,141.50355604067386,141.42355604067384,141.48355604067385,141.42355604067384,tp1_then_tp2,7.001786957957317,397.3552470755086,5,802635,6.00357142857147,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,9.093484318668743,2.290994052793849,False,False,False,,pivot,pivot_fallback,0.0,0.0,13.79999999999768,2023-07-24,10.0,100838.95704855562,101236.31229563113,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.69899999999998,141.7372,141.7608,141.66079999999997,141.63719999999998,141.53914689057248,141.43312,141.32709310942752,141.598,bearish,76.72131147540605,0.1200714285714294
5,2023-07-31 01:17:00+00:00,2023-07-31 01:15:00+00:00,2,2023-07-31 01:29:00+00:00,short,141.09416466847233,141.29133333333337,141.29133333333337,140.99159533333332,sl,-19.716866486103868,-1137.3185229790406,4,815004,7.578571428571276,19.716866486103868,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,4.6370751815146605,23.15779672842382,False,False,False,,pivot,pivot_fallback,0.0,0.0,0.0666666666660376,2023-07-31,12.0,101236.31229563113,100098.99377265209,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.05233333333334,141.11307133333335,141.15059533333334,140.99159533333332,140.95407133333333,140.99978931770715,140.8432,140.68661068229284,141.16516000000001,bearish,66.66666666666559,0.15157142857142553
6,2023-08-07 04:10:00+00:00,2023-08-07 04:06:00+00:00,4,2023-08-07 04:40:00+00:00,short,142.22484868588924,142.17020214041818,142.20484868588923,141.72233333333335,tp1_then_trailing_stop,5.732327073000601,538.1546740440164,5,1334677,6.0,12.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,10.765658346744544,1.732013277020883,False,False,False,,pivot,pivot,0.0,0.0,50.16666666666367,2023-08-07,30.0,100098.99377265209,100637.1484466961,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.72233333333335,141.75442133333334,141.77424533333337,141.69024533333337,141.67042133333334,142.2269050349046,142.02004,141.81317496509539,142.302,bearish,85.86206896551795,0.11971428571428484
7,2023-08-14 04:14:00+00:00,2023-08-14 04:13:00+00:00,1,2023-08-14 05:00:00+00:00,long,144.91586069958385,144.90125768077758,144.77866666666665,144.99586069958386,session_close,-1.4603018806269574,-120.52072176421434,4,1195890,6.0,13.719403291719345,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.5472502698978587,2.9731033905704862,False,False,False,,pivot,pivot_fallback,0.0,0.0,4.566666666667629,2023-08-14,46.0,100637.1484466961,100516.62772493188,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.94866666666667,144.98304666666667,145.00428666666667,144.91428666666667,144.89304666666666,144.97056468823862,144.93200000000002,144.8934353117614,144.936,bearish,33.52272727272819,0.09828571428571463
8,2023-08-25 04:30:00+00:00,2023-08-25 04:29:00+00:00,1,2023-08-25 05:00:00+00:00,short,146.1069475398726,146.04485203985215,146.0869475398726,145.46666666666667,tp1_then_session_close,6.104775127854554,345.3117853568967,5,826097,6.0,20.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,7.609550002047172,5.05175860854763,False,False,False,,pivot,pivot,0.0,0.0,67.9333333333318,2023-08-25,30.0,100516.62772493188,100861.93951028878,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.46666666666667,145.98542266666666,146.30591066666668,144.94791066666667,144.62742266666666,146.1477180585236,146.04139999999998,145.93508194147637,146.18,bearish,75.34626038780735,0.07642857142857297
9,2023-09-18 01:04:00+00:00,2023-09-18 01:03:00+00:00,1,2023-09-18 05:00:00+00:00,long,147.7786962438673,147.6583833325806,147.60466666666665,147.8586962438673,session_close,-12.031291128670318,-785.0955630561698,4,963537,6.0,17.402957720065615,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,1.6002231859062022,12.031291128670318,False,False,False,,pivot,pivot_fallback,0.0,0.0,0.33333333333303017,2023-09-18,236.0,100861.93951028878,100076.84394723261,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.75166666666667,147.77726066666668,147.79307266666666,147.72607266666665,147.71026066666667,147.9030293178918,147.822,147.7409706821082,147.71,bullish,30.30303030303064,0.04521428571428438
10,2023-09-18 04:12:00+00:00,2023-09-18 04:10:00+00:00,2,2023-09-18 05:00:00+00:00,long,147.72963275040362,147.6583833325806,147.60466666666665,147.80963275040364,session_close,-7.124941782302586,-647.2592643680974,4,1341390,6.0,12.496608373697882,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.0,7.124941782302585,False,False,False,,pivot,pivot_fallback,0.0,0.0,2.766666666667561,2023-09-18,48.0,100076.84394723261,99429.58468286452,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.75166666666667,147.77726066666668,147.79307266666666,147.72607266666665,147.71026066666667,147.74737056417425,147.73808,147.72878943582575,147.7406164594739,bearish,32.75862068965263,0.04428571428570852
