trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-26 03:25:00+00:00,2023-06-26 03:56:00+00:00,100376.87615410677,0.0,0.0
2,2023-06-30 00:19:00+00:00,2023-06-30 00:47:00+00:00,100660.93369439838,0.0,0.0
3,2023-07-03 00:01:00+00:00,2023-07-03 00:19:00+00:00,100923.56041343788,0.0,0.0
4,2023-07-03 00:26:00+00:00,2023-07-03 00:47:00+00:00,101529.12815419657,0.0,0.0
5,2023-07-07 05:07:00+00:00,2023-07-07 05:59:00+00:00,100385.33567268123,1143.7924815153383,1.1265658459887613
6,2023-07-17 05:27:00+00:00,2023-07-17 06:37:00+00:00,99255.02234640333,2274.1058077932394,2.239855546025628
7,2023-07-17 05:17:00+00:00,2023-07-17 06:44:00+00:00,98124.70886132376,3404.4192928728153,3.3531454024724607
8,2023-07-24 01:14:00+00:00,2023-07-24 01:30:00+00:00,98877.39192316224,2651.7362310343306,2.611798485068272
9,2023-08-07 00:12:00+00:00,2023-08-07 00:51:00+00:00,97763.56451329801,3765.5636408985592,3.708850562746524
10,2023-08-07 04:10:00+00:00,2023-08-07 04:40:00+00:00,98289.16365979328,3239.9644944032916,3.191167454410345
11,2023-08-07 06:06:00+00:00,2023-08-07 06:11:00+00:00,98657.87739958974,2871.2507546068373,2.828006904822572
12,2023-08-11 00:10:00+00:00,2023-08-11 00:26:00+00:00,98879.9340163515,2649.194137845072,2.6092946782933355
13,2023-08-14 04:14:00+00:00,2023-08-14 06:02:00+00:00,97766.48113592714,3762.647018269432,3.705977867312069
14,2023-08-18 06:13:00+00:00,2023-08-18 07:00:00+00:00,98230.09725647018,3299.030897726392,3.249344259822674
15,2023-08-18 06:24:00+00:00,2023-08-18 07:00:00+00:00,98788.84449747452,2740.283656722051,2.6990122997611743
16,2023-08-21 06:25:00+00:00,2023-08-21 07:00:00+00:00,98883.99293552958,2645.1352186669974,2.60529689041525
17,2023-08-21 06:43:00+00:00,2023-08-21 07:00:00+00:00,99100.2378492324,2428.8903049641667,2.392308837002233
18,2023-08-21 06:56:00+00:00,2023-08-21 07:00:00+00:00,99359.39414570629,2169.7340084902826,2.137055688289784
19,2023-08-25 04:30:00+00:00,2023-08-25 05:28:00+00:00,99648.02554397391,1881.1026102226606,1.8527713616980448
20,2023-08-25 06:20:00+00:00,2023-08-25 06:27:00+00:00,100042.09210159996,1487.0360525966098,1.464639832559367
21,2023-08-28 05:11:00+00:00,2023-08-28 05:31:00+00:00,98915.6960387844,2613.4321154121717,2.574071266960002
22,2023-09-08 06:12:00+00:00,2023-09-08 06:43:00+00:00,99209.94331795092,2319.1848362456512,2.2842556401384706
23,2023-09-08 06:02:00+00:00,2023-09-08 07:00:00+00:00,99538.19366456139,1990.9344896351831,1.9609490653868977
24,2023-09-18 01:04:00+00:00,2023-09-18 06:16:00+00:00,98417.06949937753,3112.0586548190477,3.065188002099883
25,2023-09-18 04:12:00+00:00,2023-09-18 06:16:00+00:00,97296.31748729284,4232.810666903737,4.169060390704024
26,2023-09-25 03:11:00+00:00,2023-09-25 06:59:00+00:00,97684.9031181508,3844.2250360457692,3.786327240205769
27,2023-10-09 05:12:00+00:00,2023-10-09 06:27:00+00:00,98051.34393238227,3477.784221814305,3.4254053836968312
28,2023-10-09 06:20:00+00:00,2023-10-09 07:00:00+00:00,98280.71756247997,3248.4105917166016,3.1994863452221347
29,2023-10-16 00:07:00+00:00,2023-10-16 00:30:00+00:00,98560.28704712672,2968.8411070698494,2.9241274509527404
30,2023-10-16 04:49:00+00:00,2023-10-16 06:10:00+00:00,98812.3806053967,2716.7475487998745,2.675830668686365
31,2023-10-16 06:56:00+00:00,2023-10-16 07:00:00+00:00,98590.20809744792,2938.920056748655,2.894657040967783
32,2023-10-20 01:15:00+00:00,2023-10-20 04:00:00+00:00,98836.98309823479,2692.1450559617806,2.651598713497378
33,2023-10-20 04:23:00+00:00,2023-10-20 07:00:00+00:00,98610.20874226389,2918.9194119326858,2.8749576254605476
34,2023-10-20 06:49:00+00:00,2023-10-20 07:00:00+00:00,98730.92480996091,2798.2033442356624,2.756059660027724
35,2023-10-23 02:09:00+00:00,2023-10-23 07:00:00+00:00,98203.2283483451,3325.89980585147,3.275808495863655
36,2023-10-23 03:00:00+00:00,2023-10-23 07:00:00+00:00,98000.37932141089,3528.7488327856845,3.4756024176888674
37,2023-12-11 00:29:00+00:00,2023-12-11 00:55:00+00:00,96899.39352771919,4629.7346264773805,4.560006286517114
38,2023-12-22 00:03:00+00:00,2023-12-22 00:07:00+00:00,97278.84987758967,4250.278276606899,4.186264921089268
39,2024-01-15 06:04:00+00:00,2024-01-15 06:28:00+00:00,97497.80259509693,4031.3255590996414,3.970609846050384
40,2024-01-19 04:28:00+00:00,2024-01-19 05:31:00+00:00,96402.42979051021,5126.698363686359,5.049485262889508
41,2024-01-19 05:11:00+00:00,2024-01-19 05:31:00+00:00,95307.0565008597,6222.071653336869,6.12836115748689
42,2024-01-19 05:21:00+00:00,2024-01-19 05:38:00+00:00,94211.68325132602,7317.444902870557,7.207237012571648
