trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-26 03:25:00+00:00,2023-06-26 03:56:00+00:00,100376.87615410677,0.0,0.0
2,2023-06-30 00:19:00+00:00,2023-06-30 00:47:00+00:00,100660.93369439838,0.0,0.0
3,2023-06-30 06:46:00+00:00,2023-06-30 07:00:00+00:00,101129.7467872383,0.0,0.0
4,2023-07-03 00:01:00+00:00,2023-07-03 00:19:00+00:00,101393.59657229073,0.0,0.0
5,2023-07-03 00:26:00+00:00,2023-07-03 00:47:00+00:00,102001.98535928958,0.0,0.0
6,2023-07-07 05:07:00+00:00,2023-07-07 05:59:00+00:00,100852.86476659751,1149.1205926920666,1.1265668885212667
7,2023-07-17 05:27:00+00:00,2023-07-17 06:37:00+00:00,99717.28764217405,2284.6977171155304,2.2398561254155602
8,2023-07-17 05:17:00+00:00,2023-07-17 06:44:00+00:00,98581.71020078428,3420.2751585053047,3.35314567305509
9,2023-07-24 01:14:00+00:00,2023-07-24 01:30:00+00:00,99337.89849156575,2664.0868677238323,2.6117990334598984
10,2023-07-24 04:33:00+00:00,2023-07-24 04:38:00+00:00,99729.33878230574,2272.6465769838396,2.2280415121124544
11,2023-08-07 00:12:00+00:00,2023-08-07 00:51:00+00:00,98605.91469985788,3396.0706594317016,3.3294162338796207
12,2023-08-07 04:10:00+00:00,2023-08-07 04:40:00+00:00,99136.04227549094,2865.943083798644,2.8096934326363434
13,2023-08-07 06:06:00+00:00,2023-08-07 06:11:00+00:00,99507.93275311546,2494.0526061741257,2.4451020216803907
14,2023-08-11 00:10:00+00:00,2023-08-11 00:26:00+00:00,99731.90275462126,2270.0826046683214,2.2255278626903503
15,2023-08-14 04:14:00+00:00,2023-08-14 06:02:00+00:00,98608.85624813836,3393.1291111512255,3.326532419147864
16,2023-08-18 06:13:00+00:00,2023-08-18 07:00:00+00:00,99076.46718194908,2925.5181773405056,2.868099250260398
17,2023-08-18 06:24:00+00:00,2023-08-18 07:00:00+00:00,99640.02869229903,2361.956666990547,2.3155987196433894
18,2023-08-21 06:25:00+00:00,2023-08-21 07:00:00+00:00,99735.99699492038,2265.988364369201,2.22151397974023
19,2023-08-21 06:43:00+00:00,2023-08-21 07:00:00+00:00,99954.10499948799,2047.8803598015948,2.0076867647116723
20,2023-08-21 06:56:00+00:00,2023-08-21 07:00:00+00:00,100215.49422043901,1786.4911388505716,1.751427810505721
21,2023-08-25 04:30:00+00:00,2023-08-25 05:28:00+00:00,100506.61257111361,1495.3727881759696,1.4660232179880626
22,2023-08-25 06:20:00+00:00,2023-08-25 06:27:00+00:00,100904.07460409577,1097.9107551938068,1.0763621426843308
23,2023-08-28 05:11:00+00:00,2023-08-28 05:31:00+00:00,99767.97332824893,2234.012031040649,2.1901652435211076
24,2023-09-08 06:12:00+00:00,2023-09-08 06:43:00+00:00,100064.75627566512,1937.2290836244647,1.8992072328796454
25,2023-09-08 06:02:00+00:00,2023-09-08 07:00:00+00:00,100395.83473927257,1606.1506200170115,1.5746268215854244
26,2023-09-18 01:04:00+00:00,2023-09-18 06:16:00+00:00,99265.05082309165,2736.934536197936,2.6832169261778747
27,2023-09-18 04:12:00+00:00,2023-09-18 06:16:00+00:00,98134.6421844023,3867.3431748872827,3.791439118822087
28,2023-09-25 03:11:00+00:00,2023-09-25 06:59:00+00:00,98526.57603481882,3475.409324470762,3.4071977248570757
29,2023-09-29 00:09:00+00:00,2023-09-29 02:10:00+00:00,98767.65805047675,3234.3273088128335,3.1708474079404523
30,2023-10-09 05:12:00+00:00,2023-10-09 06:27:00+00:00,99138.1608412979,2863.824517991685,2.807616447762474
31,2023-10-09 06:20:00+00:00,2023-10-09 07:00:00+00:00,99370.07674556469,2631.908613724896,2.5802523396523296
32,2023-10-16 00:07:00+00:00,2023-10-16 00:30:00+00:00,99652.74489287857,2349.240466411007,2.3031320989842436
33,2023-10-16 04:49:00+00:00,2023-10-16 06:10:00+00:00,99907.63272124619,2094.3526380433905,2.053246935014341
34,2023-10-16 06:56:00+00:00,2023-10-16 07:00:00+00:00,99682.9976699755,2318.9876893140754,2.273473090887127
35,2023-10-20 01:15:00+00:00,2023-10-20 04:00:00+00:00,99932.50791483538,2069.477444454198,2.02885996499452
36,2023-10-20 04:23:00+00:00,2023-10-20 07:00:00+00:00,99703.22023100055,2298.7651282890292,2.253647436559111
37,2023-10-20 06:49:00+00:00,2023-10-20 07:00:00+00:00,99825.27435547787,2176.71100381171,2.1339888592800524
38,2023-10-23 02:09:00+00:00,2023-10-23 07:00:00+00:00,99291.7291304608,2710.256228828788,2.6570622319577804
39,2023-10-23 03:00:00+00:00,2023-10-23 07:00:00+00:00,99086.63160512193,2915.3537541676487,2.858134323463087
40,2023-11-17 01:07:00+00:00,2023-11-17 02:48:00+00:00,97970.42622410972,4031.559135179865,3.952432024709312
41,2023-12-11 00:20:00+00:00,2023-12-11 00:30:00+00:00,96869.7783205647,5132.207038724882,5.031477593938302
42,2023-12-22 00:03:00+00:00,2023-12-22 00:07:00+00:00,97249.11896176677,4752.866397522812,4.659582243209696
