trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-26 03:25:00+00:00,2023-06-26 03:56:00+00:00,100420.48101745674,0.0,0.0
2,2023-06-30 00:19:00+00:00,2023-06-30 00:47:00+00:00,100799.38929666828,0.0,0.0
3,2023-06-30 06:46:00+00:00,2023-06-30 07:00:00+00:00,101425.33297817054,0.0,0.0
4,2023-07-03 00:01:00+00:00,2023-07-03 00:19:00+00:00,101778.1609909988,0.0,0.0
5,2023-07-03 00:26:00+00:00,2023-07-03 00:47:00+00:00,102592.42211544233,0.0,0.0
6,2023-07-07 05:07:00+00:00,2023-07-07 05:59:00+00:00,101051.39275101262,1541.0293644297053,1.5020888801081809
7,2023-07-17 05:27:00+00:00,2023-07-17 06:37:00+00:00,99751.26147843584,2841.1606370064837,2.7693669555919658
8,2023-07-17 05:17:00+00:00,2023-07-17 06:44:00+00:00,98451.0911400027,4141.330975439632,4.036683109771588
9,2023-07-24 01:14:00+00:00,2023-07-24 01:30:00+00:00,99317.86387565981,3274.55823978252,3.1918129743518646
10,2023-07-24 04:33:00+00:00,2023-07-24 04:38:00+00:00,99839.67882113584,2752.7432943064923,2.68318384296353
11,2023-08-07 00:12:00+00:00,2023-08-07 00:51:00+00:00,98340.12205617236,4252.300059269968,4.144848100462097
12,2023-08-11 00:10:00+00:00,2023-08-11 00:26:00+00:00,98635.24428236832,3957.1778330740053,3.8571833586511715
13,2023-08-14 04:14:00+00:00,2023-08-14 06:02:00+00:00,97213.82596077543,5378.596154666899,5.242683663920735
14,2023-08-18 06:13:00+00:00,2023-08-18 07:00:00+00:00,97828.48636059614,4763.935754846185,4.643555202825367
15,2023-08-18 06:24:00+00:00,2023-08-18 07:00:00+00:00,98569.27103831872,4023.1510771236062,3.9214895156647605
16,2023-08-21 06:25:00+00:00,2023-08-21 07:00:00+00:00,98695.85370074537,3896.568414696958,3.7981054880567457
17,2023-08-21 06:43:00+00:00,2023-08-21 07:00:00+00:00,98983.53942274836,3608.8826926939655,3.517689336384965
18,2023-08-25 04:30:00+00:00,2023-08-25 05:28:00+00:00,99366.92555904649,3225.4965563958394,3.143991037433879
19,2023-08-25 06:20:00+00:00,2023-08-25 06:27:00+00:00,99890.8656824255,2701.556433016827,2.633290429557161
20,2023-08-28 05:11:00+00:00,2023-08-28 05:31:00+00:00,98660.59275527929,3931.829360163043,3.832475419810972
21,2023-09-08 06:12:00+00:00,2023-09-08 06:43:00+00:00,99051.91086556306,3540.5112498792732,3.451045581022842
22,2023-09-08 06:02:00+00:00,2023-09-08 07:00:00+00:00,99488.44891417334,3103.973201268993,3.02553847278919
23,2023-09-18 01:04:00+00:00,2023-09-18 06:16:00+00:00,97994.36380270582,4598.05831273651,4.481869340761382
24,2023-09-18 04:12:00+00:00,2023-09-18 06:16:00+00:00,96724.42342860652,5867.99868683581,5.719719415760389
25,2023-09-25 03:11:00+00:00,2023-09-25 06:59:00+00:00,97239.49230927447,5352.929806167856,5.217665881934693
26,2023-09-29 00:09:00+00:00,2023-09-29 02:10:00+00:00,97556.7359350021,5035.686180440229,4.908438729298947
27,2023-10-09 05:12:00+00:00,2023-10-09 06:27:00+00:00,97959.03132598159,4633.39078946074,4.5163089962404905
28,2023-10-09 06:20:00+00:00,2023-10-09 07:00:00+00:00,98264.46138386887,4327.960731573461,4.218596892764082
29,2023-10-16 00:07:00+00:00,2023-10-16 00:30:00+00:00,98637.15897430378,3955.263141138552,3.855317049331269
30,2023-10-16 04:49:00+00:00,2023-10-16 06:10:00+00:00,98973.54584435269,3618.876271089641,3.527430385664833
31,2023-10-16 06:56:00+00:00,2023-10-16 07:00:00+00:00,98676.83235851345,3915.589756928879,3.816646177358844
32,2023-10-20 01:15:00+00:00,2023-10-20 04:00:00+00:00,99006.1547926248,3586.2673228175263,3.4956454374203894
33,2023-10-20 04:23:00+00:00,2023-10-20 07:00:00+00:00,98703.27156683066,3889.1505486116657,3.790875065056356
34,2023-10-20 06:49:00+00:00,2023-10-20 07:00:00+00:00,98864.50183301591,3727.920282426421,3.633718948785098
35,2023-10-23 02:09:00+00:00,2023-10-23 07:00:00+00:00,98293.92787997716,4298.494235465172,4.189874989624753
36,2023-10-23 03:00:00+00:00,2023-10-23 07:00:00+00:00,98074.64775469532,4517.774360747004,4.4036140950677325
37,2023-11-17 01:07:00+00:00,2023-11-17 02:48:00+00:00,96601.57345965765,5990.848655784677,5.839465071838798
38,2023-12-11 00:20:00+00:00,2023-12-11 00:30:00+00:00,95154.54568861517,7437.8764268271625,7.249927697834911
39,2023-12-22 00:03:00+00:00,2023-12-22 00:07:00+00:00,95651.37713798981,6941.044977452519,6.76565075112672
40,2024-01-15 00:18:00+00:00,2024-01-15 00:48:00+00:00,96229.80732279163,6362.6147926506965,6.201836998731887
41,2024-01-15 06:04:00+00:00,2024-01-15 06:28:00+00:00,96518.59581875458,6073.826296687752,5.920345939247995
42,2024-01-19 04:28:00+00:00,2024-01-19 05:31:00+00:00,95072.7678733709,7519.654242071425,7.3296390581459505
43,2024-01-19 05:11:00+00:00,2024-01-19 05:31:00+00:00,93626.93925816621,8965.482857276118,8.738932829939126
44,2024-01-22 00:03:00+00:00,2024-01-22 00:31:00+00:00,94020.86497471626,8571.557140726072,8.354961276848412
45,2024-01-22 00:13:00+00:00,2024-01-22 00:31:00+00:00,94509.86912700518,8082.55298843715,7.878313838172415
46,2024-01-26 04:24:00+00:00,2024-01-26 07:00:00+00:00,94168.9516664927,8423.470448949622,8.210616608184857
47,2024-02-02 01:07:00+00:00,2024-02-02 01:17:00+00:00,94451.3616467915,8141.06046865083,7.935342884769877
48,2024-02-09 03:15:00+00:00,2024-02-09 07:00:00+00:00,94469.11513261749,8123.306982824841,7.918038014234691
