trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2024-12-06 02:15:00+00:00,2024-12-06 05:14:00+00:00,100120.64160734773,0.0,0.0
2,2024-12-27 01:03:00+00:00,2024-12-27 01:12:00+00:00,100233.31294044756,0.0,0.0
3,2024-12-30 05:37:00+00:00,2024-12-30 06:11:00+00:00,99670.21404416456,563.0988962830015,0.5617881717803341
4,2024-12-30 06:08:00+00:00,2024-12-30 06:56:00+00:00,99783.01188000897,450.3010604385927,0.4492528952985259
5,2025-01-24 06:42:00+00:00,2025-01-24 06:44:00+00:00,100989.2890195947,0.0,0.0
6,2025-01-31 01:32:00+00:00,2025-01-31 01:50:00+00:00,101195.22550859046,0.0,0.0
7,2025-02-14 06:41:00+00:00,2025-02-14 07:00:00+00:00,101258.5357971031,0.0,0.0
8,2025-02-24 03:59:00+00:00,2025-02-24 04:39:00+00:00,101481.45620087415,0.0,0.0
9,2025-03-07 06:03:00+00:00,2025-03-07 06:25:00+00:00,101702.67455230888,0.0,0.0
10,2025-03-10 05:30:00+00:00,2025-03-10 05:51:00+00:00,101817.12873646781,0.0,0.0
11,2025-03-17 00:32:00+00:00,2025-03-17 00:57:00+00:00,101934.9522695814,0.0,0.0
12,2025-03-17 03:48:00+00:00,2025-03-17 04:09:00+00:00,101362.33968998288,572.6125795985135,0.5617431183801985
13,2025-03-17 04:07:00+00:00,2025-03-17 04:40:00+00:00,101553.53174921872,381.42052036267705,0.37418030996272655
14,2025-04-07 06:51:00+00:00,2025-04-07 07:00:00+00:00,101886.51142692125,48.44084266014397,0.04752132765220247
15,2025-04-14 06:36:00+00:00,2025-04-14 06:59:00+00:00,102220.57794265597,0.0,0.0
16,2025-04-28 00:24:00+00:00,2025-04-28 00:30:00+00:00,102352.92982896056,0.0,0.0
17,2025-04-28 00:07:00+00:00,2025-04-28 01:02:00+00:00,101777.13823677566,575.7915921849053,0.562555066227314
18,2025-04-28 02:09:00+00:00,2025-04-28 02:39:00+00:00,101987.56317155364,365.36665740692115,0.3569674634790389
19,2025-04-28 04:49:00+00:00,2025-04-28 05:25:00+00:00,102178.72292681794,174.20690214262868,0.17020216464124818
20,2025-05-12 05:19:00+00:00,2025-05-12 06:14:00+00:00,102379.98543359262,0.0,0.0
21,2025-05-16 05:17:00+00:00,2025-05-16 05:29:00+00:00,102612.07521412785,0.0,0.0
22,2025-05-19 06:08:00+00:00,2025-05-19 06:31:00+00:00,102034.40559000155,577.669624126298,0.562964566227546
23,2025-05-19 06:18:00+00:00,2025-05-19 06:32:00+00:00,101456.73563870463,1155.3395754232188,1.125929451297316
24,2025-05-30 04:09:00+00:00,2025-05-30 05:20:00+00:00,101608.7059301139,1003.3692840139556,0.9778276893047472
25,2025-06-02 00:03:00+00:00,2025-06-02 00:12:00+00:00,101036.68005891127,1575.3951552165818,1.535292169005542
26,2025-06-02 05:28:00+00:00,2025-06-02 05:46:00+00:00,100467.87412258706,2144.201091540788,2.089618679932486
27,2025-06-02 06:19:00+00:00,2025-06-02 06:35:00+00:00,99902.26912965039,2709.806084477459,2.6408257301323608
28,2025-06-06 00:43:00+00:00,2025-06-06 02:22:00+00:00,99341.10147565762,3270.973738470231,3.1877083975199407
29,2025-06-09 04:52:00+00:00,2025-06-09 05:30:00+00:00,99598.55358851443,3013.5216256134154,2.9368099410570223
30,2025-06-16 05:25:00+00:00,2025-06-16 06:42:00+00:00,99762.19604838884,2849.87916573901,2.777333135298128
31,2025-06-23 01:36:00+00:00,2025-06-23 01:56:00+00:00,99921.63848657999,2690.436727547858,2.621949436197966
32,2025-06-23 04:28:00+00:00,2025-06-23 05:05:00+00:00,99360.03802120194,3252.0371929259127,3.1692538973991677
33,2025-06-23 05:38:00+00:00,2025-06-23 06:09:00+00:00,99641.78706679888,2970.2881473289744,2.8946770067077043
