trade_number,time,equity,drawdown_usd,drawdown_pct
1,2025-06-27 00:53:00+00:00,100216.9400910187,0.0,0.0
2,2025-06-30 00:32:00+00:00,100002.55854719492,214.3815438237798,0.2139174710673414
3,2025-06-30 00:39:00+00:00,99490.11623085957,726.8238601591293,0.7252505010620118
4,2025-06-30 00:51:00+00:00,98876.0348371987,1340.9052538199903,1.3380025897838808
5,2025-07-01 00:25:00+00:00,98923.49134168804,1293.4487493306515,1.2906488146174886
6,2025-07-01 00:25:00+00:00,98637.69806542982,1579.242025588872,1.5758234327994627
7,2025-07-01 00:47:00+00:00,98598.24030287267,1618.6997881460265,1.6151957809487063
8,2025-07-02 00:16:00+00:00,98519.37274370124,1697.5673473174538,1.6938926151364178
9,2025-07-03 05:56:00+00:00,98665.21870986222,1551.7213811564725,1.5483623624381
10,2025-07-04 00:03:00+00:00,98005.99559493938,2210.944496079319,2.2061584539213652
11,2025-07-07 00:19:00+00:00,97735.79835095115,2481.141740067542,2.475770800639221
12,2025-07-07 00:39:00+00:00,97314.33361255599,2902.6064784627088,2.8963231922931527
13,2025-07-09 00:06:00+00:00,97368.83481796597,2848.10527305273,2.841939965904001
14,2025-07-09 00:27:00+00:00,97123.57061846832,3093.3694725503738,3.086673240812306
15,2025-07-10 00:22:00+00:00,96820.38336255864,3396.5567284600547,3.389204185814539
16,2025-07-10 00:38:00+00:00,96657.67851626012,3559.2615747585805,3.5515568241516853
17,2025-07-10 00:51:00+00:00,96386.9074125866,3830.0326784320932,3.8217417883180165
18,2025-07-11 00:08:00+00:00,96182.69787672593,4034.242214292768,4.025509270816692
19,2025-07-11 00:19:00+00:00,95959.64259828375,4257.297492734942,4.248081700427486
20,2025-07-11 00:47:00+00:00,95744.77548470278,4472.164606315913,4.462483690136835
21,2025-07-14 00:23:00+00:00,95200.81682556079,5016.123265457907,5.005264839359674
22,2025-07-14 00:23:00+00:00,94346.36198814503,5870.578102873667,5.857870034289523
23,2025-07-14 00:42:00+00:00,93992.72634167172,6224.213749346978,6.2107401639823
24,2025-07-15 00:45:00+00:00,93831.01192722065,6385.928163798046,6.37210451446456
25,2025-07-16 00:39:00+00:00,93197.42514390746,7019.514947111238,7.004319769428199
26,2025-07-17 00:07:00+00:00,92679.73379688368,7537.206294135016,7.520890467509385
27,2025-07-22 00:37:00+00:00,92739.24368933386,7477.696401684836,7.461509396408898
28,2025-07-23 00:58:00+00:00,92412.60528909322,7804.334801925477,7.7874407209374485
29,2025-07-25 00:46:00+00:00,92597.49301659438,7619.447074424315,7.602953220787032
30,2025-07-25 00:46:00+00:00,92527.26860752003,7689.671483498663,7.6730256147461455
31,2025-07-30 00:19:00+00:00,92290.29674216722,7926.643348851474,7.909484505965124
32,2025-07-30 00:48:00+00:00,91976.33027208703,8240.609818931669,8.22277133132124
33,2025-07-30 00:54:00+00:00,91707.62714887918,8509.312942139513,8.49089279158914
34,2025-08-01 00:15:00+00:00,91747.98141333935,8468.958677679344,8.450625882198851
35,2025-08-04 00:33:00+00:00,91483.8182011144,8733.121889904301,8.71421725905095
36,2025-08-04 00:43:00+00:00,91104.41954797953,9112.520543039165,9.092794626101158
37,2025-08-04 00:52:00+00:00,90562.68939731075,9654.250693707945,9.633352090913766
38,2025-08-05 00:12:00+00:00,90305.36702951754,9911.573061501156,9.890117431742878
39,2025-08-07 00:43:00+00:00,90106.79162609331,10110.148464925383,10.088262978038621
40,2025-08-08 00:27:00+00:00,89872.61756234008,10344.322528678618,10.32193012407257
41,2025-08-11 02:00:00+00:00,89692.81166803109,10524.128422987604,10.501346791699502
42,2025-08-11 06:00:00+00:00,89828.39569623244,10388.544394786251,10.366056262894478
43,2025-08-11 06:00:00+00:00,90099.56375263535,10117.376338383343,10.09547520528423
44,2025-08-12 00:32:00+00:00,89936.0576053429,10280.8824856758,10.258627410035201
45,2025-08-12 00:47:00+00:00,89612.48461706944,10604.45547394926,10.581499958308562
46,2025-08-12 00:54:00+00:00,89179.96975384332,11036.970337175371,11.013078554535202
47,2025-08-14 00:43:00+00:00,88840.86691971924,11376.07317129946,11.351447331127373
48,2025-08-14 00:54:00+00:00,88531.51783081876,11685.422260199935,11.660126770570963
49,2025-08-18 00:03:00+00:00,87988.58545304633,12228.35463797237,12.201883860020446
50,2025-08-18 00:40:00+00:00,88049.65084050612,12167.289250512578,12.140950661097857
51,2025-08-19 00:04:00+00:00,87929.93101571695,12287.009075301743,12.26041132780793
52,2025-08-19 05:56:00+00:00,87955.38624798377,12261.553843034926,12.235011198604525
53,2025-08-19 06:00:00+00:00,88033.38290298123,12183.557188037463,12.157183383340335
54,2025-08-22 00:16:00+00:00,88107.3414062128,12109.598684805896,12.08338497843554
55,2025-08-22 00:55:00+00:00,87969.9300832469,12247.010007771794,12.220498846451363
56,2025-08-25 00:19:00+00:00,87427.38800232667,12789.552088692028,12.761866483926113
57,2025-08-25 00:28:00+00:00,86884.89742810032,13332.042662918378,13.303182726203769
58,2025-08-25 00:58:00+00:00,87095.18810408293,13121.751986935764,13.093347267456352
59,2025-08-26 00:03:00+00:00,87962.96137570661,12253.978715312085,12.22745246879701
60,2025-08-26 00:14:00+00:00,87081.838753424,13135.101337594693,13.106667720711862
61,2025-08-26 00:22:00+00:00,86855.32604993376,13361.614041084933,13.332690091066132
62,2025-08-27 04:49:00+00:00,86457.36584339703,13759.57424762167,13.729788831234515
63,2025-08-27 05:03:00+00:00,86235.11276849089,13981.82732252781,13.951560793843118
64,2025-08-28 00:41:00+00:00,85789.26593490978,14427.674156108915,14.396442500644563
65,2025-09-01 00:41:00+00:00,85510.7957549907,14706.144336027995,14.674309874829175
66,2025-09-01 00:41:00+00:00,85259.49339750287,14957.446693515827,14.925068236898099
67,2025-09-01 02:00:00+00:00,85074.56072869954,15142.37936231916,15.109600581066033
68,2025-09-01 06:00:00+00:00,85238.9627203138,14977.977370704903,14.945554471231764
69,2025-09-02 00:44:00+00:00,85099.7530243969,15117.187066621802,15.084462819252034
70,2025-09-02 01:00:00+00:00,84939.8166824798,15277.1234085389,15.244052946202471
71,2025-09-05 00:31:00+00:00,84829.70364599307,15387.236445025628,15.353927620470834
72,2025-09-08 00:12:00+00:00,84358.40569142604,15858.534399592652,15.824205354094495
73,2025-09-08 00:38:00+00:00,84344.93314174576,15872.006949272938,15.83764873968185
74,2025-09-15 00:11:00+00:00,84183.12372274297,16033.81636827573,15.999107889059024
75,2025-09-15 00:35:00+00:00,84138.5175522458,16078.422538772895,16.043617500364913
76,2025-09-15 02:00:00+00:00,84030.10104312174,16186.839047896952,16.151799319751525
77,2025-09-15 06:00:00+00:00,83836.30637817239,16380.633712846306,16.34517447645991
78,2025-09-16 01:20:00+00:00,83733.05357684554,16483.88651417315,16.448203765952353
79,2025-09-17 00:42:00+00:00,84127.95503166418,16088.985059354512,16.054157156207552
80,2025-09-17 00:42:00+00:00,84492.7592185366,15724.180872482102,15.69014266270866
81,2025-09-18 00:19:00+00:00,84195.52325950663,16021.416831512062,15.986735193632079
82,2025-09-18 05:12:00+00:00,84572.11435559377,15644.825735424922,15.610959306097383
83,2025-09-18 05:38:00+00:00,84901.31098729771,15315.629103720988,15.282475287921462
84,2025-09-19 00:54:00+00:00,84942.06687429959,15274.873216719105,15.241807625383702
85,2025-09-19 06:00:00+00:00,84786.57266067786,15430.367430340833,15.3969652399352
86,2025-09-22 00:41:00+00:00,84307.4709426594,15909.46914835929,15.87502984416611
87,2025-09-22 00:42:00+00:00,83767.65259153447,16449.287499484228,16.41367964791652
88,2025-09-22 06:00:00+00:00,83485.87055071811,16731.06954030058,16.69485171379723
89,2025-09-22 06:00:00+00:00,83214.6987578356,17002.24133318309,16.96543649979871
90,2025-09-23 01:41:00+00:00,83014.90251322066,17202.037577798037,17.16480024452439
91,2025-09-23 01:41:00+00:00,82908.36467487017,17308.575416148524,17.271107459905068
92,2025-09-23 02:00:00+00:00,82816.23222229563,17400.707868723068,17.363040472917508
93,2025-09-24 00:50:00+00:00,82624.17397499144,17592.766116027255,17.55468297081233
94,2025-09-24 01:20:00+00:00,82555.8817309991,17661.058360019597,17.62282738225646
95,2025-09-25 00:18:00+00:00,81879.65077415499,18337.28931686371,18.29759449870399
96,2025-09-26 01:06:00+00:00,82443.62883870548,17773.311252313215,17.734837280175583
97,2025-09-29 00:43:00+00:00,81907.39268030123,18309.547410717467,18.269912645595078
98,2025-09-29 00:53:00+00:00,81371.05586077849,18845.884230240204,18.80508845423145
99,2025-10-01 00:30:00+00:00,81255.86558348796,18961.074507530735,18.92002937857609
100,2025-10-01 02:00:00+00:00,81255.8655834879,18961.074507530793,18.920029378576146
101,2025-10-01 02:00:00+00:00,81247.4309607214,18969.5091302973,18.928445742874285
102,2025-10-03 00:21:00+00:00,80987.58051220253,19229.359578816162,19.18773369188057
103,2025-10-03 00:55:00+00:00,81019.97772134059,19196.962369678105,19.155406613136567
104,2025-10-06 00:02:00+00:00,80210.43867888968,20006.501412129015,19.963193242538413
105,2025-10-06 00:12:00+00:00,79409.07997219586,20807.860118822835,20.762817244195233
106,2025-10-06 00:31:00+00:00,78874.93473810663,21342.005352912063,21.295806211533595
107,2025-10-07 00:33:00+00:00,78619.51776484355,21597.422326175147,21.550670282449264
108,2025-10-07 01:00:00+00:00,78735.90321223778,21481.036878780913,21.434536775191376
109,2025-10-07 01:00:00+00:00,78707.60190872174,21509.338182296953,21.462776814739918
110,2025-10-08 00:30:00+00:00,78487.32208883563,21729.618002183066,21.6825797938431
111,2025-10-08 00:50:00+00:00,78443.37328736452,21773.566803654176,21.726433459132817
112,2025-10-08 00:54:00+00:00,78245.77795841408,21971.162132604615,21.923601052526685
113,2025-10-10 02:00:00+00:00,77964.51325983455,22252.426831184144,22.204256896063796
114,2025-10-14 00:29:00+00:00,77727.61952622148,22489.32056479722,22.440637824675193
115,2025-10-14 00:29:00+00:00,77553.04327369804,22663.896817320652,22.61483617114724
116,2025-10-14 01:17:00+00:00,77863.4586556893,22353.48143532939,22.30509274682263
117,2025-10-14 04:48:00+00:00,77748.19279856147,22468.74729245722,22.42010908739653
118,2025-10-14 04:48:00+00:00,77592.41462713588,22624.52546388282,22.57555004506708
119,2025-10-15 00:52:00+00:00,77421.64952535754,22795.290565661155,22.74594549081033
120,2025-10-16 00:46:00+00:00,77328.72512111739,22888.21496990131,22.838668741146808
121,2025-10-16 00:54:00+00:00,77143.06242091277,23073.877670105925,23.023929536413547
122,2025-10-17 00:12:00+00:00,77164.66142593422,23052.27866508448,23.002377286861897
123,2025-10-17 02:00:00+00:00,77117.2489457298,23099.69114528889,23.04968713304294
124,2025-10-17 05:26:00+00:00,77144.74716848253,23072.192922536167,23.022248435824938
125,2025-10-21 00:20:00+00:00,77073.76329858578,23143.176792432918,23.09307864659797
126,2025-10-22 00:14:00+00:00,76399.28109408834,23817.65899693036,23.76610079623142
127,2025-10-22 00:35:00+00:00,76209.73363304,24007.206457978697,23.955237942981448
128,2025-10-23 00:50:00+00:00,76158.21700053166,24058.723090487038,24.00664305718824
129,2025-10-23 00:50:00+00:00,76125.18031967606,24091.759771342637,24.039608223382295
130,2025-10-23 01:01:00+00:00,76036.89207429592,24180.04801672278,24.127705350774086
131,2025-10-24 01:03:00+00:00,75861.3664575044,24355.5736335143,24.302851006420834
132,2025-10-24 01:22:00+00:00,75646.02074794956,24570.919343069138,24.51773055608505
133,2025-10-24 01:58:00+00:00,75515.91440254268,24701.025688476017,24.647555259661825
134,2025-10-24 05:06:00+00:00,75364.51511385365,24852.42497716505,24.798626813584274
135,2025-10-24 05:25:00+00:00,75314.78528360439,24902.154807414307,24.848248993431405
136,2025-10-27 00:44:00+00:00,75146.07941971348,25070.860671305214,25.016589658929362
137,2025-10-27 00:54:00+00:00,75069.92877868775,25147.011312330942,25.092575456297116
138,2025-10-28 00:12:00+00:00,74793.50491835794,25423.435172660757,25.368400940570297
139,2025-10-28 00:48:00+00:00,74536.07038853312,25680.86970248558,25.625278200633332
