trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
1,2024-10-23 00:10:00+00:00,2024-10-23 00:22:00+00:00,short,mean_reversion,morning_active,151.22799999999998,151.30800000000002,151.47799999999998,150.95166666666668,141.23799999999997,trailing_stop,-8.000000000004093,-319.8308086817931,604912,12.0,100000.0,99680.1691913182,0.0,8.500000000003638,2024-10-23,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,150.95166666666668,151.1781926666667,151.3181406666667,150.72514066666668,150.58519266666667,151.21122700123396,151.10145000000003,150.9916729987661,83.65019011407361,0.04292857142857948,28.137627373202218,151.21581818181812,UNCLASSIFIED,,,,,,
2,2024-10-23 00:35:00+00:00,2024-10-23 00:44:00+00:00,short,mean_reversion,morning_active,151.254,151.312,151.504,150.95166666666668,141.26399999999998,trailing_stop,-5.800000000002115,-231.16897536224988,603080,9.0,99680.1691913182,99449.00021595595,1.1999999999972033,6.0000000000030695,2024-10-23,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,150.95166666666668,151.1781926666667,151.3181406666667,150.72514066666668,150.58519266666667,151.34244564252887,151.16115000000002,150.97985435747117,73.90109890109952,0.055500000000007176,38.62088271598446,151.26622222222218,UNCLASSIFIED,,,,,,
3,2024-10-23 00:55:00+00:00,2024-10-23 00:58:00+00:00,short,mean_reversion,morning_active,151.393,151.453,151.6246666666667,151.29151785714285,141.403,trailing_stop,-6.000000000000227,-257.46363558332604,649894,3.0,99449.00021595595,99191.53658037263,1.4999999999986358,9.499999999999886,2024-10-23,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,150.95166666666668,151.1781926666667,151.3181406666667,150.72514066666668,150.58519266666667,151.42601030292232,151.2149,151.00378969707768,77.79960707269228,0.06164285714286726,44.254563896264834,151.29151785714285,UNCLASSIFIED,,,,,,
4,2024-10-28 00:50:00+00:00,2024-10-28 00:53:00+00:00,short,mean_reversion,morning_active,153.202,153.26000000000002,153.452,153.1299019607843,143.212,trailing_stop,-5.800000000002115,-230.03702205410968,607853,3.0,99191.53658037263,98961.49955831852,2.7999999999991587,8.00000000000125,2024-10-28,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,152.976,153.154776,153.265224,152.797224,152.686776,153.34963103017537,153.02755,152.7054689698246,67.98866855523988,0.25571428571428456,40.39812237011124,153.1299019607843,UNCLASSIFIED,,,,,,
5,2024-10-29 00:10:00+00:00,2024-10-29 00:32:00+00:00,long,mean_reversion,morning_active,153.098,153.178,152.848,153.18333333333337,163.08800000000002,trailing_stop,8.319999823992196,329.16463861096696,606032,22.0,98961.49955831852,99290.66419692949,14.199999999996749,4.000000000002046,2024-10-29,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,153.18333333333337,153.74563733333338,154.09302933333336,152.62102933333335,152.27363733333337,153.42033714212917,153.2577,153.09506285787083,20.765027322403398,0.062285714285717324,22.345317530613638,153.061,UNCLASSIFIED,,,,,,
6,2024-10-31 00:10:00+00:00,2024-10-31 00:26:00+00:00,long,mean_reversion,morning_active,153.226,153.176,152.976,153.20566666666667,163.216,trailing_stop,-3.2200029249568107,-127.9187558665195,608556,16.0,99290.66419692949,99162.74544106297,2.6999999999986812,5.000000000001137,2024-10-31,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,153.20566666666667,153.47956066666666,153.64877266666667,152.9317726666667,152.76256066666667,153.34223953898578,153.27055000000001,153.19886046101425,31.081081081080313,0.06242857142857312,25.771139116345605,153.18936363636365,UNCLASSIFIED,,,,,,
7,2024-11-04 00:30:00+00:00,2024-11-04 00:45:00+00:00,long,mean_reversion,morning_active,152.11800000000002,152.099,151.86800000000002,152.62699999999998,162.10800000000003,trailing_stop,-1.9000000000033876,-75.37303335341088,603377,15.0,99162.74544106297,99087.37240770957,5.999999999997385,2.400000000002933,2024-11-04,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,152.62699999999998,153.12665599999997,153.435344,152.127344,151.81865599999998,152.5201497327006,152.291,152.0618502672994,30.729166666666472,0.1656428571428543,48.843955146780054,152.1633870967742,UNCLASSIFIED,,,,,,
8,2024-11-04 00:40:00+00:00,2024-11-04 00:45:00+00:00,long,mean_reversion,morning_active,152.162,152.099,151.912,152.62699999999998,162.15200000000002,trailing_stop,-6.30000000000166,-249.9935962761755,603552,5.0,99087.37240770957,98837.37881143339,1.5999999999991132,6.400000000002137,2024-11-04,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,152.62699999999998,153.12665599999997,153.435344,152.127344,151.81865599999998,152.49460162829766,152.2643,152.03399837170232,36.51452282157642,0.1656428571428543,48.843955146780054,152.1559756097561,UNCLASSIFIED,,,,,,
9,2024-11-05 00:00:00+00:00,2024-11-05 00:02:00+00:00,short,mean_reversion,morning_active,152.17,152.228,152.42,152.08166666666668,142.17999999999998,trailing_stop,-5.800000000002115,-229.2152166487947,601603,2.0,98837.37881143339,98608.1635947846,0.4999999999967031,7.400000000001228,2024-11-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,152.08166666666668,152.47932866666667,152.72500466666668,151.68400466666668,151.43832866666668,152.25940103645564,152.16895,152.07849896354435,61.34453781512514,0.044357142857143525,37.787971065581125,152.178,UNCLASSIFIED,,,,,,
10,2024-11-05 00:50:00+00:00,2024-11-05 00:54:00+00:00,short,mean_reversion,morning_active,152.35399999999998,152.39800000000002,152.60399999999998,152.23300000000003,142.36399999999998,trailing_stop,-4.400000000003956,-173.49999343839008,600933,4.0,98608.1635947846,98434.6636013462,3.5999999999972943,5.400000000003047,2024-11-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,152.08166666666668,152.47932866666667,152.72500466666668,151.68400466666668,151.43832866666668,152.37305669188322,152.2253,152.0775433081168,63.82488479262642,0.0664999999999988,31.002329337136477,152.23300000000003,UNCLASSIFIED,,,,,,
