session_day,trades,wins,wr,net_usd,net_pips,pf,mr_trades,bo_trades,news_trades,weekday,month
2023-06-21,1,0,0.0,-367.2627623811404,-5.200000000002092,0.0,1,0,0,Wednesday,June
2023-06-22,1,0,0.0,-227.07113253833808,-5.700000000001637,0.0,1,0,0,Thursday,June
2023-06-26,3,1,33.33333333333333,-614.1965900866694,-8.80000000000507,0.34315555238751927,3,0,0,Monday,June
2023-06-28,2,0,0.0,-11.399316457943243,-0.4000000000047521,0.0,0,2,0,Wednesday,June
2023-06-30,3,1,33.33333333333333,-160.59891718001123,-6.6000000000059345,0.48324560619941714,2,1,0,Friday,June
2023-07-03,1,1,100.0,499.7105386079555,8.51999999999805,inf,1,0,0,Monday,July
2023-07-04,2,0,0.0,-472.3305215060311,-12.920002232611582,0.0,1,1,0,Tuesday,July
2023-07-05,4,1,25.0,-116.31897636752434,-2.5800043486778383,0.6156650640210395,4,0,0,Wednesday,July
2023-07-06,1,1,100.0,226.8961796450237,5.759993216417022,inf,1,0,0,Thursday,July
2023-07-10,3,0,0.0,-975.6874137439618,-13.900000000006685,0.0,3,0,0,Monday,July
2023-07-11,1,0,0.0,-837.0174926862957,-21.49990887278872,0.0,1,0,0,Tuesday,July
2023-07-12,2,1,50.0,-209.71710616712247,-5.400000000003047,0.22779108507323223,2,0,0,Wednesday,July
2023-07-13,2,0,0.0,-529.6452995183668,-13.700000000002888,0.0,2,0,0,Thursday,July
2023-07-14,1,0,0.0,-73.6133167907573,-1.9000000000005457,0.0,1,0,0,Friday,July
2023-07-17,3,0,0.0,-1646.2298663032284,-24.900000000005207,0.0,3,0,0,Monday,July
2023-07-18,1,0,0.0,-388.99163378754304,-10.300000000003706,0.0,1,0,0,Tuesday,July
2023-07-19,1,0,0.0,-45.16236512742849,-1.2000000000028876,0.0,1,0,0,Wednesday,July
2023-07-24,2,1,50.0,-118.5551566936042,-3.10000000000457,0.719081096820239,2,0,0,Monday,July
2023-07-26,2,0,0.0,-986.7294206177412,-26.359995937293633,0.0,2,0,0,Wednesday,July
2023-07-28,1,0,0.0,-435.35397522115534,-11.700000000001864,0.0,1,0,0,Friday,July
2023-07-31,1,0,0.0,-568.4482783123659,-8.00000000000125,0.0,1,0,0,Monday,July
2023-08-03,2,0,0.0,-494.6593366267667,-12.800000000004275,0.0,2,0,0,Thursday,August
2023-08-04,1,0,0.0,-62.176896848768166,-1.700000000002433,0.0,1,0,0,Friday,August
2023-08-07,2,0,0.0,-998.5782418799141,-14.600000000007185,0.0,2,0,0,Monday,August
2023-08-08,2,0,0.0,-490.8257896646926,-13.600000000005252,0.0,2,0,0,Tuesday,August
2023-08-09,1,1,100.0,27.024620341789273,0.7599999999973762,inf,1,0,0,Wednesday,August
2023-08-10,3,0,0.0,-544.0207522678813,-14.800000000002456,0.0,3,0,0,Thursday,August
2023-08-11,2,2,100.0,236.04260681505505,6.599999999994566,inf,2,0,0,Friday,August
2023-08-14,3,1,33.33333333333333,-193.9417117410983,-2.800000000004843,0.6574935629328971,3,0,0,Monday,August
