trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
1,2025-05-14 00:00:00+00:00,2025-05-14 00:02:00+00:00,short,mean_reversion,morning_active,147.498,147.602,147.748,147.71433333333331,137.50799999999998,trailing_stop,-17.139996192038748,-684.7222145806583,589992,2.0,100000.0,99315.27778541934,1.4999999999986358,10.400000000001342,2025-05-14,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.71433333333331,148.05966133333334,148.27300533333332,147.3690053333333,147.1556613333333,147.520357849478,147.43245,147.344542150522,64.44444444444463,0.07450000000000248,52.082283189823606,147.506,UNCLASSIFIED,,,,,,
2,2025-05-16 00:10:00+00:00,2025-05-16 00:14:00+00:00,long,mean_reversion,morning_active,145.40200000000002,145.29299999999998,145.15200000000002,145.92533333333333,155.39200000000002,trailing_stop,-10.900000000003729,-433.33901151481183,577625,4.0,99315.27778541934,98881.93877390453,0.5999999999971806,11.600000000001387,2025-05-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.92533333333333,146.43797733333332,146.75468933333335,145.41268933333333,145.0959773333333,145.684802948381,145.522,145.359197051619,47.732997481108335,0.08699999999999923,18.37682244153104,145.4041818181818,UNCLASSIFIED,,,,,,
3,2025-05-16 00:45:00+00:00,2025-05-16 00:49:00+00:00,long,mean_reversion,morning_active,145.14600000000002,145.009,144.89600000000002,145.30058695652176,155.13600000000002,trailing_stop,-13.700000000002888,-542.3842933888006,574092,4.0,98881.93877390453,98339.55448051574,0.0,14.900000000002933,2025-05-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.92533333333333,146.43797733333332,146.75468933333335,145.41268933333333,145.0959773333333,145.74406669269894,145.42925,145.11443330730106,30.25540275049238,0.12149999999999953,26.539796095541934,145.30058695652176,UNCLASSIFIED,,,,,,
4,2025-05-19 00:45:00+00:00,2025-05-19 00:46:00+00:00,long,mean_reversion,morning_active,145.12,145.09799999999998,145.04,145.1964347826087,155.11,trailing_stop,-2.200000000001978,-151.6216626005857,1000000,1.0,98339.55448051574,98187.93281791515,3.7999999999982492,3.0000000000001137,2025-05-19,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.42666666666668,145.48549466666668,145.52183866666667,145.36783866666667,145.33149466666669,145.3792138988041,145.22065,145.06208610119592,39.03225806451908,0.1516428571428585,41.350988074791005,145.1964347826087,UNCLASSIFIED,,,,,,
5,2025-05-20 00:30:00+00:00,2025-05-20 00:32:00+00:00,short,mean_reversion,morning_active,145.36999999999998,145.435,145.59162133333334,145.24519354838708,135.37999999999997,trailing_stop,-6.500000000002615,-287.8494172655609,644052,2.0,98187.93281791515,97900.08340064959,0.0,6.70000000000357,2025-05-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,145.38299289870807,145.04415,144.70530710129194,85.94674556213009,0.09307142857142432,38.22049122062125,145.24519354838708,UNCLASSIFIED,,,,,,
6,2025-05-20 00:45:00+00:00,2025-05-20 00:52:00+00:00,short,mean_reversion,morning_active,145.32,145.36,145.57,145.00733333333332,135.32999999999998,trailing_stop,-4.000000000002046,-156.59686296100472,569073,7.0,97900.08340064959,97743.48653768859,4.4999999999987494,6.400000000002137,2025-05-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,145.5029276981506,145.1074,144.71187230184944,79.10447761194195,0.09807142857142585,38.31864921453744,145.29004347826086,UNCLASSIFIED,,,,,,
7,2025-05-20 00:55:00+00:00,2025-05-20 01:00:00+00:00,short,mean_reversion,morning_active,145.254,145.28,145.504,145.00733333333332,135.26399999999998,trailing_stop,-2.600000000001046,-101.63498072691314,567905,5.0,97743.48653768859,97641.85155696167,7.599999999999341,5.400000000003047,2025-05-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,145.5327749354365,145.14075,144.7487250645635,72.36467236467283,0.09807142857142585,38.31864921453744,145.2924642857143,UNCLASSIFIED,,,,,,
8,2025-05-21 00:10:00+00:00,2025-05-21 00:18:00+00:00,long,mean_reversion,morning_active,144.28400000000002,144.22,144.03400000000002,144.69933333333333,154.27400000000003,trailing_stop,-6.400000000002137,-250.07394258779675,563526,8.0,97641.85155696167,97391.77761437387,2.9999999999972715,7.900000000003615,2025-05-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.69933333333333,145.24253733333333,145.57812933333332,144.15612933333333,143.82053733333333,144.48141515054246,144.3692,144.25698484945755,35.74468085106699,0.10835714285713648,36.38370952265929,144.2558181818182,UNCLASSIFIED,,,,,,
9,2025-05-21 00:25:00+00:00,2025-05-21 00:35:00+00:00,long,mean_reversion,morning_active,144.211,144.16299999999998,143.961,144.69933333333333,154.20100000000002,trailing_stop,-4.800000000003024,-187.05426496408228,561798,10.0,97391.77761437387,97204.72334940979,2.0999999999986585,6.600000000003092,2025-05-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.69933333333333,145.24253733333333,145.57812933333332,144.15612933333333,143.82053733333333,144.4963395268176,144.3425,144.1886604731824,34.59244532803214,0.11185714285713898,35.9454972072267,144.23623076923076,UNCLASSIFIED,,,,,,
10,2025-05-21 00:35:00+00:00,2025-05-21 00:44:00+00:00,long,mean_reversion,morning_active,144.19400000000002,144.2,143.94400000000002,144.69933333333333,154.18400000000003,trailing_stop,0.5999999999971806,23.32814147007069,560653,9.0,97204.72334940979,97228.05149087987,8.199999999996521,3.1000000000034333,2025-05-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.69933333333333,145.24253733333333,145.57812933333332,144.15612933333333,143.82053733333333,144.4911848775252,144.31885,144.1465151224748,29.446640316205702,0.11771428571428137,36.15348488088088,144.22405555555554,UNCLASSIFIED,,,,,,
