trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,adx_m15,combo,sl_pips,R,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,ema20_m5,roc10_m5
1,strat_a_meanrev,2023-06-21 16:37:00+00:00,2023-06-21 22:00:00+00:00,long,strat_a_window,141.93,141.857,141.65,141.99,151.92000000000002,session_close,-7.30000000000075,-195.6360066828063,380169,323.0,100000.0,99804.3639933172,3.099999999997749,25.600000000002865,2023-06-21,strat_a_meanrev,0.0075,141.40966666666668,141.46582066666667,141.3535126666667,142.1289064759849,141.9188935240151,37.33681462140915,33.22092944008972,BCD,28.000000000000114,-0.26071428571431143,,,,,,,
2,strat_a_meanrev,2023-06-21 16:53:00+00:00,2023-06-21 22:00:00+00:00,long,strat_a_window,141.931,141.857,141.651,141.991,151.92100000000002,session_close,-7.400000000001228,-198.31751693610235,380172,307.0,99804.3639933172,99606.04647638109,2.9999999999972715,25.700000000003342,2023-06-21,strat_a_meanrev,0.0075,141.40966666666668,141.46582066666667,141.3535126666667,142.13527564854363,141.8818243514564,34.68354430379668,32.21928354629653,BC,28.000000000000114,-0.2642857142857571,,,,,,,
3,strat_a_meanrev,2023-06-22 16:36:00+00:00,2023-06-22 17:22:00+00:00,short,strat_a_window,142.926,143.02599999999998,143.02599999999998,142.86599999999999,132.93599999999998,sl_hit,-9.999999999999432,-699.1735768321447,1000000,46.0,99606.04647638109,98906.87289954895,0.0,12.60000000000332,2023-06-22,strat_a_meanrev,0.0075,141.83733333333333,142.25294933333333,141.42171733333333,142.97648282249847,142.77201717750157,62.87128712870932,31.570542819290004,AC,9.999999999999432,-1.0,,,,,,,
4,strat_a_meanrev,2023-06-22 16:46:00+00:00,2023-06-22 17:22:00+00:00,short,strat_a_window,142.92999999999998,143.02999999999997,143.02999999999997,142.86999999999998,132.93999999999997,sl_hit,-9.999999999999432,-699.1540236313665,1000000,36.0,98906.87289954895,98207.71887591759,0.0,12.200000000004252,2023-06-22,strat_a_meanrev,0.0075,141.83733333333333,142.25294933333333,141.42171733333333,142.98541129776055,142.79708870223942,64.65753424657373,34.49481791951461,AC,9.999999999999432,-1.0,,,,,,,
5,strat_a_meanrev,2023-06-23 20:52:00+00:00,2023-06-25 22:00:00+00:00,long,strat_a_window,143.74200000000002,143.618,143.46200000000002,143.80200000000002,153.73200000000003,session_close,-12.400000000002365,-326.47111086360303,378122,2948.0,98207.71887591759,97881.247765054,0.0,20.90000000000316,2023-06-23,strat_a_meanrev,0.0075,142.639,143.257458,142.020542,143.79918331796355,143.72651668203648,36.84210526315475,25.279728463435568,BC,28.000000000000114,-0.4428571428572255,,,,,,,
6,strat_b_breakout,2023-06-27 01:55:00+00:00,2023-06-27 02:00:00+00:00,short,strat_b_window,143.29299999999998,143.39600000000002,143.4515,143.1855357142857,133.30299999999997,session_close,-10.300000000003706,-317.8083977239002,442451,5.0,97881.247765054,97563.4393673301,0.0,11.700000000001864,2023-06-27,strat_b_breakout,0.005,,,,,,,38.15199452376461,,15.850000000003206,-0.6498422712934778,143.533,143.37,143.4515,16.29999999999825,normal_12_30,143.40546571365192,-0.0010665439792548134
7,strat_a_meanrev,2023-06-27 17:11:00+00:00,2023-06-27 17:45:00+00:00,short,strat_a_window,144.057,144.03699999999998,144.03699999999998,143.97452380952382,134.06699999999998,sl_hit,5.123809523809086,355.85294101081945,1000000,34.0,97563.4393673301,97919.29230834091,9.299999999998931,3.900000000001569,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.05336664038566,143.88403335961436,54.16666666666482,29.655258202666896,AB,2.000000000001023,2.5619047619032327,,,,,,,
8,strat_a_meanrev,2023-06-27 17:26:00+00:00,2023-06-27 20:47:00+00:00,short,strat_a_window,143.992,144.09199999999998,144.09199999999998,143.932,134.00199999999998,sl_hit,-9.999999999999432,-694.0010548815641,1000000,201.0,97919.29230834091,97225.29125345935,2.7999999999991587,10.200000000003229,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.06943443266167,143.87866556733834,63.97058823529314,29.56637728471853,AC,9.999999999999432,-1.0,,,,,,,
9,strat_a_meanrev,2023-06-27 17:51:00+00:00,2023-06-27 20:55:00+00:00,short,strat_a_window,143.99499999999998,144.09499999999997,144.09499999999997,143.93499999999997,134.00499999999997,sl_hit,-9.999999999999432,-693.9866060584638,1000000,184.0,97225.29125345935,96531.30464740089,2.399999999997249,10.300000000003706,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.07144339912824,143.87715660087176,63.35078534031348,32.804077265448754,AC,9.999999999999432,-1.0,,,,,,,
10,strat_a_meanrev,2023-06-27 20:49:00+00:00,2023-06-27 22:00:00+00:00,short,strat_a_window,144.07,144.061,144.17,144.01,134.07999999999998,session_close,0.899999999998613,62.47353551610866,1000000,71.0,96531.30464740089,96593.778182917,3.999999999999204,2.800000000002001,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.06889260714524,144.01580739285475,52.23880597014958,30.31508811143213,AB,9.999999999999432,0.08999999999986642,,,,,,,
