trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,adx_m15,ema20_m5,roc10_m5,sl_pips,R,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,combo
1,strat_b_breakout,2024-10-25 01:20:00+00:00,2024-10-25 01:50:00+00:00,long,strat_b_window,151.92600000000002,151.83599999999998,151.759512,152.0934642857143,161.91600000000003,time_exit_30min,-9.000000000003183,-270.4498933060311,456267,30.0,100000.0,99729.55010669398,2.7999999999963165,9.000000000003183,2024-10-25,strat_b_breakout,0.005,151.868,151.584,151.726,28.39999999999918,normal_12_30,36.10694451247529,151.91804449152804,1.974788533070681e-05,16.64880000000153,-0.5405795012254551,,,,,,,
2,strat_b_breakout,2024-11-01 01:45:00+00:00,2024-11-01 02:00:00+00:00,long,strat_b_window,152.256,152.16,152.00762600000002,152.50607142857143,162.246,session_close,-9.600000000000364,-134.9987381703521,213973,15.0,99729.55010669398,99594.55136852362,0.0,15.000000000000568,2024-11-01,strat_b_breakout,0.0034999999999999996,152.144,151.787,151.96550000000002,35.69999999999993,wide_30_40,23.735810398706548,152.06319330950177,0.0020007371136734724,24.83739999999841,-0.3865138863166426,,,,,,,
3,strat_a_meanrev,2024-11-06 20:50:00+00:00,2024-11-06 21:06:00+00:00,short,strat_a_window,154.554,154.654,154.654,154.494,144.564,sl_hit,-9.999999999999432,-646.6046788314193,1000000,16.0,99594.55136852362,98947.94668969221,3.1999999999982265,10.099999999999909,2024-11-06,strat_a_meanrev,0.0075,,,,,,16.846537011723296,,,9.999999999999432,-1.0,151.83466666666666,152.29612266666666,151.37321066666667,154.54854539542944,154.37915460457057,87.05882352941589,ABCDE
4,strat_a_meanrev,2024-11-06 21:05:00+00:00,2024-11-06 22:04:00+00:00,short,strat_a_window,154.62199999999999,154.598,154.72199999999998,154.5031123188405,144.63199999999998,session_close,2.399999999997249,155.24133559277925,1000000,59.0,98947.94668969221,99103.188025285,3.999999999996362,5.100000000001614,2024-11-06,strat_a_meanrev,0.0075,,,,,,16.572315430930924,,,9.999999999999432,0.23999999999973853,151.83466666666666,152.29612266666666,151.37321066666667,154.58081248202487,154.36388751797514,93.81443298969012,ABCDE
5,strat_a_meanrev,2024-11-08 20:38:00+00:00,2024-11-08 20:55:00+00:00,long,strat_a_window,152.65200000000002,152.55200000000002,152.55200000000002,152.71200000000002,162.64200000000002,sl_hit,-9.999999999999432,-655.5141853269331,1000000,17.0,99103.188025285,98447.67383995806,0.0,10.100000000002751,2024-11-08,strat_a_meanrev,0.0075,,,,,,13.8589122542559,,,9.999999999999432,-1.0,153.43866666666668,154.21107066666667,152.66626266666668,152.79534517350783,152.64565482649215,28.488372093021667,ABCD
6,strat_a_meanrev,2024-11-08 20:49:00+00:00,2024-11-08 20:57:00+00:00,long,strat_a_window,152.602,152.502,152.502,152.6917000000001,162.592,sl_hit,-9.999999999999432,-655.7291051920257,1000000,8.0,98447.67383995806,97791.94473476603,0.0,10.100000000002751,2024-11-08,strat_a_meanrev,0.0075,,,,,,14.488043027444968,,,9.999999999999432,-1.0,153.43866666666668,154.21107066666667,152.66626266666668,152.80337652763924,152.6172234723608,31.51125401929275,ABC
7,strat_b_breakout,2024-11-12 01:10:00+00:00,2024-11-12 01:40:00+00:00,long,strat_b_window,153.83,153.852,153.660636,153.94517857142858,163.82000000000002,partial_tp_then_trail,7.790690307543406,157.33652270733873,310878,30.0,97791.94473476603,97949.28125747337,12.79999999999859,3.2000000000010687,2024-11-12,strat_b_breakout,0.0034999999999999996,153.776,153.474,153.625,30.200000000002092,wide_30_40,33.57578532442183,153.7051020048133,0.0011389744023639341,16.936400000000162,0.4599968297597678,,,,,,,
8,strat_b_breakout,2024-11-12 01:40:00+00:00,2024-11-12 02:00:00+00:00,long,strat_b_window,153.886,153.922,153.660636,154.0237857142857,163.876,session_close,3.6000000000001364,54.75006821637141,234090,20.0,97949.28125747337,98004.03132568974,7.399999999998386,5.60000000000116,2024-11-12,strat_b_breakout,0.0034999999999999996,153.776,153.474,153.625,30.200000000002092,wide_30_40,30.490103003924666,153.78997369375384,0.0008325203252031603,22.53639999999848,0.15974157363200775,,,,,,,
9,strat_b_breakout,2024-11-13 01:00:00+00:00,2024-11-13 01:42:00+00:00,long,strat_b_window,154.898,154.680186,154.680186,155.0430714285714,164.888,sl_hit,-21.781400000000417,-490.70894874668335,348476,42.0,98004.03132568974,97513.32237694305,3.3999999999991815,23.500000000001364,2024-11-13,strat_b_breakout,0.005,154.786,154.509,154.64749999999998,27.700000000001523,normal_12_30,38.85535582514251,154.75012622134787,0.0005232253938723773,21.781400000000417,-1.0,,,,,,,
10,strat_a_meanrev,2024-11-13 17:09:00+00:00,2024-11-13 17:27:00+00:00,short,strat_a_window,155.28199999999998,155.38199999999998,155.38199999999998,155.22199999999998,145.29199999999997,sl_hit,-9.999999999999432,-643.5751888892814,1000000,18.0,97513.32237694305,96869.74718805376,5.3999999999973625,11.400000000003274,2024-11-13,strat_a_meanrev,0.0075,,,,,,31.150977949166847,,,9.999999999999432,-1.0,154.3213333333333,154.90120933333333,153.7414573333333,155.36239988569167,154.92500011430832,88.83161512027519,ABCDE
11,strat_b_breakout,2024-11-14 00:50:00+00:00,2024-11-14 01:26:00+00:00,long,strat_b_window,155.741,155.79,155.50173600000002,155.88028571428572,165.73100000000002,partial_tp_then_trail,10.317142857141448,208.68859234454038,315270,36.0,96869.74718805376,97078.4357803983,15.199999999998681,10.900000000003729,2024-11-14,strat_b_breakout,0.005,155.598,155.346,155.472,25.200000000000955,normal_12_30,26.787435321209408,155.55660688630817,0.0013953548187968631,23.92639999999915,0.43120330919577604,,,,,,,
12,strat_a_meanrev,2024-11-14 20:01:00+00:00,2024-11-14 20:05:00+00:00,short,strat_a_window,156.14399999999998,156.24399999999997,156.24399999999997,155.99399999999997,146.15399999999997,sl_hit,-9.999999999999432,-640.0245769437183,1000000,4.0,97078.4357803983,96438.41120345458,4.499999999995907,14.400000000003388,2024-11-14,strat_a_meanrev,0.0075,,,,,,12.403612818580907,,,9.999999999999432,-1.0,155.14866666666668,155.6403006666667,154.65703266666668,156.04231527238116,155.7934847276188,70.67901234567738,ABCDE
13,strat_b_breakout,2024-11-19 00:20:00+00:00,2024-11-19 01:23:00+00:00,short,strat_b_window,154.36999999999998,154.214,154.550802,154.2370357142857,144.37999999999997,partial_tp_then_trail,14.217860340162435,265.67546221764104,288189,63.0,96438.41120345458,96704.08666567222,27.799999999996317,11.60000000000423,2024-11-19,strat_b_breakout,0.0034999999999999996,154.743,154.432,154.58749999999998,31.100000000000705,wide_30_40,31.41389425566201,154.50709172512305,-0.0004661702816445629,18.080200000002833,0.7863773818962294,,,,,,,
14,strat_a_meanrev,2024-11-20 20:10:00+00:00,2024-11-20 20:38:00+00:00,short,strat_a_window,155.396,155.49599999999998,155.49599999999998,155.32045248868778,145.40599999999998,sl_hit,-9.999999999999432,-643.1033595719139,1000000,28.0,96704.08666567222,96060.9833061003,0.9999999999990905,11.20000000000232,2024-11-20,strat_a_meanrev,0.0075,,,,,,29.86437207633752,,,9.999999999999432,-1.0,154.245,154.82525800000002,153.664742,155.4109053569486,155.25409464305142,65.77380952381078,ABCE
