trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2024-11-06 20:50:00+00:00,2024-11-06 20:47:00+00:00,3,2024-11-06 21:42:00+00:00,short,154.55450000000002,154.6545,154.6545,151.37321066666667,sl,-9.999999999999432,-281.0677995143855,5,434684,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,3.300000000001546,11.69999999999618,False,False,True,inside_ir,pivot,pivot_fallback,10.699999999999932,3.2499999999998863,272.63333333333435,2024-11-07,52.0,50000.0,49718.932200485615,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.54854539542944,154.46385,154.37915460457057,154.49112,bullish,87.05882352941589,0.11728571428571806
2,2024-11-06 21:05:00+00:00,2024-11-06 21:01:00+00:00,4,2024-11-06 22:04:00+00:00,short,154.6225,154.5975,154.7225,154.5285,session_close,2.5000000000005684,70.32374391566793,5,434875,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,4.099999999999682,4.999999999998295,False,False,True,inside_ir,pivot,midpoint,8.400000000000318,5.5499999999995,274.93333333333396,2024-11-07,59.0,49718.932200485615,49789.25594440128,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.58081248202487,154.47235,154.36388751797514,154.51532,bullish,93.81443298969012,0.11228571428571651
3,2024-11-08 20:44:00+00:00,2024-11-08 20:40:00+00:00,4,2024-11-10 22:04:00+00:00,long,152.6135,152.6845,152.6335,154.21107066666667,tp1_then_session_close,6.607142857144766,66.05760717640521,3,152648,6.1142857142855735,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,7.1000000000026375,18.399999999996908,False,False,True,inside_ir,pivot,pivot_fallback,9.100000000000819,2.6999999999986812,80.86666666666815,2024-11-09,2960.0,49789.25594440128,49855.31355157769,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.43866666666668,154.21107066666667,154.68826266666667,152.66626266666668,152.18907066666668,152.80132038990283,152.7172,152.63307961009716,152.6141782272,bullish,30.434782608693354,0.12228571428571147
4,2024-11-13 17:09:00+00:00,2024-11-13 17:08:00+00:00,1,2024-11-13 18:57:00+00:00,short,155.2825,155.5625,155.5625,153.7414573333333,sl,-28.000000000000114,-279.9289031739666,5,155523,10.032142857142848,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,5.500000000000682,30.099999999998772,False,False,False,,pivot,pivot_fallback,4.900000000000659,6.900000000001683,103.066666666669,2024-11-14,108.0,49855.31355157769,49575.38464840372,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.3213333333333,154.90120933333333,155.2594573333333,153.7414573333333,153.38320933333333,155.36239988569167,155.1437,154.92500011430832,155.432,bearish,88.83161512027519,0.20064285714285696
5,2024-11-14 20:01:00+00:00,2024-11-14 20:00:00+00:00,1,2024-11-14 20:14:00+00:00,short,156.1445,156.4245,156.4245,155.91649999999998,sl,-28.000000000000114,-278.3612541513649,5,155509,6.392857142856911,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,4.599999999999227,28.39999999999918,False,False,False,,pivot,midpoint,15.600000000000591,23.750000000001137,100.53333333333114,2024-11-15,13.0,49575.38464840372,49297.023394252356,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.14866666666668,155.6403006666667,155.94403266666666,154.65703266666668,154.3533006666667,156.04231527238116,155.91789999999997,155.7934847276188,155.87,bullish,70.67901234567738,0.12785714285713823
7,2024-11-20 20:48:00+00:00,2024-11-20 20:47:00+00:00,1,2024-11-20 21:21:00+00:00,short,155.48950000000002,155.4695,155.4695,155.3525,tp1_then_be_stop,3.9999870118912395,39.62609293397371,4,153987,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,6.70000000000357,6.399999999996453,False,False,False,,pivot,midpoint,7.699999999999818,16.24999999999943,126.99999999999818,2024-11-21,33.0,49297.023394252356,49336.64948718633,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.51332040720877,155.37445,155.23557959279123,155.519218,bearish,69.02654867256666,0.09785714285714116
6,2024-11-20 20:10:00+00:00,2024-11-20 20:09:00+00:00,1,2024-11-20 22:04:00+00:00,short,155.3965,155.4375,155.6765,153.664742,session_close,-4.099999999999682,-40.59313228789391,4,153895,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,3.499999999999659,15.699999999998226,False,False,True,inside_ir,pivot,pivot_fallback,2.199999999999136,9.550000000001546,117.09999999999923,2024-11-21,114.0,49336.64948718633,49296.056354898436,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.4109053569486,155.3325,155.25409464305142,155.457,bearish,65.77380952381078,0.1090714285714256
8,2024-11-26 17:21:00+00:00,2024-11-26 17:20:00+00:00,1,2024-11-26 18:27:00+00:00,long,153.3495,153.441,153.36950000000002,153.441,tp1_then_tp2,9.616068359586473,95.16998176557414,4,151865,10.082142857142681,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,10.499999999998977,10.300000000000864,False,False,False,,pivot,midpoint,7.800000000000296,10.599999999999454,81.49999999999977,2024-11-27,66.0,49296.056354898436,49391.22633666401,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.15,154.599614,154.877386,153.700386,153.422614,153.69736555706973,153.50459999999998,153.31183444293023,153.256,bullish,30.802919708029677,0.20164285714285363
9,2024-12-17 17:11:00+00:00,2024-12-17 17:09:00+00:00,2,2024-12-17 20:39:00+00:00,long,153.3315,153.441,153.35150000000002,153.441,tp1_then_tp2,9.337499999999466,92.59134034702427,4,152140,7.72500000000014,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,11.099999999999,17.900000000000205,False,False,False,,pivot,midpoint,4.200000000000159,11.899999999999977,66.46666666666476,2024-12-18,208.0,49391.22633666401,49483.81767701104,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.98666666666665,154.42825866666664,154.70107466666664,153.54507466666666,153.27225866666666,153.6601280038973,153.5046,153.3490719961027,153.255,bullish,30.19197207679221,0.1545000000000028
10,2024-12-24 19:06:00+00:00,2024-12-24 19:05:00+00:00,1,2024-12-24 21:43:00+00:00,short,157.36950000000002,157.25650000000002,157.3495,156.570212,tp1_then_trailing_stop,8.650012989623098,112.20358456804439,3,204009,6.0,21.471199999999158,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,20.90000000000316,2.199999999996294,False,False,False,,pivot,pivot_fallback,0.5999999999971806,6.649999999999068,45.09999999999934,2024-12-25,157.0,49483.81767701104,49596.02126157908,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.927,157.283788,157.504212,156.570212,156.349788,157.36596327732582,157.2945,157.22303672267418,157.31,bullish,65.0793650793649,0.06278571428571768
