trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 19:29:00+00:00,2025-05-20 20:20:00+00:00,50040.164401797185,0.0,0.0
2,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,49921.54085394258,118.62354785460775,0.23705667092162352
3,2025-05-20 21:56:00+00:00,2025-05-20 22:00:00+00:00,49924.55658227331,115.60781952387333,0.23103005536832588
4,2025-05-21 17:12:00+00:00,2025-05-21 17:27:00+00:00,49643.18408592784,396.98031586934667,0.7933233645712986
5,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,49685.71295212206,354.4514496751217,0.7083339032003493
6,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,49725.62457479174,314.53982700544293,0.6285747274526265
7,2025-05-30 16:39:00+00:00,2025-06-01 21:04:00+00:00,49580.63112655065,459.53327524653287,0.9183288679004196
8,2025-06-03 20:02:00+00:00,2025-06-03 20:56:00+00:00,49620.486131629325,419.6782701678603,0.8386828364472512
9,2025-06-06 20:54:00+00:00,2025-06-08 21:04:00+00:00,49531.189142482246,508.97525931493874,1.0171334674844892
10,2025-06-11 18:06:00+00:00,2025-06-11 18:35:00+00:00,49570.97677991982,469.1876218773614,0.9376220631691421
11,2025-06-12 16:34:00+00:00,2025-06-12 17:04:00+00:00,49291.9400319289,748.2243698682869,1.4952476252084708
12,2025-06-17 17:11:00+00:00,2025-06-17 17:36:00+00:00,49335.12029361984,705.0441081773461,1.4089564185205286
13,2025-06-17 19:04:00+00:00,2025-06-17 20:05:00+00:00,49374.77815024221,665.3862515549772,1.3297043675001996
14,2025-06-17 18:51:00+00:00,2025-06-17 20:15:00+00:00,49414.43562679697,625.7287750002142,1.2504530760049646
15,2025-06-24 17:11:00+00:00,2025-06-24 17:22:00+00:00,49136.287490175724,903.8769116214607,1.806302841780828
16,2025-06-26 21:16:00+00:00,2025-06-26 22:00:00+00:00,49124.44118876889,915.7232130282937,1.8299764278860078
17,2025-07-10 18:02:00+00:00,2025-07-10 22:00:00+00:00,49039.520037072856,1000.6443647243286,1.9996824084942268
18,2025-07-23 18:30:00+00:00,2025-07-23 20:01:00+00:00,49105.86473628878,934.2996655084062,1.867099512316652
19,2025-07-24 20:37:00+00:00,2025-07-24 22:00:00+00:00,48887.192801893085,1152.9715999041,2.3040923499897437
20,2025-07-25 20:27:00+00:00,2025-07-27 21:04:00+00:00,48767.475170279424,1272.689231517761,2.5433354321115154
21,2025-08-21 19:26:00+00:00,2025-08-21 20:48:00+00:00,48877.238794718316,1162.9256070788688,2.3239843853053017
22,2025-08-21 19:15:00+00:00,2025-08-21 21:19:00+00:00,48991.11833282745,1049.0460689697356,2.0964081183795216
23,2025-08-28 16:33:00+00:00,2025-08-28 20:58:00+00:00,49035.1655207089,1004.998881088286,2.008384450975528
24,2025-08-28 16:50:00+00:00,2025-08-28 21:04:00+00:00,49114.586961877605,925.5774399195798,1.8496690628105488
25,2025-08-28 21:22:00+00:00,2025-08-28 22:00:00+00:00,49178.831900806625,861.3325009905602,1.7212823164898028
26,2025-09-02 17:58:00+00:00,2025-09-02 18:45:00+00:00,48902.38771979611,1137.776682001073,2.273726906381247
27,2025-09-11 19:07:00+00:00,2025-09-11 20:30:00+00:00,48941.67067038458,1098.4937314126073,2.1952240655971047
28,2025-09-11 19:18:00+00:00,2025-09-11 20:35:00+00:00,48980.95361122765,1059.2107905695375,2.1167212442881103
29,2025-09-17 16:33:00+00:00,2025-09-17 17:38:00+00:00,49020.2994448414,1019.864956955782,2.0380927383986647
30,2025-09-18 20:01:00+00:00,2025-09-18 21:06:00+00:00,49093.60999975127,946.5544020459129,1.8915893130277517
31,2025-09-24 18:47:00+00:00,2025-09-24 20:49:00+00:00,48817.643964181974,1222.5204376152105,2.443078379597218
32,2025-09-30 16:51:00+00:00,2025-09-30 17:48:00+00:00,49020.35267789783,1019.8117238993582,2.0379863577401274
33,2025-10-01 18:35:00+00:00,2025-10-01 19:28:00+00:00,49131.03425375603,909.1301480411566,1.8168008816703756
34,2025-10-09 18:53:00+00:00,2025-10-09 19:11:00+00:00,49170.52698112248,869.6374206747059,1.7378788240821068
35,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,49210.02571432209,830.138687475097,1.6589447644686048
36,2025-10-15 17:12:00+00:00,2025-10-15 18:24:00+00:00,49361.47487168272,678.6895301144614,1.3562895690448338
37,2025-10-15 20:46:00+00:00,2025-10-15 21:18:00+00:00,49407.00857577954,633.1558260176462,1.2652952554946173
38,2025-10-15 20:06:00+00:00,2025-10-15 22:00:00+00:00,49218.36156271944,821.8028390777472,1.6422864490993405
39,2025-10-21 16:49:00+00:00,2025-10-21 17:05:00+00:00,49351.406037018976,688.7583647782085,1.3764110750073233
40,2025-10-24 18:26:00+00:00,2025-10-24 20:32:00+00:00,49399.20493618249,640.9594656146946,1.2808900076109155
41,2025-10-28 19:13:00+00:00,2025-10-28 19:39:00+00:00,49121.151966379046,919.0124354181389,1.836549592521188
42,2025-10-28 19:25:00+00:00,2025-10-28 22:00:00+00:00,49371.07107765198,669.0933241452076,1.337112561766838
43,2025-10-30 21:05:00+00:00,2025-10-30 22:00:00+00:00,49443.28822870444,596.8761730927436,1.1927941888842133
44,2025-11-18 18:07:00+00:00,2025-11-18 19:15:00+00:00,49559.23885659512,480.92554520206613,0.9610790670879447
45,2025-11-20 20:16:00+00:00,2025-11-20 21:03:00+00:00,49612.18306456358,427.9813372336066,0.8552756417767399
46,2025-11-21 19:55:00+00:00,2025-11-21 20:53:00+00:00,49749.52825656939,290.63614522779244,0.5808057361565229
47,2025-11-25 20:04:00+00:00,2025-11-25 20:28:00+00:00,50089.90798059015,0.0,0.0
48,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,50175.49156339462,0.0,0.0
49,2025-12-05 21:57:00+00:00,2025-12-07 22:04:00+00:00,50264.09832073679,0.0,0.0
50,2025-12-16 17:41:00+00:00,2025-12-16 17:57:00+00:00,50351.57452142218,0.0,0.0
51,2025-12-19 17:22:00+00:00,2025-12-19 18:32:00+00:00,50517.12185375087,0.0,0.0
52,2025-12-19 19:34:00+00:00,2025-12-19 20:16:00+00:00,50630.82112092964,0.0,0.0
53,2025-12-23 19:12:00+00:00,2025-12-23 21:00:00+00:00,50757.90773121069,0.0,0.0
54,2025-12-26 21:45:00+00:00,2025-12-28 22:04:00+00:00,50785.43048527517,0.0,0.0
55,2025-12-26 21:55:00+00:00,2025-12-28 22:04:00+00:00,50901.665092239826,0.0,0.0
56,2025-12-31 18:37:00+00:00,2025-12-31 21:25:00+00:00,51037.776774781225,0.0,0.0
57,2026-01-08 19:15:00+00:00,2026-01-08 21:44:00+00:00,51081.36635371281,0.0,0.0
58,2026-01-08 19:26:00+00:00,2026-01-08 22:04:00+00:00,51154.7538002521,0.0,0.0
59,2026-01-13 20:37:00+00:00,2026-01-13 22:04:00+00:00,51123.103991112876,31.649809139227727,0.06187070953916261
60,2026-01-16 20:14:00+00:00,2026-01-16 21:53:00+00:00,51171.11661459801,0.0,0.0
61,2026-02-04 19:45:00+00:00,2026-02-04 20:04:00+00:00,51286.28796778316,0.0,0.0
62,2026-02-04 19:14:00+00:00,2026-02-04 20:20:00+00:00,50998.634492624406,287.6534751587533,0.5608779394200852
63,2026-02-05 19:17:00+00:00,2026-02-05 19:38:00+00:00,51039.628597999596,246.6593697835633,0.4809460375422548
64,2026-02-05 20:07:00+00:00,2026-02-05 22:04:00+00:00,50958.66678869511,327.62117908804794,0.6388085238180073
65,2026-02-05 20:19:00+00:00,2026-02-05 22:04:00+00:00,50897.16954526648,389.11842251667986,0.7587182421178833
66,2026-02-24 19:02:00+00:00,2026-02-24 19:48:00+00:00,51011.724580997994,274.56338678516477,0.5353543757302908
67,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,51003.11654306976,283.1714247134005,0.5521386630502135
