trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
2,2025-05-20 19:29:00+00:00,2025-05-20 19:28:00+00:00,1,2025-05-20 20:20:00+00:00,long,144.4745,144.49450000000002,144.49450000000002,144.666,tp1_then_be_stop,3.9999862182077517,40.16440179718132,5,145119,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,9.000000000000341,5.000000000001137,False,False,False,,pivot,midpoint,32.59999999999934,21.999999999999886,56.1333333333323,2025-05-21,51.0,50000.0,50040.164401797185,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,144.6821873433577,144.57,144.4578126566423,144.50932,bearish,28.99159663865065,0.09407142857142706
1,2025-05-20 18:14:00+00:00,2025-05-20 18:12:00+00:00,2,2025-05-20 22:00:00+00:00,long,144.6025,144.4845,144.3225,144.733,session_close,-11.7999999999995,-118.62354785460914,5,145248,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,2.000000000001023,17.799999999999727,False,False,False,,pivot,midpoint,17.799999999999727,13.900000000001,41.33333333333269,2025-05-21,226.0,50040.164401797185,49921.54085394258,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,144.93375884774184,144.76209999999998,144.5904411522581,144.68692739200003,bearish,24.812030075188872,0.10985714285713957
3,2025-05-20 21:56:00+00:00,2025-05-20 21:52:00+00:00,4,2025-05-20 22:00:00+00:00,long,144.48149999999998,144.4845,144.20149999999998,144.66,session_close,0.30000000000143245,3.0157283307349965,4,145242,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.5000000000023874,2.2999999999967713,False,False,False,,pivot,midpoint,32.099999999999795,20.90000000000032,55.63333333333276,2025-05-21,4.0,49921.54085394258,49924.55658227331,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,144.592660950509,144.5188,144.44493904949098,144.435,bullish,32.95454545454717,0.07621428571428217
4,2025-05-21 17:12:00+00:00,2025-05-21 17:10:00+00:00,2,2025-05-21 17:27:00+00:00,long,143.5955,143.3155,143.3155,145.24253733333333,sl,-28.000000000000114,-281.37249634547675,4,144018,7.021428571428499,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,2.9000000000024784,32.09999999999695,False,False,False,,pivot,pivot_fallback,6.999999999999318,9.100000000000819,112.5333333333316,2025-05-22,15.0,49924.55658227331,49643.18408592784,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.69933333333333,145.24253733333333,145.57812933333332,144.15612933333333,143.82053733333333,143.75354882796904,143.6757,143.59785117203097,143.65319209764863,bearish,34.69387755102251,0.14042857142857
5,2025-05-23 17:48:00+00:00,2025-05-23 17:46:00+00:00,2,2025-05-23 18:03:00+00:00,long,142.54649999999998,142.5665,142.5665,142.632,tp1_then_be_stop,4.266055488395169,42.528866194227454,4,142161,6.532142857142784,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.00000000000216,2.7999999999963165,False,False,False,,pivot,midpoint,8.400000000000318,8.400000000000318,121.56666666666354,2025-05-24,15.0,49643.18408592784,49685.71295212206,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.74280838059838,142.6551,142.56739161940163,142.528,bullish,30.94339622641428,0.13064285714285567
6,2025-05-23 18:26:00+00:00,2025-05-23 18:24:00+00:00,2,2025-05-25 21:04:00+00:00,long,142.5195,142.5395,142.5395,144.38021466666663,tp1_then_be_stop,3.9999859407408453,39.911622669682124,5,142255,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,6.30000000000166,6.599999999997408,False,False,False,,pivot,pivot_fallback,12.800000000001432,7.500000000001705,125.96666666666465,2025-05-24,3038.0,49685.71295212206,49725.62457479174,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.72782027438126,142.60184999999998,142.4758797256187,142.422,bullish,27.621483375955492,0.11892857142856883
7,2025-05-30 16:39:00+00:00,2025-05-30 16:38:00+00:00,1,2025-06-01 21:04:00+00:00,long,143.99949999999998,143.8545,143.71949999999998,145.68529599999997,session_close,-14.499999999998181,-144.99344824108653,3,143848,9.321428571428621,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,8.900000000002706,21.299999999996544,False,False,False,,pivot,pivot_fallback,0.0,0.0,80.69999999999595,2025-05-31,3145.0,49725.62457479174,49580.63112655065,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.79599999999996,145.68529599999997,146.23470399999997,143.90670399999996,143.35729599999996,144.2966260457982,144.13675,143.9768739542018,143.9458568,bullish,30.370370370370054,0.18642857142857241
8,2025-06-03 20:02:00+00:00,2025-06-03 20:01:00+00:00,1,2025-06-03 20:56:00+00:00,short,144.05450000000002,144.0345,144.0345,142.51476666666667,tp1_then_be_stop,3.9999860610670925,39.85500507867514,5,143483,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.500000000002728,1.799999999997226,False,False,True,inside_ir,pivot,pivot_fallback,3.6000000000001364,10.099999999999909,101.03333333333353,2025-06-04,54.0,49580.63112655065,49620.486131629325,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.06866666666667,143.62256666666667,143.9647666666667,142.51476666666667,142.17256666666665,144.07846839568256,143.95805000000001,143.83763160431747,144.109,bearish,80.31496062992724,0.07478571428571204
9,2025-06-06 20:54:00+00:00,2025-06-06 20:50:00+00:00,4,2025-06-08 21:04:00+00:00,short,144.8605,144.89249999999998,144.9605,142.79791266666666,session_close,-3.199999999998227,-89.29698914707684,4,404327,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.40000000000190994,3.1999999999982265,False,False,False,,pivot,pivot_fallback,1.8999999999977035,1.7499999999984084,150.9333333333359,2025-06-07,2890.0,49620.486131629325,49531.189142482246,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.35066666666665,143.90342066666665,144.24491266666666,142.79791266666666,142.45642066666665,144.85691083509786,144.81595000000002,144.77498916490217,144.873294568,bearish,65.86826347306143,0.06514285714285352
10,2025-06-11 18:06:00+00:00,2025-06-11 18:05:00+00:00,1,2025-06-11 18:35:00+00:00,long,144.4195,144.4395,144.4395,144.522,tp1_then_be_stop,3.999986082406699,39.787637437573814,4,143703,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.100000000000705,9.899999999998954,False,False,False,,pivot,midpoint,7.800000000000296,11.7999999999995,45.83333333333428,2025-06-12,29.0,49531.189142482246,49570.97677991982,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.86233333333334,145.20307733333334,145.41358933333336,144.52158933333334,144.31107733333332,144.65959900100603,144.55450000000002,144.449400998994,144.52537200098618,bearish,30.170777988614006,0.11950000000000216
11,2025-06-12 16:34:00+00:00,2025-06-12 16:32:00+00:00,2,2025-06-12 17:04:00+00:00,long,143.6575,143.55433333333332,143.55433333333332,145.21534133333333,sl,-10.316666666668084,-279.0367479909268,5,388274,8.407142857142702,10.316666666668084,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,2.5000000000005684,11.899999999999977,False,False,False,,pivot,pivot_fallback,0.0,5.249999999998067,112.0333333333349,2025-06-13,30.0,49570.97677991982,49291.9400319289,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.77833333333334,145.21534133333333,145.48532533333335,144.34132533333334,144.07134133333332,143.86346867147125,143.71805,143.57263132852876,143.551,bullish,25.75406032482786,0.16814285714285404
