trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-30 16:39:00+00:00,2025-05-30 16:53:00+00:00,49718.55496370733,0.0,0.0
2,2025-06-03 20:02:00+00:00,2025-06-03 20:56:00+00:00,49830.46035717141,0.0,0.0
3,2025-06-11 18:06:00+00:00,2025-06-11 18:35:00+00:00,49870.48873743945,0.0,0.0
4,2025-07-10 18:02:00+00:00,2025-07-10 22:00:00+00:00,49784.27790772185,86.21082971760188,0.1728694301984663
5,2025-07-24 20:37:00+00:00,2025-07-24 22:00:00+00:00,49562.584846924445,307.90389051500824,0.6174070042426804
6,2025-08-21 19:26:00+00:00,2025-08-21 20:48:00+00:00,49674.137966687194,196.35077075225854,0.39372136853523837
7,2025-08-21 19:15:00+00:00,2025-08-21 21:19:00+00:00,49789.874133567915,80.61460387153784,0.16164791224718386
8,2025-09-11 19:07:00+00:00,2025-09-11 20:30:00+00:00,49829.8701927935,40.61854464594944,0.08144805810867407
9,2025-09-11 19:18:00+00:00,2025-09-11 20:35:00+00:00,49869.86584426406,0.6228931753939833,0.0012490215980705969
10,2025-09-17 16:33:00+00:00,2025-09-17 17:38:00+00:00,49909.92612222451,0.0,0.0
11,2025-09-18 20:01:00+00:00,2025-09-18 21:06:00+00:00,49984.56707684672,0.0,0.0
12,2025-09-24 18:47:00+00:00,2025-09-24 20:49:00+00:00,49703.59300007423,280.974076772487,0.5621216571517265
13,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,49743.51995956168,241.04711728503753,0.4822430829788914
14,2025-11-25 20:04:00+00:00,2025-11-25 20:28:00+00:00,50083.857957354085,0.0,0.0
15,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,50169.43129830683,0.0,0.0
16,2025-12-05 21:57:00+00:00,2025-12-07 22:04:00+00:00,50258.02746606783,0.0,0.0
17,2025-12-26 21:45:00+00:00,2025-12-28 22:04:00+00:00,50285.279184003746,0.0,0.0
18,2025-12-26 21:55:00+00:00,2025-12-28 22:04:00+00:00,50400.36897188035,0.0,0.0
19,2025-12-31 18:37:00+00:00,2025-12-31 21:25:00+00:00,50745.15829739264,0.0,0.0
20,2026-01-08 19:15:00+00:00,2026-01-08 21:44:00+00:00,50788.49767035897,0.0,0.0
21,2026-01-08 19:26:00+00:00,2026-01-08 22:04:00+00:00,50861.464476390334,0.0,0.0
