trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-05-30 16:39:00+00:00,2025-05-30 16:38:00+00:00,1,2025-05-30 16:53:00+00:00,long,143.99949999999998,143.8995,143.8995,145.68529599999997,sl,-9.999999999999432,-281.44503629267444,3,404998,9.321428571428621,10.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,1.1000000000024102,10.099999999997067,True,True,False,"rejection,divergence",rejection_bonus,pivot_fallback,0.0,0.0,80.69999999999595,2025-05-31,14.0,50000.0,49718.55496370733,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.79599999999996,145.68529599999997,146.23470399999997,143.90670399999996,143.35729599999996,144.2966260457982,144.13675,143.9768739542018,143.9458568,bullish,30.370370370370054,0.18642857142857241
2,2025-06-03 20:02:00+00:00,2025-06-03 20:01:00+00:00,1,2025-06-03 20:56:00+00:00,short,144.05450000000002,144.0345,144.0345,142.51476666666667,tp1_then_be_stop,4.000000000000625,111.90539346408686,5,402872,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.500000000002728,1.799999999997226,True,True,True,"rejection,divergence,inside_ir",rejection_bonus,pivot_fallback,3.6000000000001364,10.099999999999909,101.03333333333353,2025-06-04,54.0,49718.55496370733,49830.46035717141,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.06866666666667,143.62256666666667,143.9647666666667,142.51476666666667,142.17256666666665,144.07846839568256,143.95805000000001,143.83763160431747,144.109,bearish,80.31496062992724,0.07478571428571204
3,2025-06-11 18:06:00+00:00,2025-06-11 18:05:00+00:00,1,2025-06-11 18:35:00+00:00,long,144.4195,144.4395,144.4395,144.522,tp1_then_be_stop,4.000000000000625,40.02838026804177,4,144572,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.100000000000705,9.899999999998954,False,True,False,divergence,pivot,midpoint,7.800000000000296,11.7999999999995,45.83333333333428,2025-06-12,29.0,49830.46035717141,49870.48873743945,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.86233333333334,145.20307733333334,145.41358933333336,144.52158933333334,144.31107733333332,144.65959900100603,144.55450000000002,144.449400998994,144.52537200098618,bearish,30.170777988614006,0.11950000000000216
4,2025-07-10 18:02:00+00:00,2025-07-10 18:01:00+00:00,1,2025-07-10 22:00:00+00:00,long,146.3225,146.2365,146.0425,146.4105,session_close,-8.599999999998431,-86.21082971759922,3,146595,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,0.0,16.099999999997294,False,True,False,divergence,pivot,midpoint,11.7999999999995,9.650000000002024,26.933333333334986,2025-07-11,238.0,49870.48873743945,49784.27790772185,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.5186649257555,146.41615000000002,146.31363507424453,146.359,bearish,33.15217391304519,0.10285714285714473
5,2025-07-24 20:37:00+00:00,2025-07-24 20:35:00+00:00,2,2025-07-24 22:00:00+00:00,short,146.9635,147.1855,147.2435,146.87,session_close,-22.199999999998,-221.69306079740915,3,146982,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,0.7000000000005002,22.199999999998,False,True,False,divergence,pivot,midpoint,6.299999999998818,11.199999999999477,38.10000000000002,2025-07-25,83.0,49784.27790772185,49562.584846924445,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.601,147.022728,147.28327199999998,146.179272,145.91872800000002,146.97686206489948,146.91635,146.8558379351005,146.9139264,bullish,66.84636118598212,0.0681428571428516
7,2025-08-21 19:26:00+00:00,2025-08-21 19:23:00+00:00,3,2025-08-21 20:48:00+00:00,short,148.39350000000002,148.3735,148.3735,148.28199999999998,tp1_then_be_stop,3.9999951656379755,111.55311976275092,4,413705,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,6.600000000003092,2.199999999996294,False,True,False,divergence,pivot,midpoint,4.099999999999682,10.900000000000887,105.59999999999832,2025-08-22,82.0,49562.584846924445,49674.137966687194,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.335,147.696372,147.91962800000002,146.97362800000002,146.750372,148.39102698366193,148.30045,148.2098730163381,148.3566,bullish,65.41095890411009,0.06878571428571385
6,2025-08-21 19:15:00+00:00,2025-08-21 19:14:00+00:00,1,2025-08-21 21:19:00+00:00,short,148.3675,148.34449999999998,148.3475,148.276,tp1_then_time_decay,4.1500000000013415,115.7361668807219,4,413632,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,6.500000000002615,4.79999999999734,False,False,False,,pivot,midpoint,2.7999999999991587,10.199999999997544,104.2999999999978,2025-08-22,124.0,49674.137966687194,49789.874133567915,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.335,147.696372,147.91962800000002,146.97362800000002,146.750372,148.36871563343232,148.29235,148.21598436656768,148.382,bearish,65.86206896551656,0.07549999999999914
8,2025-09-11 19:07:00+00:00,2025-09-11 19:06:00+00:00,1,2025-09-11 20:30:00+00:00,long,147.1085,147.1285,147.1285,147.59371066666665,tp1_then_be_stop,4.000000000000625,39.99605922558805,5,147144,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,7.600000000002183,2.6999999999986812,False,False,True,inside_ir,pivot,pivot_fallback,0.7000000000005002,6.25,28.566666666665697,2025-09-12,83.0,49789.874133567915,49829.8701927935,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.38666666666666,147.59371066666665,147.72162266666666,147.17962266666666,147.05171066666665,147.34960933024763,147.23345,147.11729066975238,147.17366099456,bearish,26.234567901236034,0.08614285714285431
9,2025-09-11 19:18:00+00:00,2025-09-11 19:14:00+00:00,4,2025-09-11 20:35:00+00:00,long,147.10649999999998,147.1265,147.1265,147.59371066666665,tp1_then_be_stop,3.9999864075960607,39.99565147055565,5,147141,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.800000000003138,2.199999999996294,False,False,False,,pivot,pivot_fallback,0.49999999999954525,5.0499999999999545,27.36666666666565,2025-09-12,77.0,49829.8701927935,49869.86584426406,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.38666666666666,147.59371066666665,147.72162266666666,147.17962266666666,147.05171066666665,147.35395064524047,147.2319,147.10984935475952,147.08976,bullish,22.72727272727704,0.08614285714285431
10,2025-09-17 16:33:00+00:00,2025-09-17 16:30:00+00:00,3,2025-09-17 17:38:00+00:00,long,146.27349999999998,146.2935,146.2935,147.25013266666664,tp1_then_be_stop,4.000000000000625,40.060277960449255,3,146544,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,8.900000000002706,2.5999999999982037,False,False,False,,pivot,pivot_fallback,0.0,0.30000000000143245,48.96666666666647,2025-09-18,65.0,49869.86584426406,49909.92612222451,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.76766666666666,147.25013266666664,147.54820066666667,146.28520066666667,145.98713266666664,146.39626317907772,146.33745,146.27863682092226,146.256,bullish,33.828996282519824,0.08085714285713712
