trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-06-30 20:13:00+00:00,2025-06-30 22:02:00+00:00,long,143.9955,143.91549999999998,143.91549999999998,144.46866666666665,sl,-8.00000000000125,-277.9408750274033,5,500000,2025-07-01,109.0,50000.0,49722.0591249726,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.46866666666665,144.53246066666665,144.57187266666665,144.40487266666665,144.36546066666665,144.27765193413438,144.1387,143.99974806586562,143.964,bullish,24.324324324325886,0.1014285714285746
2,2025-07-01 20:46:00+00:00,2025-07-02 00:00:00+00:00,long,143.46349999999998,143.4245,143.2635,144.19566666666665,session_close,-3.8999999999987267,-72.7380747361615,5,267498,2025-07-02,194.0,49722.0591249726,49649.32105023644,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.19566666666665,144.57155466666666,144.80377866666663,143.81977866666665,143.58755466666668,143.86957364249403,143.65939999999998,143.44922635750592,143.403,bullish,3.703703703712705,0.10121428571428785
3,2025-07-07 15:22:00+00:00,2025-07-07 16:04:00+00:00,short,145.8495,145.92950000000002,145.92950000000002,144.48466666666667,sl,-8.00000000000125,-274.10496164247974,5,500000,2025-07-08,42.0,49649.32105023644,49375.21608859396,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.48466666666667,144.53318066666668,144.56315266666667,144.43615266666666,144.40618066666667,145.8727311659897,145.7702,145.66766883401027,145.896,bearish,74.99999999999525,0.09142857142856949
4,2025-07-07 18:47:00+00:00,2025-07-08 00:00:00+00:00,short,146.22150000000002,145.92749999999998,146.30150000000003,144.48466666666667,session_close,29.400000000003956,1007.3495400114426,4,500000,2025-07-08,313.0,49375.21608859396,50382.5656286054,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.48466666666667,144.53318066666668,144.56315266666667,144.43615266666666,144.40618066666667,146.23641417223368,146.13479999999998,146.0331858277663,146.17552,bullish,65.97222222222103,0.11671428571428269
5,2025-07-08 15:03:00+00:00,2025-07-09 00:00:00+00:00,short,146.9305,146.8675,147.13049999999998,145.494,session_close,6.299999999998818,119.0796193847973,4,277602,2025-07-09,537.0,50382.5656286054,50501.6452479902,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.494,146.264876,146.741124,144.723124,144.246876,146.9653163547586,146.858,146.7506836452414,146.864,bullish,66.66666666666191,0.11149999999999441
6,2025-07-09 23:30:00+00:00,2025-07-10 00:00:00+00:00,long,146.1195,146.0825,145.95488533333332,146.58333333333334,session_close,-3.699999999997772,-85.1547721321343,4,336206,2025-07-10,30.0,50501.6452479902,50416.49047585807,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.34145704774798,146.24355,146.14564295225202,146.072,bullish,26.851851851849815,0.07028571428571086
7,2025-07-10 18:01:00+00:00,2025-07-11 00:00:00+00:00,long,146.3215,146.2525,146.1215,146.58333333333334,session_close,-6.89999999999884,-130.51415873230744,3,276638,2025-07-11,359.0,50416.49047585807,50285.97631712576,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.51866492573475,146.41615,146.31363507426522,146.359,bearish,33.15217391304519,0.10285714285714473
8,2025-07-10 18:17:00+00:00,2025-07-11 00:00:00+00:00,long,146.26749999999998,146.2525,146.0675,146.58333333333334,session_close,-1.4999999999986358,-28.362181843019627,4,276536,2025-07-11,343.0,50285.97631712576,50257.61413528274,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.53015134111644,146.38475,146.23934865888356,146.222,bullish,28.535353535357473,0.101857142857144
9,2025-07-13 22:50:00+00:00,2025-07-13 22:56:00+00:00,short,147.4225,147.50250000000003,147.50250000000003,147.20733333333334,sl,-8.00000000000125,-271.1818443755614,4,500000,2025-07-14,6.0,50257.61413528274,49986.43229090718,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.20733333333334,147.22834333333333,147.24132333333336,147.18632333333335,147.17334333333332,147.39465021688744,147.2621,147.12954978311257,147.3063878866944,bullish,66.56151419558607,0.09950000000000005
10,2025-07-14 15:02:00+00:00,2025-07-14 15:04:00+00:00,short,147.51250000000002,147.59250000000003,147.59250000000003,147.20733333333334,sl,-8.00000000000125,-271.01648118980467,5,500000,2025-07-15,2.0,49986.43229090718,49715.41580971737,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.20733333333334,147.22834333333333,147.24132333333336,147.18632333333335,147.17334333333332,147.50011294537316,147.39785,147.29558705462685,147.451,bullish,71.28712871287262,0.11671428571428473
