trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-21 20:49:00+00:00,2023-06-21 20:46:00+00:00,3,2023-06-21 21:59:00+00:00,short,141.8905,141.8705,141.8705,141.40966666666668,tp1_then_be_stop,4.000000000000625,28.134701016272384,4,99766,6.0,10.0,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2023-06-22,70.0,50000.0,50028.13470101627,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.40966666666668,141.46582066666667,141.50051266666668,141.3535126666667,141.31882066666668,141.87351752267526,141.81965,141.76578247732473,141.89417919999997,bearish,66.43356643356859,0.08021428571429112
2,2023-06-22 18:58:00+00:00,2023-06-22 18:56:00+00:00,2,2023-06-22 19:34:00+00:00,short,143.06550000000001,143.1655,143.1655,141.83733333333333,sl,-9.999999999999432,-124.98262500392191,5,178932,6.0,10.0,neutral,ABCDE,high,0.5,0.5,1.0,1.0,1.0,full,2023-06-23,36.0,50028.13470101627,49903.15207601235,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.83733333333333,142.25294933333333,142.50971733333336,141.42171733333333,141.1649493333333,143.07504197349826,142.99640000000002,142.9177580265018,143.03872,bullish,73.52941176471244,0.08378571428571036
3,2023-06-27 19:26:00+00:00,2023-06-27 19:24:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.03050000000002,144.0605,144.24466666666672,143.37966666666668,session_close,-2.999999999997272,-9.827954227555177,4,47194,6.0,21.416666666669926,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2023-06-28,154.0,49903.15207601235,49893.3241217848,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.056887763888,144.0193,143.98171223611197,144.07,bearish,68.55345911948707,0.06871428571428899
4,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.0705,144.0605,144.24466666666672,143.37966666666668,session_close,1.0000000000019327,4.029487611115621,4,58049,6.0,17.41666666667072,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2023-06-28,65.0,49893.3241217848,49897.35360939591,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07668919465377,144.04465,144.0126108053462,144.086,bearish,68.18181818181819,0.0492142857142913
5,2023-06-28 19:42:00+00:00,2023-06-28 19:40:00+00:00,2,2023-06-28 22:00:00+00:00,short,144.3625,144.4175,144.6425,143.83,session_close,-5.49999999999784,-27.55531704951573,4,72354,6.0,28.0,favorable,ABCE,medium,0.5625,1.0,0.75,0.75,1.0,full,2023-06-29,138.0,49897.35360939591,49869.79829234639,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.3726360316499,144.31895,144.2652639683501,144.322,bullish,65.38461538461725,0.07650000000000391
6,2023-06-29 18:27:00+00:00,2023-06-29 18:26:00+00:00,1,2023-06-29 22:00:00+00:00,short,144.8685,144.7895,144.8485,144.24799999999996,tp1_then_session_close,6.9500000000005,23.220472291975305,4,48378,6.0,28.0,neutral,ABCE,medium,0.375,0.5,0.75,1.0,1.0,full,2023-06-30,213.0,49869.79829234639,49893.01876463837,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.24799999999996,144.58721599999996,144.79678399999997,143.90878399999997,143.69921599999995,144.87613703884176,144.82175,144.76736296115826,144.84072,bullish,68.9320388349532,0.07121428571428672
7,2023-06-30 17:01:00+00:00,2023-06-30 16:59:00+00:00,2,2023-07-02 21:03:00+00:00,long,144.3345,144.3955,144.0545,144.59400000000002,session_close,6.100000000000705,54.32464308098872,3,128594,8.20357142857152,28.0,favorable,ABC,high,1.0,1.0,1.0,1.0,1.0,full,2023-07-01,3122.0,49893.01876463837,49947.34340771936,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.63863042322095,144.49025,144.34186957677906,144.366,bearish,31.69291338582643,0.1640714285714304
8,2023-07-05 18:36:00+00:00,2023-07-05 18:35:00+00:00,1,2023-07-05 21:10:00+00:00,short,144.64950000000002,144.6295,144.6295,144.45600000000002,tp1_then_be_stop,3.999984497927223,35.688782256405595,5,129015,6.0,28.0,favorable,ABCDE,high,1.0,1.0,1.0,1.0,1.0,full,2023-07-06,154.0,49947.34340771936,49983.03218997576,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.67217215354543,144.6018,144.53142784645456,144.61741755648,bullish,71.2802768166111,0.07257142857143199
9,2023-07-06 19:41:00+00:00,2023-07-06 19:39:00+00:00,2,2023-07-06 22:00:00+00:00,long,144.0995,144.06550000000001,143.8195,144.46033333333332,session_close,-3.3999999999991815,-22.765394907172155,5,96462,6.0,28.0,favorable,ABCDE,high,0.75,1.0,1.0,0.75,1.0,full,2023-07-07,139.0,49983.03218997576,49960.266795068586,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.46033333333332,144.7113073333333,144.86635933333332,144.20935933333334,144.05430733333333,144.21927867575926,144.15474999999998,144.0902213242407,144.12591564999678,bearish,29.901960784316046,0.07964285714285982
10,2023-07-06 21:08:00+00:00,2023-07-06 21:06:00+00:00,2,2023-07-06 22:00:00+00:00,long,144.05949999999999,144.06550000000001,143.77949999999998,144.46033333333332,session_close,0.6000000000028649,2.6775320947891186,5,64290,6.0,28.0,neutral,ABCDE,high,0.5,0.5,1.0,1.0,1.0,full,2023-07-07,52.0,49960.266795068586,49962.94432716338,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.46033333333332,144.7113073333333,144.86635933333332,144.20935933333334,144.05430733333333,144.1560472536733,144.10325,144.0504527463267,144.042,bullish,29.901960784316046,0.05400000000000001
