trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 19:27:00+00:00,2023-06-27 22:00:00+00:00,49969.38489384671,0.0,0.0
2,2023-06-27 21:06:00+00:00,2023-06-27 22:00:00+00:00,49979.674945595834,0.0,0.0
3,2023-06-30 17:04:00+00:00,2023-07-02 21:03:00+00:00,50031.36522333995,0.0,0.0
4,2023-08-16 17:16:00+00:00,2023-08-16 18:07:00+00:00,49750.47860805739,280.8866152825576,0.5614210486335525
5,2023-09-05 17:24:00+00:00,2023-09-05 17:58:00+00:00,49470.82231577053,560.5429075694192,1.1203829938822505
6,2023-09-15 19:14:00+00:00,2023-09-17 21:03:00+00:00,49645.214713765265,386.1505095746834,0.7718168549886817
7,2023-09-19 18:27:00+00:00,2023-09-19 20:17:00+00:00,49702.031008468955,329.3342148709926,0.6582555031245801
8,2023-11-07 17:37:00+00:00,2023-11-07 18:33:00+00:00,49901.32371314566,130.04151019428537,0.25991997142948275
9,2023-11-08 17:40:00+00:00,2023-11-08 22:03:00+00:00,49806.649364099794,224.7158592401538,0.44914996470118795
10,2023-11-08 19:56:00+00:00,2023-11-08 22:03:00+00:00,49923.412358222675,107.95286511727318,0.21577037651355652
11,2024-02-08 19:43:00+00:00,2024-02-08 22:03:00+00:00,50068.787452254874,0.0,0.0
12,2024-02-27 18:16:00+00:00,2024-02-27 20:16:00+00:00,50183.59782542491,0.0,0.0
13,2024-03-27 19:05:00+00:00,2024-03-27 22:00:00+00:00,50098.00094041794,85.59688500697666,0.17056745374204724
14,2024-04-10 20:50:00+00:00,2024-04-10 21:16:00+00:00,50210.75805317303,0.0,0.0
15,2024-05-22 20:43:00+00:00,2024-05-22 22:00:00+00:00,50294.60877952435,0.0,0.0
16,2024-05-28 17:09:00+00:00,2024-05-28 22:00:00+00:00,50107.283636280015,187.32514324433578,0.37245571203368916
17,2024-05-28 17:26:00+00:00,2024-05-28 22:00:00+00:00,49953.279796281066,341.3289832432856,0.6786591873883817
18,2024-06-14 20:26:00+00:00,2024-06-16 21:04:00+00:00,49937.7267581073,356.88202141704824,0.7095830548787169
19,2024-06-14 20:53:00+00:00,2024-06-16 21:04:00+00:00,49975.367705540935,319.24107398341584,0.6347421358477361
20,2025-04-30 18:26:00+00:00,2025-04-30 19:35:00+00:00,50079.498985603685,215.10979392066656,0.4276995072446827
21,2025-04-30 20:19:00+00:00,2025-04-30 22:00:00+00:00,50145.67367185973,148.93510766461986,0.2961253925197117
22,2025-09-11 19:11:00+00:00,2025-09-11 20:35:00+00:00,50185.9552745054,108.65350501894864,0.21603409919192573
23,2025-09-24 18:48:00+00:00,2025-09-24 22:00:00+00:00,50204.30530222303,90.30347730132053,0.17954902024823854
24,2025-10-28 19:15:00+00:00,2025-10-28 19:39:00+00:00,49921.72044101505,372.8883385092995,0.7414081698973422
25,2025-10-28 19:26:00+00:00,2025-10-28 22:00:00+00:00,50182.05614362371,112.55263590063987,0.22378668137977772
26,2025-12-19 17:23:00+00:00,2025-12-19 18:32:00+00:00,50346.34018700533,0.0,0.0
27,2025-12-26 21:47:00+00:00,2025-12-28 22:04:00+00:00,50423.096126702694,0.0,0.0
28,2026-01-08 19:47:00+00:00,2026-01-08 22:04:00+00:00,50515.26338073225,0.0,0.0
29,2026-01-16 20:15:00+00:00,2026-01-18 22:04:00+00:00,50318.74739857782,196.51598215442937,0.38902297840811684
