trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-27 19:26:00+00:00,2023-06-27 19:24:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.03050000000002,144.0605,144.24466666666672,143.37966666666668,session_close,-2.9999999999972715,-39.388451379766416,4,189144,6.0,21.416666666669926,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-06-28,154.0,50000.0,49960.61154862023,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.056887763888,144.0193,143.98171223611197,144.07,bearish,68.55345911948707,0.06871428571428899
2,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.0705,144.0605,144.24466666666672,143.37966666666668,session_close,1.0000000000019327,16.149395566477253,4,232649,6.0,17.41666666667072,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-06-28,65.0,49960.61154862023,49976.76094418671,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07668919465377,144.04465,144.0126108053462,144.086,bearish,68.18181818181819,0.0492142857142913
3,2023-06-28 19:42:00+00:00,2023-06-28 19:40:00+00:00,2,2023-06-28 22:00:00+00:00,short,144.3625,144.4175,144.6425,143.83,session_close,-5.49999999999784,-55.19860820189292,4,144939,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-06-29,138.0,49976.76094418671,49921.56233598482,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.3726360316499,144.31895,144.2652639683501,144.322,bullish,65.38461538461725,0.07650000000000391
4,2023-06-29 18:27:00+00:00,2023-06-29 18:26:00+00:00,1,2023-06-29 22:00:00+00:00,short,144.8685,144.7895,144.8485,144.24799999999996,tp1_then_session_close,6.9500000000005,69.73437383546084,4,145286,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-06-30,213.0,49921.56233598482,49991.29670982028,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.24799999999996,144.58721599999996,144.79678399999997,143.90878399999997,143.69921599999995,144.87613703884176,144.82175,144.76736296115826,144.84072,bullish,68.9320388349532,0.07121428571428672
5,2023-06-30 17:01:00+00:00,2023-06-30 16:59:00+00:00,2,2023-07-02 21:03:00+00:00,long,144.3345,144.3955,144.0545,144.59400000000002,session_close,6.100000000000705,61.23551634227537,3,144953,8.20357142857152,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,2023-07-01,3122.0,49991.29670982028,50052.532226162555,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.63863042322095,144.49025,144.34186957677906,144.366,bearish,31.69291338582643,0.1640714285714304
6,2023-07-05 18:36:00+00:00,2023-07-05 18:35:00+00:00,1,2023-07-05 21:10:00+00:00,short,144.64950000000002,144.6295,144.6295,144.45600000000002,tp1_then_be_stop,3.999986249287307,40.23430288012402,5,145447,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-07-06,154.0,50052.532226162555,50092.76652904268,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.67217215354543,144.6018,144.53142784645456,144.61741755648,bullish,71.2802768166111,0.07257142857143199
7,2023-07-06 19:41:00+00:00,2023-07-06 19:39:00+00:00,2,2023-07-06 22:00:00+00:00,long,144.0995,144.06550000000001,143.8195,144.46033333333332,session_close,-3.3999999999991815,-34.223141557130695,5,145011,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-07-07,139.0,50092.76652904268,50058.54338748555,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.46033333333332,144.7113073333333,144.86635933333332,144.20935933333334,144.05430733333333,144.21927867575926,144.15474999999998,144.0902213242407,144.12591564999678,bearish,29.901960784316046,0.07964285714285982
8,2023-07-11 16:54:00+00:00,2023-07-11 16:52:00+00:00,2,2023-07-11 19:21:00+00:00,long,140.38549999999998,140.4145,140.4055,141.87199999999999,tp1_then_time_decay,5.049984770891817,50.76299870256929,5,141177,7.199999999999969,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-07-12,147.0,50058.54338748555,50109.306386188124,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.62349730290643,140.503,140.38250269709354,140.358,bullish,27.73109243697766,0.14399999999999938
9,2023-07-11 17:06:00+00:00,2023-07-11 17:03:00+00:00,3,2023-07-11 19:59:00+00:00,long,140.3295,140.38049999999998,140.3495,141.87199999999999,tp1_then_trailing_stop,5.960708545972579,63.66890424471856,5,149957,6.821428571428559,26.350000000002183,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,2023-07-12,173.0,50109.306386188124,50172.97529043284,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.62340936923096,140.48104999999998,140.338690630769,140.362,bearish,16.343490304714194,0.13642857142857118
10,2023-07-13 18:36:00+00:00,2023-07-13 18:35:00+00:00,1,2023-07-13 18:43:00+00:00,long,138.01749999999998,138.0375,138.0375,138.984,tp1_then_be_stop,3.999985623199032,40.30275113210372,3,139113,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-07-14,7.0,50172.97529043284,50213.27804156495,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.984,139.826692,140.34730800000003,138.141308,137.620692,138.1706407455314,138.0711,137.97155925446862,138.06296,bearish,33.510638297873186,0.08985714285714153
11,2023-07-14 20:00:00+00:00,2023-07-14 19:59:00+00:00,1,2023-07-14 20:55:00+00:00,short,138.8685,138.8485,138.8485,138.31566666666666,tp1_then_be_stop,4.000000000000625,40.364073140243676,4,140082,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-07-15,55.0,50213.27804156495,50253.64211470519,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.31566666666666,138.71065466666664,138.95467866666667,137.92067866666667,137.67665466666665,138.89482166999792,138.81289999999998,138.73097833000205,138.84672,bullish,69.5067264573955,0.0660714285714233
12,2023-07-19 19:33:00+00:00,2023-07-19 19:32:00+00:00,1,2023-07-19 21:05:00+00:00,short,139.6845,139.6645,139.6645,138.548,tp1_then_be_stop,3.999985817514577,40.39646421538067,5,141019,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-07-20,92.0,50253.64211470519,50294.03857892057,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.548,139.103046,139.445954,137.992954,137.650046,139.70133016828643,139.61335,139.52536983171356,139.70858,bearish,73.78640776698131,0.07957142857142685
13,2023-07-21 19:00:00+00:00,2023-07-21 18:59:00+00:00,1,2023-07-21 19:21:00+00:00,short,141.79850000000002,141.7785,141.7785,139.89066666666668,tp1_then_be_stop,3.999995014371701,113.20119955638506,5,401153,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-07-22,21.0,50294.03857892057,50407.23977847696,TOKYO_MEANREV,tokyo_meanrev,tokyo,139.89066666666668,140.42088266666667,140.74845066666666,139.36045066666668,139.0328826666667,141.80875519679685,141.71734999999998,141.6259448032031,141.7599,bullish,74.31906614785944,0.07557142857143008
14,2023-07-25 18:51:00+00:00,2023-07-25 18:50:00+00:00,1,2023-07-25 21:12:00+00:00,long,141.0075,141.0275,141.0275,141.33466666666666,tp1_then_be_stop,4.000000000000625,40.49128962394532,3,142790,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-07-26,141.0,50407.23977847696,50447.731068100904,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.33466666666666,141.74455266666666,141.99778066666667,140.92478066666666,140.67155266666666,141.22372872839952,141.1353,141.04687127160048,141.1104445568,bearish,31.898734177218174,0.08164285714284907
15,2023-07-26 18:01:00+00:00,2023-07-26 18:00:00+00:00,1,2023-07-26 18:31:00+00:00,long,140.4435,140.5685,140.4635,141.17600000000002,tp1_then_trailing_stop,9.250019286345974,110.90552805491942,5,168513,6.0,23.649999999997817,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,2023-07-27,30.0,50447.731068100904,50558.636596155826,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.17600000000002,141.515598,141.725402,140.83640200000002,140.62659800000003,140.72528120306293,140.58184999999997,140.43841879693701,140.57,bearish,26.13636363636762,0.10949999999999704
16,2023-08-01 17:43:00+00:00,2023-08-01 17:39:00+00:00,4,2023-08-01 18:35:00+00:00,short,143.5285,143.4095,143.5085,141.88733333333334,tp1_then_trailing_stop,9.153590268243368,93.0358470240879,5,145779,6.407142857142897,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,2023-08-02,52.0,50558.636596155826,50651.672443179916,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.88733333333334,142.65286133333333,143.12580533333335,141.12180533333336,140.64886133333334,143.51594287206942,143.37494999999998,143.23395712793055,143.546,bearish,92.05776173285473,0.12814285714285795
17,2023-08-04 20:26:00+00:00,2023-08-04 20:25:00+00:00,1,2023-08-06 21:03:00+00:00,long,141.7885,141.8085,141.8085,142.8323333333333,tp1_then_be_stop,3.999986137777263,40.687543158601315,5,144277,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,2023-08-05,2917.0,50651.672443179916,50692.35998633852,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.8323333333333,143.5294833333333,143.9601833333333,142.13518333333332,141.70448333333331,141.88142771251475,141.8244,141.76737228748524,141.758,bullish,23.287671232873237,0.04907142857143348
18,2023-08-08 16:56:00+00:00,2023-08-08 16:55:00+00:00,1,2023-08-08 17:14:00+00:00,short,143.3235,143.30349999999999,143.30349999999999,142.196,tp1_then_be_stop,4.1785714285722975,119.1935506857738,5,408678,6.357142857143165,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-08-09,18.0,50692.35998633852,50811.553537024294,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.196,142.607032,142.86096799999999,141.784968,141.531032,143.3382601486211,143.24280000000002,143.14733985137894,143.286823048,bullish,71.35922330097054,0.1271428571428633
19,2023-08-10 17:44:00+00:00,2023-08-10 17:43:00+00:00,1,2023-08-10 17:48:00+00:00,short,144.6325,144.61249999999998,144.61249999999998,143.47666666666666,tp1_then_be_stop,3.999995161848896,114.36529478409611,5,413381,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,9,strong,2023-08-11,4.0,50811.553537024294,50925.91883180839,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.47666666666666,143.76316666666665,143.94016666666667,143.19016666666667,143.01316666666665,144.62288681079994,144.4849,144.34691318920008,144.697,bearish,87.17105263157507,0.09871428571428607
20,2023-08-11 17:51:00+00:00,2023-08-11 17:50:00+00:00,1,2023-08-11 18:58:00+00:00,short,144.9815,144.9615,144.9615,144.26200000000003,tp1_then_be_stop,3.9999865160970356,40.936442944329144,3,148325,6.0,28.0,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-08-12,67.0,50925.91883180839,50966.85527475272,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.26200000000003,144.85333600000004,145.21866400000002,143.67066400000002,143.30533600000004,144.98398907171273,144.9085,144.83301092828728,144.988,bearish,67.41071428571355,0.08571428571428287
21,2023-08-16 17:13:00+00:00,2023-08-16 17:10:00+00:00,3,2023-08-16 18:07:00+00:00,short,145.9325,146.2125,146.2125,145.5103333333333,sl,-28.000000000000114,-286.13859964093473,5,149418,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,2023-08-17,54.0,50966.85527475272,50680.716675111784,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.5103333333333,145.80141733333332,145.9812493333333,145.2192493333333,145.03941733333332,145.95495472569763,145.86,145.7650452743024,145.97,bearish,79.56521739130473,0.08792857142856901
22,2023-08-18 17:16:00+00:00,2023-08-18 17:15:00+00:00,1,2023-08-18 17:37:00+00:00,long,145.0445,145.0645,145.0645,146.006,tp1_then_be_stop,4.241071428572241,120.85842357768573,4,413490,6.482142857142849,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-08-19,21.0,50680.716675111784,50801.57509868947,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.006,146.367372,146.590628,145.644628,145.421372,145.2964040211943,145.1472,144.9979959788057,144.928,bullish,34.46808510638249,0.12964285714285698
23,2023-08-25 19:24:00+00:00,2023-08-25 19:20:00+00:00,4,2023-08-27 21:03:00+00:00,short,146.3665,146.45749999999998,146.6465,145.46666666666667,session_close,-9.099999999997976,-92.81338272192941,4,149376,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,2023-08-26,2979.0,50801.57509868947,50708.76171596754,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.46666666666667,145.98542266666666,146.30591066666668,144.94791066666667,144.62742266666666,146.37711113519453,146.2891,146.20108886480546,146.3111,bullish,66.45962732918866,0.08885714285714082
24,2023-08-25 20:31:00+00:00,2023-08-25 20:29:00+00:00,2,2023-08-27 21:03:00+00:00,short,146.4445,146.45749999999998,146.7245,145.46666666666667,session_close,-1.2999999999976808,-13.266155710677392,5,149456,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-08-26,2912.0,50708.76171596754,50695.495560256866,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.46666666666667,145.98542266666666,146.30591066666668,144.94791066666667,144.62742266666666,146.44370269658938,146.36445,146.28519730341063,146.434,bearish,71.31147540984381,0.07078571428571122
25,2023-09-01 20:54:00+00:00,2023-09-01 20:52:00+00:00,2,2023-09-03 21:03:00+00:00,short,146.2605,146.21949999999998,146.2405,145.70933333333335,tp1_then_session_close,5.050000000001376,51.449079931355016,5,148956,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,2023-09-02,2889.0,50695.495560256866,50746.94464018822,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.70933333333335,146.04472933333335,146.25193733333336,145.37393733333334,145.16672933333334,146.2514900975478,146.1909,146.1303099024522,146.286,bearish,73.00613496932814,0.045500000000006126
26,2023-09-05 17:23:00+00:00,2023-09-05 17:22:00+00:00,1,2023-09-05 17:57:00+00:00,short,147.6945,147.7945,147.7945,146.33,sl,-9.999999999999432,-285.2582470930759,5,421596,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,2023-09-06,34.0,50746.94464018822,50461.686393095144,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.33,146.511832,146.62416800000003,146.14816800000003,146.035832,147.70171836401988,147.62745,147.55318163598014,147.732,bearish,76.19047619047711,0.11249999999999513
27,2023-09-05 17:33:00+00:00,2023-09-05 17:29:00+00:00,4,2023-09-05 22:00:00+00:00,short,147.71550000000002,147.6825,147.81550000000001,146.33,session_close,3.300000000001546,94.22001929820067,4,421656,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,2023-09-06,267.0,50461.686393095144,50555.90641239334,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.33,146.511832,146.62416800000003,146.14816800000003,146.035832,147.714517747167,147.6314,147.54828225283302,147.72240617249344,bearish,69.83471074380088,0.11249999999999513
