trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-06-03 20:02:00+00:00,2025-06-03 20:01:00+00:00,1,2025-06-03 20:56:00+00:00,short,144.05450000000002,144.0345,144.0345,143.06866666666667,tp1_then_be_stop,3.999986178013992,40.19221676790994,5,144697,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.500000000002728,1.799999999997226,2025-06-04,54.0,50000.0,50040.19221676791,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.06866666666667,143.62256666666667,143.9647666666667,142.51476666666667,142.17256666666665,144.07846839568256,143.95805000000001,143.83763160431747,144.109,bearish,80.31496062992724,0.07478571428571204
2,2025-06-12 16:34:00+00:00,2025-06-12 16:32:00+00:00,2,2025-06-12 17:04:00+00:00,long,143.6575,143.55433333333332,143.55433333333332,144.77833333333334,sl,-10.316666666668084,-281.6778211734388,5,391949,8.407142857142702,10.316666666668084,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,2.5000000000005684,11.899999999999977,2025-06-13,30.0,50040.19221676791,49758.514395594466,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.77833333333334,145.21534133333333,145.48532533333335,144.34132533333334,144.07134133333332,143.86346867147125,143.71805,143.57263132852876,143.551,bullish,25.75406032482786,0.16814285714285404
3,2025-09-11 19:18:00+00:00,2025-09-11 19:16:00+00:00,2,2025-09-11 20:35:00+00:00,long,147.10649999999998,147.1265,147.1265,147.38666666666666,tp1_then_be_stop,3.9999863990920845,39.97064408011765,5,147049,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.800000000003138,2.199999999996294,2025-09-12,77.0,49758.514395594466,49798.48503967458,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.38666666666666,147.59371066666665,147.72162266666666,147.17962266666666,147.05171066666665,147.35974135917442,147.22955,147.09935864082556,147.092758016,bullish,23.659305993695696,0.08485714285713998
4,2025-10-28 19:13:00+00:00,2025-10-28 19:11:00+00:00,2,2025-10-28 19:39:00+00:00,long,152.0545,151.9545,151.9545,152.894,sl,-9.999999999999432,-280.300353066198,5,425929,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,0.0,10.199999999997544,2025-10-29,26.0,49798.48503967458,49518.18468660839,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.25560429593662,152.1532,152.05079570406338,152.034,bullish,24.496644295302048,0.11064285714285761
5,2025-10-30 21:06:00+00:00,2025-10-30 21:04:00+00:00,2,2025-10-30 21:36:00+00:00,short,154.0805,154.1455,154.1805,152.42399999999998,early_exit_dead_wrong,-6.499999999999772,-180.97388506313206,5,429174,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.0,6.89999999999884,2025-10-31,30.0,49518.18468660839,49337.210801545254,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.42399999999998,153.00693199999998,153.36706799999996,151.84106799999998,151.480932,154.12502353889946,154.0751,154.02517646110053,154.102299008,bullish,71.54150197628512,0.060000000000002274
6,2025-11-21 19:56:00+00:00,2025-11-21 19:53:00+00:00,3,2025-11-21 20:55:00+00:00,long,156.3235,156.3435,156.3435,157.41366666666667,tp1_then_be_stop,4.073209506862878,113.00316621936874,5,433831,6.146428571428585,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,12.300000000001887,3.6999999999977717,2025-11-22,59.0,49337.210801545254,49450.21396776463,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.41366666666667,157.80139666666668,158.04093666666668,157.02593666666667,156.78639666666666,156.64859155955546,156.48315,156.31770844044453,156.264,bullish,28.308207705192032,0.12292857142857169
7,2025-11-25 20:05:00+00:00,2025-11-25 20:03:00+00:00,2,2025-11-25 20:58:00+00:00,long,155.8935,156.10049999999998,155.9135,156.83900000000003,tp1_then_trailing_stop,13.525016546402492,375.7903530136804,5,433629,6.3499999999999694,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,28.700000000000614,1.4999999999986358,2025-11-26,53.0,49450.21396776463,49826.00432077831,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.83900000000003,157.13734200000002,157.321658,156.54065800000004,156.35634200000004,155.96375883661702,155.91285,155.86194116338297,155.809,bullish,27.669902912633148,0.1269999999999994
8,2025-12-16 17:41:00+00:00,2025-12-16 17:39:00+00:00,2,2025-12-16 18:55:00+00:00,long,154.6395,154.7065,154.6595,155.343,tp1_then_trailing_stop,7.642857142857906,76.46359963117641,5,154788,8.58571428571407,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,15.900000000002024,3.8999999999987267,2025-12-17,74.0,49826.00432077831,49902.46792040949,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.343,155.781918,156.053082,154.904082,154.632918,154.93008049604,154.78415,154.63821950396002,154.57,bullish,28.333333333332206,0.1717142857142814
9,2025-12-19 17:22:00+00:00,2025-12-19 17:20:00+00:00,2,2025-12-19 18:32:00+00:00,short,157.5465,157.4935,157.5265,155.608,tp1_then_trailing_stop,5.842857142856418,164.0707350397868,4,442234,6.385714285714325,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.700000000002888,3.3999999999991815,2025-12-20,70.0,49902.46792040949,50066.53865544927,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,157.50857664163146,157.4632,157.41782335836854,157.63143271935996,bearish,69.08212560386295,0.1277142857142865
10,2025-12-26 21:45:00+00:00,2025-12-26 21:44:00+00:00,1,2025-12-28 22:04:00+00:00,short,156.53050000000002,156.51049999999998,156.73799999999997,155.92999999999998,session_close,2.0000000000038654,27.147827142640352,4,212446,6.0,20.74999999999534,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,2.0000000000038654,8.699999999998909,2025-12-27,2899.0,50066.53865544927,50093.68648259191,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.92999999999998,156.20809599999998,156.37990399999995,155.65190399999997,155.480096,156.58406183785166,156.5242,156.46433816214835,156.6,bearish,66.66666666667132,0.06371428571428746
11,2026-02-24 21:07:00+00:00,2026-02-24 21:03:00+00:00,4,2026-02-24 21:37:00+00:00,short,155.8705,155.9315,155.9705,154.572,early_exit_dead_wrong,-6.100000000000705,-171.8162526494204,4,439206,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.0,6.299999999998818,2026-02-25,30.0,50093.68648259191,49921.87022994249,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.572,154.9731,155.2209,154.17090000000002,153.9231,155.85851565292893,155.78545,155.71238434707107,155.892,bearish,67.6795580110464,0.07414285714285386
