trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-05-20 18:14:00+00:00,2025-05-20 22:00:00+00:00,99936.73459782884,0.0,0.0
2,2025-05-21 17:12:00+00:00,2025-05-21 19:08:00+00:00,99960.87358972942,0.0,0.0
3,2025-05-23 17:48:00+00:00,2025-05-23 18:03:00+00:00,99983.70974450941,0.0,0.0
4,2025-05-23 18:26:00+00:00,2025-05-25 21:04:00+00:00,100005.12708867688,0.0,0.0
5,2025-07-23 18:30:00+00:00,2025-07-23 19:48:00+00:00,100049.2324506164,0.0,0.0
6,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,100073.26164098478,0.0,0.0
7,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,100135.78668217214,0.0,0.0
8,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100233.47418084221,0.0,0.0
9,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,100254.94562174985,0.0,0.0
10,2026-03-04 16:12:00+00:00,2026-03-04 18:54:00+00:00,100298.60685485756,0.0,0.0
