trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2025-07-23 18:30:00+00:00,2025-07-23 19:39:00+00:00,100271.29213169082,0.0,0.0
2,2025-09-02 17:58:00+00:00,2025-09-02 18:48:00+00:00,99059.06417475839,1212.227956932431,1.2089481756556575
3,2025-09-10 19:25:00+00:00,2025-09-10 22:00:00+00:00,98975.32956476386,1295.962566926959,1.2924562348562465
4,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,99048.2598068134,1223.032324877422,1.2197233115049106
5,2025-09-24 18:47:00+00:00,2025-09-24 22:00:00+00:00,99013.68931033988,1257.6028213509417,1.254200274690063
6,2025-10-01 18:35:00+00:00,2025-10-01 19:36:00+00:00,99185.8462245286,1085.4459071622114,1.0825091450269198
7,2025-10-14 19:45:00+00:00,2025-10-14 19:54:00+00:00,99482.5617234252,788.7304082656192,0.78659643403193
8,2025-10-15 17:12:00+00:00,2025-10-15 17:33:00+00:00,99810.37440035852,460.9177313323016,0.45967068094321306
9,2025-10-15 20:06:00+00:00,2025-10-15 21:58:00+00:00,99248.19838383388,1023.0937478569394,1.0203256845571156
10,2025-10-15 20:46:00+00:00,2025-10-15 22:00:00+00:00,98914.41443038435,1356.8777013064682,1.3532065583880375
11,2025-10-21 16:49:00+00:00,2025-10-21 22:00:00+00:00,99093.11942021143,1178.1727114793903,1.1749850694374646
12,2025-10-24 18:29:00+00:00,2025-10-24 20:30:00+00:00,99400.35929624288,870.9328354479367,0.8685764558654546
13,2025-10-28 19:13:00+00:00,2025-10-28 20:43:00+00:00,99839.92735325696,431.36477843385364,0.4301976859611251
14,2025-10-28 19:25:00+00:00,2025-10-28 20:43:00+00:00,100535.60852088181,0.0,0.0
15,2025-10-29 16:02:00+00:00,2025-10-29 16:06:00+00:00,100817.93053373908,0.0,0.0
16,2025-11-21 19:55:00+00:00,2025-11-21 20:27:00+00:00,101530.6471405734,0.0,0.0
17,2025-11-25 20:04:00+00:00,2025-11-25 20:54:00+00:00,103119.82521107292,0.0,0.0
18,2025-12-05 21:45:00+00:00,2025-12-07 22:04:00+00:00,103588.14193615655,0.0,0.0
19,2025-12-12 19:21:00+00:00,2025-12-12 20:26:00+00:00,103869.60036266426,0.0,0.0
20,2025-12-19 17:22:00+00:00,2025-12-19 18:03:00+00:00,104555.50433673552,0.0,0.0
21,2025-12-23 19:15:00+00:00,2025-12-23 21:31:00+00:00,104939.47582147103,0.0,0.0
22,2025-12-26 21:51:00+00:00,2025-12-28 22:04:00+00:00,105470.25393854472,0.0,0.0
23,2025-12-31 18:37:00+00:00,2025-12-31 19:55:00+00:00,105799.14180389661,0.0,0.0
24,2026-01-16 20:14:00+00:00,2026-01-18 22:04:00+00:00,104779.97326147452,1019.1685424220923,0.9633051129196929
25,2026-01-23 16:05:00+00:00,2026-01-23 16:18:00+00:00,105018.41400452073,780.7277993758762,0.7379339624729563
26,2026-02-24 21:07:00+00:00,2026-02-24 22:04:00+00:00,104900.84366947852,898.298134418088,0.8490599442508932
27,2026-02-27 19:31:00+00:00,2026-02-27 20:04:00+00:00,105195.69528913131,603.4465147652954,0.5703699524177713
