trade_id,entry_datetime,exit_datetime,equity_after
1,2025-06-27 02:05:00+00:00,2025-06-27 02:10:00+00:00,99722.77068492978
2,2025-06-27 03:40:00+00:00,2025-06-27 03:51:00+00:00,99445.89433262158
3,2025-06-27 05:10:00+00:00,2025-06-27 05:34:00+00:00,99177.20511411612
4,2025-06-27 05:20:00+00:00,2025-06-27 05:34:00+00:00,99257.06528789319
5,2025-06-27 05:35:00+00:00,2025-06-27 05:41:00+00:00,99049.39193928136
6,2025-06-27 06:25:00+00:00,2025-06-27 06:28:00+00:00,98772.32335675079
7,2025-06-30 01:25:00+00:00,2025-06-30 01:50:00+00:00,99033.00003986979
9,2025-06-30 01:45:00+00:00,2025-06-30 01:53:00+00:00,98755.86129709946
10,2025-06-30 01:50:00+00:00,2025-06-30 02:00:00+00:00,98780.14283817202
8,2025-06-30 01:40:00+00:00,2025-06-30 02:04:00+00:00,98884.60877094614
11,2025-06-30 04:05:00+00:00,2025-06-30 04:36:00+00:00,99095.05584266775
12,2025-06-30 04:20:00+00:00,2025-06-30 04:36:00+00:00,99329.06854196356
13,2025-07-03 02:10:00+00:00,2025-07-03 02:22:00+00:00,99507.441305819
14,2025-07-03 02:15:00+00:00,2025-07-03 02:22:00+00:00,99588.01281293567
15,2025-07-03 02:20:00+00:00,2025-07-03 02:22:00+00:00,99615.90409420793
16,2025-07-03 02:25:00+00:00,2025-07-03 02:33:00+00:00,99337.50789366235
17,2025-07-04 03:30:00+00:00,2025-07-04 04:22:00+00:00,99722.48174393403
18,2025-07-04 04:20:00+00:00,2025-07-04 04:22:00+00:00,99851.64110411597
19,2025-07-04 04:25:00+00:00,2025-07-04 04:29:00+00:00,99574.69751356817
20,2025-07-04 05:35:00+00:00,2025-07-04 06:04:00+00:00,99297.7359036599
21,2025-07-09 01:10:00+00:00,2025-07-09 01:14:00+00:00,99025.53046486569
22,2025-07-09 01:15:00+00:00,2025-07-09 01:18:00+00:00,98753.15054392593
23,2025-07-09 01:50:00+00:00,2025-07-09 01:55:00+00:00,98602.06313255732
24,2025-07-09 02:20:00+00:00,2025-07-09 02:23:00+00:00,98397.81929470372
25,2025-07-09 03:30:00+00:00,2025-07-09 04:40:00+00:00,98125.80841483355
27,2025-07-09 04:00:00+00:00,2025-07-09 04:58:00+00:00,97853.77483686121
26,2025-07-09 03:45:00+00:00,2025-07-09 05:08:00+00:00,97581.70468893892
28,2025-07-09 05:55:00+00:00,2025-07-09 06:04:00+00:00,97662.84945032554
31,2025-07-18 04:35:00+00:00,2025-07-18 04:55:00+00:00,97393.71731453063
30,2025-07-18 04:05:00+00:00,2025-07-18 04:56:00+00:00,97124.57282059216
29,2025-07-18 04:00:00+00:00,2025-07-18 05:25:00+00:00,97240.96280580902
32,2025-07-18 06:00:00+00:00,2025-07-18 06:40:00+00:00,97289.21960961436
33,2025-07-24 01:10:00+00:00,2025-07-24 01:12:00+00:00,97298.11934302711
34,2025-07-24 01:15:00+00:00,2025-07-24 01:20:00+00:00,97024.36455264334
35,2025-07-24 01:20:00+00:00,2025-07-24 01:23:00+00:00,96750.73303869957
36,2025-07-24 02:00:00+00:00,2025-07-24 02:03:00+00:00,96476.82541434719
38,2025-07-24 02:25:00+00:00,2025-07-24 02:33:00+00:00,96203.01887368367
37,2025-07-24 02:20:00+00:00,2025-07-24 02:39:00+00:00,95929.26497335391
39,2025-07-24 06:20:00+00:00,2025-07-24 06:30:00+00:00,95724.15953885918
41,2025-07-29 04:10:00+00:00,2025-07-29 04:16:00+00:00,95454.66997388337
40,2025-07-29 04:05:00+00:00,2025-07-29 04:18:00+00:00,95185.24022694735
42,2025-07-29 04:50:00+00:00,2025-07-29 05:03:00+00:00,94983.0980005247
43,2025-07-29 05:05:00+00:00,2025-07-29 05:22:00+00:00,95252.89831151236
44,2025-07-29 05:30:00+00:00,2025-07-29 05:50:00+00:00,94983.17204355248
45,2025-07-29 05:35:00+00:00,2025-07-29 06:12:00+00:00,95052.20463203019
46,2025-07-31 02:00:00+00:00,2025-07-31 02:15:00+00:00,95162.3543710094
47,2025-07-31 02:10:00+00:00,2025-07-31 02:26:00+00:00,94893.82880055688
48,2025-07-31 02:15:00+00:00,2025-07-31 02:52:00+00:00,95077.57221340753
49,2025-07-31 02:20:00+00:00,2025-07-31 02:52:00+00:00,95258.961044416
51,2025-08-06 01:25:00+00:00,2025-08-06 01:31:00+00:00,94988.00685888369
50,2025-08-06 01:20:00+00:00,2025-08-06 01:37:00+00:00,94716.99049978318
52,2025-08-06 01:30:00+00:00,2025-08-06 01:37:00+00:00,94445.97370551199
53,2025-08-06 01:55:00+00:00,2025-08-06 02:00:00+00:00,94560.64951005248
54,2025-08-06 02:00:00+00:00,2025-08-06 02:07:00+00:00,94289.77642671918
55,2025-08-06 02:05:00+00:00,2025-08-06 02:20:00+00:00,93930.82925176913
56,2025-08-06 03:30:00+00:00,2025-08-06 04:34:00+00:00,94097.58448468856
57,2025-08-06 03:35:00+00:00,2025-08-06 04:39:00+00:00,94199.17480224675
58,2025-08-11 03:40:00+00:00,2025-08-11 05:33:00+00:00,93928.04207775867
59,2025-08-11 03:50:00+00:00,2025-08-11 06:24:00+00:00,93656.94666538088
60,2025-08-11 04:05:00+00:00,2025-08-11 06:28:00+00:00,93385.86267256128
61,2025-08-11 07:45:00+00:00,2025-08-11 07:51:00+00:00,93182.41539724132
62,2025-08-13 01:25:00+00:00,2025-08-13 01:48:00+00:00,93331.08465578963
63,2025-08-13 01:30:00+00:00,2025-08-13 02:26:00+00:00,93759.6310335856
64,2025-08-13 01:40:00+00:00,2025-08-13 02:26:00+00:00,94097.01474834255
65,2025-08-13 01:50:00+00:00,2025-08-13 02:26:00+00:00,94279.37458309563
67,2025-08-13 06:10:00+00:00,2025-08-13 06:21:00+00:00,94076.45900659171
68,2025-08-13 06:20:00+00:00,2025-08-13 06:35:00+00:00,94267.4178029038
66,2025-08-13 06:05:00+00:00,2025-08-13 06:37:00+00:00,94436.56968039834
69,2025-08-15 01:20:00+00:00,2025-08-15 01:30:00+00:00,94165.31425868494
70,2025-08-15 03:50:00+00:00,2025-08-15 04:42:00+00:00,94277.10917224221
71,2025-08-15 03:55:00+00:00,2025-08-15 04:42:00+00:00,94433.69702773908
72,2025-08-15 04:05:00+00:00,2025-08-15 04:42:00+00:00,94559.17334388192
73,2025-08-18 01:20:00+00:00,2025-08-18 01:35:00+00:00,94287.96378601776
74,2025-08-18 01:30:00+00:00,2025-08-18 01:35:00+00:00,94016.7267025575
