trade_id,entry_datetime,exit_datetime,equity_after
1,2023-06-22 01:00:00+00:00,2023-06-22 01:31:00+00:00,100246.8197150394
3,2023-06-22 02:13:00+00:00,2023-06-22 02:26:00+00:00,100493.72403639258
2,2023-06-22 02:10:00+00:00,2023-06-22 02:29:00+00:00,100576.21908779744
4,2023-06-22 06:25:00+00:00,2023-06-22 07:03:00+00:00,100224.0027397858
5,2023-06-22 06:34:00+00:00,2023-06-22 07:03:00+00:00,99871.79342861674
6,2023-06-22 08:07:00+00:00,2023-06-22 08:23:00+00:00,99589.98203439843
7,2023-06-22 08:10:00+00:00,2023-06-22 08:23:00+00:00,99308.18644623634
8,2023-06-23 01:05:00+00:00,2023-06-23 01:09:00+00:00,98958.2334885075
9,2023-06-23 04:11:00+00:00,2023-06-23 04:26:00+00:00,99038.09616826814
10,2023-06-23 04:20:00+00:00,2023-06-23 04:26:00+00:00,99128.37355133552
11,2023-06-23 05:11:00+00:00,2023-06-23 05:18:00+00:00,98779.29923532008
12,2023-06-23 05:14:00+00:00,2023-06-23 05:18:00+00:00,98430.19106627721
14,2023-06-27 01:41:00+00:00,2023-06-27 01:49:00+00:00,98081.25193552751
13,2023-06-27 01:38:00+00:00,2023-06-27 01:53:00+00:00,97732.27868908217
15,2023-06-27 05:52:00+00:00,2023-06-27 06:00:00+00:00,97384.17568339812
16,2023-06-27 05:55:00+00:00,2023-06-27 06:32:00+00:00,97471.8571029975
17,2023-06-27 08:15:00+00:00,2023-06-27 08:20:00+00:00,97193.61234478583
18,2023-06-27 08:18:00+00:00,2023-06-27 08:20:00+00:00,96915.38130560996
19,2023-06-28 01:16:00+00:00,2023-06-28 01:34:00+00:00,96993.34161231238
20,2023-06-28 01:19:00+00:00,2023-06-28 01:34:00+00:00,97064.18873821176
21,2023-06-28 01:34:00+00:00,2023-06-28 01:51:00+00:00,97160.07313661856
22,2023-06-28 01:37:00+00:00,2023-06-28 02:01:00+00:00,97403.27166039424
23,2023-06-28 01:51:00+00:00,2023-06-28 02:22:00+00:00,97243.33281783729
