trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-27 19:13:00+00:00,2023-06-27 19:10:00+00:00,3,2023-06-27 22:00:00+00:00,short,144.03841009427353,144.06485996399837,144.24466666666672,143.37966666666668,session_close,-2.6449869724842756,-91.79847789201527,3,500000,6.0,20.625657239318684,neutral,ACE,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,3.2748000706533276,5.944986972485822,False,False,False,,pivot,pivot,0.0,0.0,65.83333333333314,2023-06-28,167.0,100000.0,99908.20152210798,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07385186871701,144.0148,143.955748131283,144.00713140573757,bullish,67.97752808988818,0.07707142857143115
2,2023-06-27 19:26:00+00:00,2023-06-27 19:24:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.02933846626354,144.06485996399837,144.24466666666672,143.37966666666668,session_close,-3.552149773483393,-123.2830051121096,3,500000,6.0,21.5328200403178,neutral,ACE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,2.3676372696542103,6.852149773484939,False,False,False,,pivot,pivot,0.0,0.0,66.63333333333128,2023-06-28,154.0,99908.20152210798,99784.91851699587,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.06376692702145,144.01256,143.96135307297857,144.07,bearish,68.55345911948707,0.06871428571428899
3,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.07048852045892,144.06485996399837,144.24466666666672,143.37966666666668,session_close,0.5628556460550271,19.534800026726995,4,500000,6.0,17.41781462077938,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,3.6628556460556183,2.737144353946519,False,False,False,,pivot,pivot,0.0,0.0,69.23333333333233,2023-06-28,65.0,99784.91851699587,99804.45331702259,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07596407110162,144.04188,144.00779592889836,144.086,bearish,68.18181818181819,0.0492142857142913
4,2023-06-28 18:06:00+00:00,2023-06-28 18:05:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.27335253136494,144.42203901769042,144.62335253136493,143.83,session_close,-14.868648632548798,-514.7638384584614,3,500000,6.453571428571385,35.0,neutral,ACE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,0.0,27.083735650850826,False,False,False,,pivot,pivot,0.0,0.0,45.999999999997954,2023-06-29,234.0,99804.45331702259,99289.68947856413,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.3422605352765,144.23167999999998,144.12109946472347,144.324,bearish,65.15580736543984,0.1290714285714277
5,2023-06-28 18:19:00+00:00,2023-06-28 18:15:00+00:00,4,2023-06-28 22:00:00+00:00,short,144.29049894715118,144.42203901769042,144.64049894715117,143.83,session_close,-13.154007053924488,-455.4016528015243,3,500000,6.0,35.0,neutral,ACE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,1.0033080149980833,25.369094072226517,False,False,False,,pivot,pivot,0.0,0.0,45.09999999999934,2023-06-29,221.0,99289.68947856413,98834.28782576261,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.35013694892623,144.23592,144.12170305107375,144.30690988280142,bearish,69.78851963746294,0.11835714285714159
6,2023-06-28 19:21:00+00:00,2023-06-28 19:20:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.34177132306183,144.42203901769042,144.69177132306183,143.83,session_close,-8.026769462858852,-277.89281737933516,3,500000,6.0,35.0,neutral,ACE,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,1.0692167253523621,20.24185648116088,False,False,False,,pivot,pivot,0.0,0.0,52.40000000000009,2023-06-29,159.0,98834.28782576261,98556.39500838328,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.3706999042134,144.29644,144.22218009578657,144.36179492864,bearish,67.45283018868773,0.08121428571428778
7,2023-06-30 17:01:00+00:00,2023-06-30 16:57:00+00:00,4,2023-07-02 21:03:00+00:00,long,144.33420003890146,144.38934484489343,144.040612,144.59400000000002,session_close,5.5144805991972135,190.95870976909703,2,500000,8.20357142857152,29.358803890144713,neutral,AC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,5.5144805991972135,10.583459534049666,False,False,False,,pivot,pivot,0.0,0.0,23.200000000002774,2023-07-01,3122.0,98556.39500838328,98747.35371815237,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.64688697389516,144.4942,144.34151302610485,144.326,bullish,31.69291338582643,0.1640714285714304
8,2023-06-30 17:23:00+00:00,2023-06-30 17:20:00+00:00,3,2023-07-02 21:03:00+00:00,long,144.2974807904293,144.38934484489343,144.3174807904293,144.59400000000002,tp1_then_session_close,8.228917008921144,284.9725259037932,4,500000,7.27142857142878,35.0,neutral,ACDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,9.186405446413914,6.911534686832965,False,False,False,,pivot,pivot,0.0,0.0,28.20000000000107,2023-07-01,3100.0,98747.35371815237,99032.32624405617,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.66181271909332,144.45828,144.25474728090668,144.34634698103326,bearish,29.910714285717034,0.1454285714285756
9,2023-06-30 17:38:00+00:00,2023-06-30 17:37:00+00:00,1,2023-07-02 21:03:00+00:00,long,144.3053791840871,144.38934484489343,144.3253791840871,144.59400000000002,tp1_then_session_close,7.701854468888315,266.7160672307971,4,500000,7.007142857143123,35.0,neutral,ACDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,8.396566080634216,7.701374052612664,False,False,False,,pivot,pivot,0.0,0.0,30.60000000000116,2023-07-01,3085.0,99032.32624405617,99299.04231128696,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.62863119116386,144.42132,144.21400880883616,144.254,bullish,20.143884892087016,0.14014285714286245
10,2023-07-05 16:20:00+00:00,2023-07-05 16:16:00+00:00,4,2023-07-05 18:06:00+00:00,short,144.6020621409025,144.58206214090248,144.58206214090248,144.45600000000002,tp1_then_be_stop,4.030357142858065,139.40901190332391,4,500000,6.060714285714296,35.0,neutral,ACDE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,8.885130987087564,6.097176999813314,False,False,False,,pivot,pivot,0.0,0.0,12.399999999999523,2023-07-06,106.0,99299.04231128696,99438.45132319028,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.75953548162713,144.46816,144.1767845183729,144.624,bearish,73.06122448979539,0.12121428571428591
