trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,100019.53480002673,0.0,0.0
2,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99808.94706494661,210.58773508011654,0.2105466052218234
3,2023-06-30 17:01:00+00:00,2023-07-02 21:03:00+00:00,99999.9057747157,19.629025311020087,0.019625191569092204
4,2023-07-05 18:34:00+00:00,2023-07-05 21:11:00+00:00,100152.21706760392,0.0,0.0
5,2023-07-07 19:38:00+00:00,2023-07-09 21:03:00+00:00,100370.86597311079,0.0,0.0
6,2023-07-07 19:59:00+00:00,2023-07-09 21:03:00+00:00,100539.9993452255,0.0,0.0
7,2023-07-07 20:10:00+00:00,2023-07-09 21:03:00+00:00,100766.58820190377,0.0,0.0
8,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,101016.6865671133,0.0,0.0
9,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,101160.75936654082,0.0,0.0
10,2023-07-14 19:20:00+00:00,2023-07-16 21:03:00+00:00,101404.1883111142,0.0,0.0
11,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,101643.00229277319,0.0,0.0
12,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101784.0966518775,0.0,0.0
13,2023-07-21 18:37:00+00:00,2023-07-23 21:03:00+00:00,101958.03940095646,0.0,0.0
14,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,102111.51665895415,0.0,0.0
15,2023-07-25 19:04:00+00:00,2023-07-25 22:00:00+00:00,101531.0608675098,580.455791444343,0.5684528155457996
16,2023-08-01 17:43:00+00:00,2023-08-01 18:30:00+00:00,101903.20278456804,208.31387438610545,0.20400624846447077
17,2023-08-04 20:26:00+00:00,2023-08-06 21:03:00+00:00,102044.20817603948,67.30848291466828,0.06591664203703315
