trade_number,entry_datetime,exit_datetime,equity_after,drawdown_usd,drawdown_pct
1,2023-06-27 20:51:00+00:00,2023-06-27 22:00:00+00:00,100023.08628615766,0.0,0.0
2,2023-06-27 21:04:00+00:00,2023-06-27 22:00:00+00:00,99987.08601872392,36.00026743374474,0.03599195822727465
3,2023-06-28 19:42:00+00:00,2023-06-28 22:00:00+00:00,99776.4982836438,246.58800251386128,0.24653108764150078
4,2023-06-28 19:53:00+00:00,2023-06-28 22:00:00+00:00,99698.7121267063,324.3741594513558,0.32429929078907693
5,2023-06-30 16:56:00+00:00,2023-07-02 21:03:00+00:00,99779.03565200261,244.05063415504992,0.24399430493160504
6,2023-07-05 16:55:00+00:00,2023-07-05 17:42:00+00:00,99917.37510578467,105.71118037299311,0.1056867812202498
7,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,100055.68915143811,0.0,0.0
8,2023-07-07 20:31:00+00:00,2023-07-09 21:03:00+00:00,100329.76418606822,0.0,0.0
9,2023-07-11 16:59:00+00:00,2023-07-11 19:21:00+00:00,100579.86255127775,0.0,0.0
10,2023-07-14 20:00:00+00:00,2023-07-14 20:55:00+00:00,100723.93535070527,0.0,0.0
11,2023-07-14 19:26:00+00:00,2023-07-14 20:56:00+00:00,100868.01966405858,0.0,0.0
12,2023-07-19 19:29:00+00:00,2023-07-19 21:38:00+00:00,101078.19025155071,0.0,0.0
13,2023-07-19 19:40:00+00:00,2023-07-19 21:38:00+00:00,101317.00423320971,0.0,0.0
14,2023-07-21 19:00:00+00:00,2023-07-21 19:21:00+00:00,101458.09859231401,0.0,0.0
15,2023-07-21 18:22:00+00:00,2023-07-21 20:56:00+00:00,101035.13850655082,422.96008576318854,0.4168815418695714
16,2023-07-21 18:35:00+00:00,2023-07-23 21:03:00+00:00,101233.64152952396,224.4570627900539,0.22123129242938294
17,2023-07-25 19:13:00+00:00,2023-07-25 21:06:00+00:00,101375.45621602517,82.64237628884439,0.08145468664943518
18,2023-07-25 18:51:00+00:00,2023-07-25 21:08:00+00:00,101528.93347402285,0.0,0.0
19,2023-08-01 17:24:00+00:00,2023-08-01 18:30:00+00:00,101850.59536775423,0.0,0.0
20,2023-08-01 17:36:00+00:00,2023-08-01 18:30:00+00:00,102215.63621420959,0.0,0.0
21,2023-08-04 20:15:00+00:00,2023-08-06 21:03:00+00:00,102356.65162081005,0.0,0.0
22,2023-08-04 20:25:00+00:00,2023-08-06 21:03:00+00:00,102497.66596198233,0.0,0.0
23,2023-08-09 18:36:00+00:00,2023-08-09 19:53:00+00:00,102636.88251714624,0.0,0.0
24,2023-08-11 17:51:00+00:00,2023-08-11 18:58:00+00:00,102774.87895895085,0.0,0.0
25,2023-08-15 18:54:00+00:00,2023-08-15 20:13:00+00:00,102916.0807548303,0.0,0.0
26,2023-08-16 16:30:00+00:00,2023-08-16 18:07:00+00:00,101719.12610847042,1196.9546463598817,1.16303947602834
27,2023-08-16 16:57:00+00:00,2023-08-16 19:02:00+00:00,100522.72970110949,2393.351053720806,2.325536530508111
28,2023-08-16 17:09:00+00:00,2023-08-16 19:10:00+00:00,99326.55278764115,3589.5279671891476,3.4878203103558
29,2023-08-18 17:14:00+00:00,2023-08-18 17:37:00+00:00,99626.36600341005,3289.7147514202516,3.196502166903447
30,2023-08-25 19:24:00+00:00,2023-08-27 21:03:00+00:00,99292.90188429008,3623.178870540214,3.520517730529845
31,2023-09-01 20:41:00+00:00,2023-09-03 21:03:00+00:00,99403.3962982887,3512.684456541596,3.413154125942296
32,2023-09-01 20:54:00+00:00,2023-09-03 21:03:00+00:00,99568.9226081955,3347.1581466348,3.252317929409397
