trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-27 20:51:00+00:00,2023-06-27 20:50:00+00:00,1,2023-06-27 22:00:00+00:00,short,144.07151180916316,144.06485996399837,144.24466666666672,143.37966666666668,session_close,0.6651845164782344,23.08628615765369,3,500000,6.0,17.315485750356174,neutral,ABE,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,3.7651845164788256,2.6348154835233117,False,False,False,,pivot,pivot,0.0,0.0,70.43333333333237,2023-06-28,69.0,100000.0,100023.08628615766,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07596407110162,144.04188,144.00779592889836,144.06421539339678,bullish,68.18181818181819,0.0492142857142913
2,2023-06-27 21:04:00+00:00,2023-06-27 20:57:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.05448721702535,144.06485996399837,144.24466666666672,143.37966666666668,session_close,-1.037274697301882,-36.0002674337481,4,500000,6.0,19.01794496413629,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,2.062725302698709,4.337274697303428,False,False,False,,pivot,pivot,0.0,0.0,69.83333333333235,2023-06-28,56.0,100023.08628615766,99987.08601872392,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.08062802769243,144.04396,144.00729197230757,144.09,bearish,67.16417910447286,0.0492142857142913
3,2023-06-28 19:42:00+00:00,2023-06-28 19:41:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.36121199750565,144.42203901769042,144.71121199750564,143.83,session_close,-6.082702018477448,-210.58773508011376,4,500000,6.0,35.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.0,18.297789036779477,False,False,False,,pivot,pivot,0.0,0.0,55.39999999999736,2023-06-29,138.0,99987.08601872392,99776.4982836438,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.38198115579078,144.31028,144.23857884420923,144.32304,bullish,65.38461538461725,0.07650000000000391
4,2023-06-28 19:53:00+00:00,2023-06-28 19:52:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.3995709469059,144.42203901769042,144.7495709469059,143.83,session_close,-2.2468070784526617,-77.7861569374965,4,500000,6.0,35.0,neutral,ABDE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.5652551306582154,14.46189409675469,False,False,False,,pivot,pivot,0.0,0.0,57.89999999999793,2023-06-29,127.0,99776.4982836438,99698.7121267063,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.39961037493688,144.3208,144.2419896250631,144.35372097205698,bullish,72.17741935483912,0.07592857142857465
5,2023-06-30 16:56:00+00:00,2023-06-30 16:50:00+00:00,6,2023-07-02 21:03:00+00:00,long,144.3661491225071,144.38934484489343,144.040612,144.59400000000002,session_close,2.3195722386333273,80.32352529631146,3,500000,8.20357142857152,32.5537122507086,neutral,ABD,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,2.3195722386333273,13.778367894613552,False,False,False,,pivot,pivot,0.0,0.0,22.70000000000323,2023-07-01,3127.0,99698.7121267063,99779.03565200261,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.63459639425437,144.49956,144.36452360574563,144.39228690831263,bearish,29.759704251385187,0.1640714285714304
6,2023-07-05 16:55:00+00:00,2023-07-05 16:54:00+00:00,1,2023-07-05 17:42:00+00:00,short,144.62191885793234,144.60191885793233,144.60191885793233,144.45600000000002,tp1_then_be_stop,4.000000000000625,138.33945378205877,3,500000,6.0,35.0,neutral,ABE,medium,0.75,1.0,0.75,1.0,1.0,full,3,weak,immediate,6.553297052562357,4.111505296828,False,False,False,,pivot,pivot,0.0,0.0,17.799999999996885,2023-07-06,47.0,99779.03565200261,99917.37510578467,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.6502622383536,144.55348,144.4566977616464,144.56221923957762,bullish,66.5322580645231,0.11457142857142953
7,2023-07-05 18:36:00+00:00,2023-07-05 18:35:00+00:00,1,2023-07-05 21:10:00+00:00,short,144.64847654977478,144.62847654977477,144.62847654977477,144.45600000000002,tp1_then_be_stop,4.000000000000625,138.3140456534514,5,500000,6.0,35.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.909166683198009,5.8168922794692435,False,False,False,,pivot,pivot,0.0,0.0,21.89999999999941,2023-07-06,154.0,99917.37510578467,100055.68915143811,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.67429999464454,144.60076,144.52722000535547,144.61741755648,bullish,71.2802768166111,0.07257142857143199
8,2023-07-07 20:31:00+00:00,2023-07-07 20:30:00+00:00,1,2023-07-09 21:03:00+00:00,long,142.0930239050383,142.1888904667817,142.11302390503832,144.08333333333334,tp1_then_session_close,7.793328087169016,274.07503463010545,4,500000,6.0,12.0,neutral,ABDE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,9.586656174337804,1.6668582949023403,False,False,False,,pivot,pivot,0.0,0.0,200.13333333333492,2023-07-08,2912.0,100055.68915143811,100329.76418606822,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.08333333333334,144.50276933333333,144.76189733333334,143.66389733333335,143.40476933333335,142.1632709476134,142.12536,142.0874490523866,142.12326720000002,bearish,27.81954887217354,0.04328571428571389
9,2023-07-11 16:59:00+00:00,2023-07-11 16:58:00+00:00,1,2023-07-11 19:21:00+00:00,long,140.34225216458023,140.41071994185404,140.36225216458024,141.87199999999999,tp1_then_trailing_stop,7.023388863690628,250.09836520952564,5,500000,7.199999999999969,27.625216458025648,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.046777727382164,4.917180297940149,False,False,False,,pivot,pivot,0.0,0.0,154.19999999999732,2023-07-12,142.0,100329.76418606822,100579.86255127775,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.7144057088092,140.52328,140.3321542911908,140.38422694399998,bearish,18.749999999999446,0.14399999999999938
11,2023-07-14 20:00:00+00:00,2023-07-14 19:59:00+00:00,1,2023-07-14 20:55:00+00:00,short,138.86871103208682,138.8487110320868,138.8487110320868,138.31566666666666,tp1_then_be_stop,4.000000000000625,144.07279942752103,4,500000,6.0,35.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,7.625704477828776,4.354792858811152,False,False,False,,pivot,pivot,0.0,0.0,57.833333333334735,2023-07-15,55.0,100579.86255127775,100723.93535070527,TOKYO_MEANREV,tokyo_meanrev,tokyo,138.31566666666666,138.71065466666664,138.95467866666667,137.92067866666667,137.67665466666665,138.89204945091018,138.80684,138.7216305490898,138.84672,bullish,69.5067264573955,0.0660714285714233
