trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-06-23 20:56:00+00:00,2023-06-23 20:55:00+00:00,1,2023-06-25 21:03:00+00:00,long,143.72404750673576,143.55384059318308,143.37404750673576,143.80404750673577,session_close,-17.02069135526756,-592.8330194767293,2,500000,6.0,35.0,neutral,BC,medium,0.75,1.0,0.75,1.0,1.0,full,1,weak,immediate,0.0,17.820691355268536,False,False,False,,pivot,pivot_fallback,0.0,0.0,107.49999999999886,2023-06-24,2887.0,100000.0,99407.16698052327,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.639,143.257458,143.639542,142.020542,141.638458,143.81802337509336,143.76656,143.71509662490664,143.7442446034755,bearish,33.980582524270375,0.05049999999999751
2,2023-06-27 20:55:00+00:00,2023-06-27 20:53:00+00:00,2,2023-06-27 22:00:00+00:00,short,144.07048852045892,144.06485996399837,144.24466666666672,143.37966666666668,session_close,0.5628556460550271,19.534800026726995,4,500000,6.0,17.41781462077938,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,3.6628556460556183,2.737144353946519,False,False,False,,pivot,pivot,0.0,0.0,69.23333333333233,2023-06-28,65.0,99407.16698052327,99426.70178054999,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.37966666666668,143.67953666666668,143.8647966666667,143.07979666666668,142.89453666666665,144.07596407110162,144.04188,144.00779592889836,144.086,bearish,68.18181818181819,0.0492142857142913
3,2023-06-28 19:42:00+00:00,2023-06-28 19:41:00+00:00,1,2023-06-28 22:00:00+00:00,short,144.36121199750565,144.42203901769042,144.71121199750564,143.83,session_close,-6.082702018477448,-210.58773508011376,4,500000,6.0,35.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.0,18.297789036779477,False,False,False,,pivot,pivot,0.0,0.0,55.39999999999736,2023-06-29,138.0,99426.70178054999,99216.11404546988,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.83,144.17150800000002,144.38249199999998,143.488492,143.27750800000004,144.38198115579078,144.31028,144.23857884420923,144.32304,bullish,65.38461538461725,0.07650000000000391
4,2023-06-30 17:01:00+00:00,2023-06-30 16:59:00+00:00,2,2023-07-02 21:03:00+00:00,long,144.33420003890146,144.38934484489343,144.040612,144.59400000000002,session_close,5.5144805991972135,190.95870976909703,3,500000,8.20357142857152,29.358803890144713,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,5.5144805991972135,10.583459534049666,False,False,False,,pivot,pivot,0.0,0.0,26.700000000002433,2023-07-01,3122.0,99216.11404546988,99407.07275523897,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.64688697389516,144.4942,144.34151302610485,144.366,bearish,31.69291338582643,0.1640714285714304
5,2023-06-30 20:45:00+00:00,2023-06-30 20:44:00+00:00,1,2023-07-02 21:03:00+00:00,short,144.3400360605,144.41665515510655,144.6900360605,144.2600360605,session_close,-7.661909460654215,-265.27097765923054,2,500000,6.0,35.0,neutral,BC,medium,0.75,1.0,0.75,1.0,1.0,full,1,weak,immediate,5.535965807982279,7.661909460654215,False,False,False,,pivot,pivot_fallback,0.0,0.0,24.300000000002342,2023-07-01,2898.0,99407.07275523897,99141.80177757975,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.34480372719506,144.28448,144.22415627280495,144.326,bullish,66.66666666666666,0.05542857142857623
6,2023-07-05 18:06:00+00:00,2023-07-05 18:05:00+00:00,1,2023-07-05 18:26:00+00:00,long,144.5981740853286,144.6181740853286,144.6181740853286,144.6781740853286,tp1_then_be_stop,4.000000000000625,138.2665243669731,2,500000,6.0,35.0,neutral,BC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,7.094169769030145,4.730531704800001,False,False,False,,pivot,pivot_fallback,0.0,0.0,9.199999999998454,2023-07-06,20.0,99141.80177757975,99280.06830194673,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.64277202706967,144.59112,144.5394679729303,144.58723596288,bearish,33.33333333333333,0.07578571428571682
7,2023-07-05 18:36:00+00:00,2023-07-05 18:35:00+00:00,1,2023-07-05 21:10:00+00:00,short,144.64847654977478,144.62847654977477,144.62847654977477,144.45600000000002,tp1_then_be_stop,4.000000000000625,138.3140456534514,5,500000,6.0,35.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.909166683198009,5.8168922794692435,False,False,False,,pivot,pivot,0.0,0.0,21.89999999999941,2023-07-06,154.0,99280.06830194673,99418.38234760017,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.67429999464454,144.60076,144.52722000535547,144.61741755648,bullish,71.2802768166111,0.07257142857143199
8,2023-07-05 21:11:00+00:00,2023-07-05 21:10:00+00:00,1,2023-07-05 22:00:00+00:00,long,144.63234090102333,144.59994708726848,144.28234090102333,144.71234090102334,session_close,-3.2393813754850953,-112.01184511948938,3,500000,6.0,35.0,neutral,BCD,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.0,8.439381375484345,False,False,False,,pivot,pivot_fallback,0.0,0.0,14.799999999999613,2023-07-06,49.0,99418.38234760017,99306.37050248068,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.7129690572447,144.66536,144.6177509427553,144.567,bullish,28.571428571440165,0.050142857142861076
9,2023-07-11 16:59:00+00:00,2023-07-11 16:58:00+00:00,1,2023-07-11 19:21:00+00:00,long,140.34225216458023,140.41071994185404,140.36225216458024,141.87199999999999,tp1_then_trailing_stop,7.023388863690628,250.09836520952564,5,500000,7.199999999999969,27.625216458025648,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,13.046777727382164,4.917180297940149,False,False,False,,pivot,pivot,0.0,0.0,154.19999999999732,2023-07-12,142.0,99306.37050248068,99556.46886769022,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.87199999999999,142.531332,142.93866799999998,141.21266799999998,140.805332,140.7144057088092,140.52328,140.3321542911908,140.38422694399998,bearish,18.749999999999446,0.14399999999999938
10,2023-07-12 20:08:00+00:00,2023-07-12 20:05:00+00:00,3,2023-07-12 21:07:00+00:00,short,138.48443736197797,138.46443736197796,138.46443736197796,138.40443736197795,tp1_then_be_stop,4.000000000000625,144.47272437527573,3,500000,6.0,35.0,neutral,BCD,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,6.941199080117144,8.300503422427141,False,False,False,,pivot,pivot_fallback,0.0,0.0,219.7666666666663,2023-07-13,59.0,99556.46886769022,99700.94159206549,TOKYO_MEANREV,tokyo_meanrev,tokyo,140.66166666666666,141.15826666666666,141.46506666666667,140.16506666666666,139.85826666666665,138.47815612556624,138.38024,138.28232387443373,138.509,bearish,75.56390977443613,0.08799999999999589
